	SRR1795409_1	SRR1795425_1
ENSG00000120833	30	17
ENSG00000120837	163	274
ENSG00000120860	102	146
ENSG00000120868	378	508
ENSG00000120875	4	89
ENSG00000120885	76	1327
ENSG00000120889	309	450
ENSG00000120896	53	279
ENSG00000120899	23	18
ENSG00000120903	0	0
ENSG00000120907	2	0
ENSG00000120910	132	129
ENSG00000120913	19	64
ENSG00000120915	63	135
ENSG00000120925	57	69
ENSG00000120937	0	0
ENSG00000120942	138	198
ENSG00000120948	141	313
ENSG00000120949	0	0
ENSG00000120952	0	0
ENSG00000120963	34	136
ENSG00000120992	334	284
ENSG00000121005	158	186
ENSG00000121022	833	853
ENSG00000121039	410	155
ENSG00000121053	2	0
ENSG00000121057	1061	368
ENSG00000121058	527	475
ENSG00000121060	222	903
ENSG00000121064	375	438
ENSG00000121067	468	368
ENSG00000121068	73	119
ENSG00000121073	461	419
ENSG00000121075	1	0
ENSG00000121101	16	5
ENSG00000121104	117	84
ENSG00000121152	991	1039
ENSG00000121207	0	0
ENSG00000121210	413	427
ENSG00000121211	185	236
ENSG00000121236	8	17
ENSG00000121270	8	1
ENSG00000121274	281	215
ENSG00000121281	49	52
ENSG00000121289	89	436
ENSG00000121297	64	117
ENSG00000121310	32	0
ENSG00000121314	0	0
ENSG00000121316	2	0
ENSG00000121318	7	0
ENSG00000121335	1	0
ENSG00000121350	65	195
ENSG00000121351	0	0
ENSG00000121361	113	154
ENSG00000121377	0	0
ENSG00000121380	3	0
ENSG00000121381	0	0
ENSG00000121390	698	643
ENSG00000121406	72	57
ENSG00000121410	23	28
ENSG00000121413	9	402
ENSG00000121417	125	51
ENSG00000121440	68	73
ENSG00000121446	0	0
ENSG00000121454	50	27
ENSG00000121481	380	346
ENSG00000121486	499	569
ENSG00000121542	127	151
ENSG00000121552	0	4
ENSG00000121570	0	0
ENSG00000121577	2	0
ENSG00000121578	141	108
ENSG00000121579	958	1116
ENSG00000121594	1	0
ENSG00000121621	565	345
ENSG00000121634	1	0
ENSG00000121644	244	217
ENSG00000121653	106	34
ENSG00000121671	106	35
ENSG00000121680	123	79
ENSG00000121690	175	191
ENSG00000121691	275	461
ENSG00000121716	157	3
ENSG00000121741	970	898
ENSG00000121742	0	1
ENSG00000121743	6	46
ENSG00000121749	463	1114
ENSG00000121753	131	44
ENSG00000121764	13	1
ENSG00000121766	310	154
ENSG00000121769	13	6
ENSG00000121774	1663	4252
ENSG00000121775	168	126
ENSG00000121797	0	0
ENSG00000121807	0	0
ENSG00000121851	120	48
ENSG00000121853	0	0
ENSG00000121858	1	5
ENSG00000121864	450	260
ENSG00000121871	34	31
ENSG00000121879	217	123
ENSG00000121892	1890	1863
ENSG00000121895	0	1
ENSG00000121897	83	131
ENSG00000121898	1	0
ENSG00000121900	33	72
ENSG00000121903	134	54
ENSG00000121904	0	2
ENSG00000121905	1	1
ENSG00000121931	165	300
ENSG00000121933	0	0
ENSG00000121940	717	519
ENSG00000121957	457	202
ENSG00000121964	59	25
ENSG00000121966	19	57
ENSG00000121988	394	174
ENSG00000121989	142	139
ENSG00000122008	348	287
ENSG00000122012	1	1
ENSG00000122025	4	6
ENSG00000122026	3102	1329
ENSG00000122033	389	178
ENSG00000122034	954	252
ENSG00000122035	34	186
ENSG00000122042	63	115
ENSG00000122068	251	446
ENSG00000122085	182	307
ENSG00000122121	0	0
ENSG00000122122	3	0
ENSG00000122126	751	866
ENSG00000122133	1	0
ENSG00000122136	0	0
ENSG00000122140	404	1347
ENSG00000122145	0	0
ENSG00000122176	0	0
ENSG00000122180	0	0
ENSG00000122188	0	0
ENSG00000122194	0	0
ENSG00000122203	429	135
ENSG00000122218	2637	3576
ENSG00000122223	0	0
ENSG00000122224	0	0
ENSG00000122254	0	0
ENSG00000122257	1678	675
ENSG00000122299	959	367
ENSG00000122304	0	0
ENSG00000122335	201	233
ENSG00000122359	439	1297
ENSG00000122367	1	4
ENSG00000122375	0	0
ENSG00000122376	266	92
ENSG00000122378	233	171
ENSG00000122386	149	61
ENSG00000122390	35	115
ENSG00000122406	13897	6827
ENSG00000122417	398	228
ENSG00000122420	66	7
ENSG00000122432	11	1
ENSG00000122435	281	313
ENSG00000122477	47	1
ENSG00000122481	141	129
ENSG00000122482	2158	747
ENSG00000122483	805	198
ENSG00000122484	646	478
ENSG00000122490	44	52
ENSG00000122507	183	66
ENSG00000122512	204	151
ENSG00000122515	138	213
ENSG00000122543	0	0
ENSG00000122545	703	696
ENSG00000122547	63	60
ENSG00000122550	286	242
ENSG00000122557	105	165
ENSG00000122565	1662	1158
ENSG00000122566	5650	19057
ENSG00000122574	5	43
ENSG00000122584	0	0
ENSG00000122585	1	0
ENSG00000122591	380	287
ENSG00000122592	16	39
ENSG00000122641	0	1
ENSG00000122642	103	119
ENSG00000122643	199	208
ENSG00000122644	45	26
ENSG00000122674	32	27
ENSG00000122678	77	84
ENSG00000122679	0	0
ENSG00000122687	166	151
ENSG00000122691	11	79
ENSG00000122692	1115	1529
ENSG00000122694	17	48
ENSG00000122696	95	15
ENSG00000122705	910	1284
ENSG00000122707	96	41
ENSG00000122711	2	0
ENSG00000122728	0	1
ENSG00000122729	562	664
ENSG00000122733	1	0
ENSG00000122735	0	0
ENSG00000122741	206	182
ENSG00000122756	13	23
ENSG00000122778	224	143
ENSG00000122779	545	839
ENSG00000122783	161	181
ENSG00000122786	314	936
ENSG00000122787	0	0
ENSG00000122824	9	6
ENSG00000122852	0	0
ENSG00000122859	0	0
ENSG00000122861	1	29
ENSG00000122862	1	3
ENSG00000122863	14	57
ENSG00000122870	113	187
ENSG00000122873	179	258
ENSG00000122877	0	1
ENSG00000122882	522	1242
ENSG00000122884	387	441
ENSG00000122912	179	117
ENSG00000122952	858	1006
ENSG00000122958	460	1132
ENSG00000122965	730	451
ENSG00000122966	782	749
ENSG00000122970	298	421
ENSG00000122971	73	188
ENSG00000122986	3	4
ENSG00000123064	1003	1215
ENSG00000123066	1022	385
ENSG00000123080	196	176
ENSG00000123091	117	79
ENSG00000123094	94	129
ENSG00000123095	5	89
ENSG00000123096	4	14
ENSG00000123104	697	583
ENSG00000123106	259	289
ENSG00000123119	5	1
ENSG00000123124	475	113
ENSG00000123130	273	552
ENSG00000123131	1847	2298
ENSG00000123136	1109	1906
ENSG00000123143	763	871
ENSG00000123144	432	767
ENSG00000123146	46	727
ENSG00000123154	92	107
ENSG00000123159	282	715
ENSG00000123165	0	0
ENSG00000123171	0	0
ENSG00000123178	95	392
ENSG00000123179	175	473
ENSG00000123191	373	262
ENSG00000123200	1244	1165
ENSG00000123213	712	542
ENSG00000123219	274	338
ENSG00000123240	83	388
ENSG00000123243	4	11
ENSG00000123268	186	246
ENSG00000123297	386	761
ENSG00000123307	0	1
ENSG00000123329	8	0
ENSG00000123338	4	20
ENSG00000123342	0	0
ENSG00000123349	1011	2181
ENSG00000123352	235	313
ENSG00000123353	143	297
ENSG00000123358	18	46
ENSG00000123360	0	35
ENSG00000123364	14	131
ENSG00000123374	426	925
ENSG00000123384	244	282
ENSG00000123388	26	199
ENSG00000123395	133	182
ENSG00000123405	0	2
ENSG00000123407	1	1
ENSG00000123411	17	12
ENSG00000123415	93	85
ENSG00000123416	4983	6893
ENSG00000123427	10	15
ENSG00000123444	220	169
ENSG00000123453	0	13
ENSG00000123454	0	0
ENSG00000123472	540	1017
ENSG00000123473	743	569
ENSG00000123485	470	761
ENSG00000123496	2	1
ENSG00000123500	90	0
ENSG00000123505	1527	435
ENSG00000123545	499	586
ENSG00000123552	325	127
ENSG00000123560	1	0
ENSG00000123561	0	0
ENSG00000123562	3588	2268
ENSG00000123569	0	0
ENSG00000123570	19	29
ENSG00000123572	9	0
ENSG00000123575	627	647
ENSG00000123576	7	11
ENSG00000123584	0	0
ENSG00000123594	0	0
ENSG00000123595	157	277
ENSG00000123600	282	269
ENSG00000123607	610	482
ENSG00000123609	15	83
ENSG00000123610	0	0
ENSG00000123612	13	10
ENSG00000123636	434	148
ENSG00000123643	91	82
ENSG00000123684	477	189
ENSG00000123685	19	20
ENSG00000123689	7	5
ENSG00000123700	1	6
ENSG00000123728	245	273
ENSG00000123737	975	657
ENSG00000123739	26	26
ENSG00000123810	11	21
ENSG00000123815	110	190
ENSG00000123836	159	38
ENSG00000123838	1	0
ENSG00000123843	0	0
ENSG00000123892	6	164
ENSG00000123901	1	1
ENSG00000123908	516	437
ENSG00000123933	162	229
ENSG00000123975	587	1154
ENSG00000123977	1	0
ENSG00000123983	1185	2037
ENSG00000123989	159	289
ENSG00000123992	236	395
ENSG00000123999	0	0
ENSG00000124003	0	0
ENSG00000124006	594	922
ENSG00000124019	0	0
ENSG00000124067	120	153
ENSG00000124074	67	36
ENSG00000124089	0	0
ENSG00000124091	28	0
ENSG00000124092	1	1
ENSG00000124098	63	161
ENSG00000124102	0	0
ENSG00000124103	2	0
ENSG00000124104	36	44
ENSG00000124107	0	2
ENSG00000124116	1	1
ENSG00000124120	103	124
ENSG00000124126	71	79
ENSG00000124134	1	0
ENSG00000124140	2	9
ENSG00000124143	3	1
ENSG00000124145	32	229
ENSG00000124151	446	402
ENSG00000124155	351	611
ENSG00000124157	0	0
ENSG00000124159	1	0
ENSG00000124160	401	404
ENSG00000124164	184	731
ENSG00000124171	123	201
ENSG00000124172	577	1499
ENSG00000124177	1217	365
ENSG00000124181	1118	1005
ENSG00000124191	13	68
ENSG00000124193	1317	1132
ENSG00000124194	0	7
ENSG00000124196	0	0
ENSG00000124198	1113	490
ENSG00000124201	260	168
ENSG00000124203	0	1
ENSG00000124205	0	0
ENSG00000124207	6286	10819
ENSG00000124208	0	0
ENSG00000124209	98	108
ENSG00000124212	2	19
ENSG00000124214	765	2233
ENSG00000124215	23	0
ENSG00000124216	4	23
ENSG00000124217	151	237
ENSG00000124222	40	21
ENSG00000124225	8	39
ENSG00000124226	241	596
ENSG00000124227	0	0
ENSG00000124228	1036	1264
ENSG00000124232	0	0
ENSG00000124233	0	0
ENSG00000124237	0	0
ENSG00000124243	21	91
ENSG00000124249	1	0
ENSG00000124251	12	0
ENSG00000124253	1	12
ENSG00000124256	0	0
ENSG00000124257	6	2
ENSG00000124260	1	0
ENSG00000124275	393	346
ENSG00000124279	198	253
ENSG00000124299	410	1431
ENSG00000124302	4	14
ENSG00000124313	17	54
ENSG00000124333	466	417
ENSG00000124334	1	0
ENSG00000124343	0	0
ENSG00000124356	399	349
ENSG00000124357	88	217
ENSG00000124370	49	39
ENSG00000124374	47	67
ENSG00000124380	269	270
ENSG00000124383	722	544
ENSG00000124391	0	1
ENSG00000124406	282	162
ENSG00000124422	2352	1704
ENSG00000124429	2	1
ENSG00000124440	0	0
ENSG00000124444	61	100
ENSG00000124449	0	0
ENSG00000124459	222	115
ENSG00000124466	1	6
ENSG00000124467	0	0
ENSG00000124469	3	0
ENSG00000124479	0	0
ENSG00000124486	8266	4093
ENSG00000124490	0	0
ENSG00000124491	0	0
ENSG00000124493	1	2
ENSG00000124496	13	100
ENSG00000124507	3	48
ENSG00000124508	112	85
ENSG00000124523	83	116
ENSG00000124532	622	263
ENSG00000124535	808	668
ENSG00000124541	494	919
ENSG00000124557	4	1
ENSG00000124562	628	1758
ENSG00000124564	0	0
ENSG00000124568	0	0
ENSG00000124570	317	875
ENSG00000124571	2514	2322
ENSG00000124574	275	167
ENSG00000124575	2130	2604
ENSG00000124587	73	169
ENSG00000124588	192	248
ENSG00000124593	0	0
ENSG00000124596	56	149
ENSG00000124602	6	0
ENSG00000124608	605	263
ENSG00000124610	4	12
ENSG00000124613	50	25
ENSG00000124614	0	0
ENSG00000124615	117	138
ENSG00000124635	4302	4788
ENSG00000124641	101	141
ENSG00000124657	7	0
ENSG00000124659	136	230
ENSG00000124664	1	1
ENSG00000124678	1	0
ENSG00000124688	196	386
ENSG00000124701	1	0
ENSG00000124702	690	476
ENSG00000124713	8	2
ENSG00000124721	6	0
ENSG00000124731	0	0
ENSG00000124733	405	751
ENSG00000124743	5	7
ENSG00000124749	3	64
ENSG00000124762	34	324
ENSG00000124766	150	712
ENSG00000124767	2341	5892
ENSG00000124772	1	1
ENSG00000124780	0	0
ENSG00000124782	292	352
ENSG00000124783	715	1479
ENSG00000124784	992	885
ENSG00000124785	69	123
ENSG00000124786	161	96
ENSG00000124787	240	302
ENSG00000124788	89	57
ENSG00000124789	3480	2550
ENSG00000124795	3099	3499
ENSG00000124802	135	290
ENSG00000124812	0	0
ENSG00000124813	3	58
ENSG00000124818	0	0
ENSG00000124827	3	0
ENSG00000124831	559	613
ENSG00000124839	0	1
ENSG00000124875	0	2
ENSG00000124882	0	1
ENSG00000124900	0	0
ENSG00000124920	28	6
ENSG00000124935	0	0
ENSG00000124939	0	0
ENSG00000124942	958	527
ENSG00000125037	519	790
ENSG00000125046	4	3
ENSG00000125084	0	0
ENSG00000125089	0	0
ENSG00000125107	6634	3076
ENSG00000125122	6	1
ENSG00000125124	388	374
ENSG00000125144	0	0
ENSG00000125148	5	65
ENSG00000125149	162	166
ENSG00000125166	1169	2577
ENSG00000125170	18	33
ENSG00000125207	0	0
ENSG00000125245	41	0
ENSG00000125246	46	21
ENSG00000125247	177	74
ENSG00000125249	133	49
ENSG00000125255	0	0
ENSG00000125257	777	510
ENSG00000125266	78	361
ENSG00000125285	4	35
ENSG00000125304	1641	1939
ENSG00000125319	137	183
ENSG00000125337	0	2
ENSG00000125347	30	70
ENSG00000125351	440	636
ENSG00000125352	217	125
ENSG00000125354	205	547
ENSG00000125355	8	18
ENSG00000125356	1086	1065
ENSG00000125363	0	0
ENSG00000125375	88	169
ENSG00000125378	32	40
ENSG00000125384	1	8
ENSG00000125386	305	189
ENSG00000125388	30	9
ENSG00000125398	7	106
ENSG00000125409	2	3
ENSG00000125414	0	1
ENSG00000125430	27	17
ENSG00000125434	7	25
ENSG00000125445	770	1093
ENSG00000125447	215	241
ENSG00000125449	21	114
ENSG00000125450	891	1125
ENSG00000125454	192	236
ENSG00000125457	55	121
ENSG00000125458	166	162
ENSG00000125459	130	22
ENSG00000125462	2	1
ENSG00000125482	448	329
ENSG00000125484	921	886
ENSG00000125485	393	448
ENSG00000125492	2	0
ENSG00000125498	0	0
ENSG00000125503	213	74
ENSG00000125505	117	280
ENSG00000125508	0	0
ENSG00000125510	2	0
ENSG00000125520	73	162
ENSG00000125522	0	0
ENSG00000125531	0	0
ENSG00000125533	0	1
ENSG00000125534	56	449
ENSG00000125538	7	0
ENSG00000125551	0	0
ENSG00000125571	0	0
ENSG00000125611	38	138
ENSG00000125618	0	0
ENSG00000125629	59	65
ENSG00000125630	1518	706
ENSG00000125633	443	231
ENSG00000125637	14	6
ENSG00000125648	221	44
ENSG00000125650	1	0
ENSG00000125651	694	1172
ENSG00000125652	87	162
ENSG00000125656	295	818
ENSG00000125657	6	57
ENSG00000125675	2	1
ENSG00000125676	3562	1707
ENSG00000125686	718	658
ENSG00000125691	6019	5332
ENSG00000125695	0	0
ENSG00000125703	344	265
ENSG00000125726	7	14
ENSG00000125730	11	1
ENSG00000125731	23	25
ENSG00000125733	160	226
ENSG00000125734	137	170
ENSG00000125735	0	0
ENSG00000125740	2	5
ENSG00000125741	10	37
ENSG00000125743	1772	2645
ENSG00000125744	15	59
ENSG00000125746	79	157
ENSG00000125753	127	78
ENSG00000125755	878	600
ENSG00000125772	280	319
ENSG00000125775	7	9
ENSG00000125779	421	316
ENSG00000125780	0	0
ENSG00000125787	2	0
ENSG00000125788	0	0
ENSG00000125798	0	16
ENSG00000125810	0	0
ENSG00000125812	179	119
ENSG00000125813	0	6
ENSG00000125814	70	57
ENSG00000125815	0	0
ENSG00000125816	4	121
ENSG00000125817	530	277
ENSG00000125818	426	1529
ENSG00000125820	3	30
ENSG00000125821	8	0
ENSG00000125823	0	0
ENSG00000125826	79	90
ENSG00000125827	264	175
ENSG00000125831	0	0
ENSG00000125834	198	242
ENSG00000125835	2839	6677
ENSG00000125841	29	283
ENSG00000125843	74	105
ENSG00000125844	911	472
ENSG00000125845	11	98
ENSG00000125846	156	73
ENSG00000125848	62	33
ENSG00000125850	0	2
ENSG00000125851	1	0
ENSG00000125861	0	0
ENSG00000125863	211	33
ENSG00000125864	51	33
ENSG00000125868	378	1186
ENSG00000125869	0	4
ENSG00000125870	723	852
ENSG00000125871	457	286
ENSG00000125872	6	1
ENSG00000125875	172	158
ENSG00000125877	306	599
ENSG00000125878	0	0
ENSG00000125879	1	0
ENSG00000125885	65	16
ENSG00000125888	0	0
ENSG00000125895	22	11
ENSG00000125898	11	27
ENSG00000125900	0	0
ENSG00000125901	537	617
ENSG00000125903	0	0
ENSG00000125910	0	0
ENSG00000125912	464	733
ENSG00000125931	65	3
ENSG00000125944	3270	4969
ENSG00000125945	112	116
ENSG00000125952	154	283
ENSG00000125954	0	0
ENSG00000125962	292	122
ENSG00000125965	0	0
ENSG00000125966	10	1
ENSG00000125967	97	77
ENSG00000125968	32	119
ENSG00000125970	450	718
ENSG00000125971	125	669
ENSG00000125975	1	0
ENSG00000125977	1453	889
ENSG00000125991	1182	1222
ENSG00000125995	447	727
ENSG00000125998	0	0
ENSG00000125999	0	0
ENSG00000126001	916	215
ENSG00000126003	199	83
ENSG00000126005	3	21
ENSG00000126010	0	0
ENSG00000126012	2255	1473
ENSG00000126016	3227	107
ENSG00000126062	306	223
ENSG00000126067	770	3973
ENSG00000126070	361	195
ENSG00000126088	682	1242
ENSG00000126091	66	8
ENSG00000126106	16	61
ENSG00000126107	185	357
ENSG00000126214	63	45
ENSG00000126215	226	250
ENSG00000126216	390	359
ENSG00000126217	52	61
ENSG00000126218	3	1
ENSG00000126226	316	490
ENSG00000126231	3	1
ENSG00000126233	0	0
ENSG00000126243	24	52
ENSG00000126246	19	122
ENSG00000126247	336	3801
ENSG00000126249	168	552
ENSG00000126251	0	0
ENSG00000126254	503	3227
ENSG00000126259	0	1
ENSG00000126261	2217	6797
ENSG00000126262	0	0
ENSG00000126264	0	2
ENSG00000126266	0	0
ENSG00000126267	605	3337
ENSG00000126337	5	0
ENSG00000126351	78	60
ENSG00000126353	0	0
ENSG00000126368	1	36
ENSG00000126391	101	79
ENSG00000126432	477	673
ENSG00000126453	156	217
ENSG00000126456	296	200
ENSG00000126457	2223	2455
ENSG00000126458	4	26
ENSG00000126460	0	1
ENSG00000126461	338	649
ENSG00000126464	198	242
ENSG00000126467	4	0
ENSG00000126500	28	4
ENSG00000126522	88	60
ENSG00000126524	511	501
ENSG00000126545	0	0
ENSG00000126549	0	0
ENSG00000126550	0	0
ENSG00000126561	0	0
ENSG00000126562	31	2
ENSG00000126581	552	245
ENSG00000126583	1	3
ENSG00000126602	2407	2878
ENSG00000126603	14	10
ENSG00000126653	107	239
ENSG00000126698	1308	1025
ENSG00000126705	46	115
ENSG00000126709	11	163
ENSG00000126733	20	11
ENSG00000126746	171	359
ENSG00000126749	497	545
ENSG00000126752	0	0
ENSG00000126756	288	855
ENSG00000126759	5	0
ENSG00000126767	261	119
ENSG00000126768	346	631
ENSG00000126773	858	95
ENSG00000126775	140	57
ENSG00000126777	3395	1228
ENSG00000126778	152	294
ENSG00000126785	0	0
ENSG00000126787	1614	1559
ENSG00000126790	149	85
ENSG00000126803	4	77
ENSG00000126804	343	144
ENSG00000126814	370	435
ENSG00000126821	109	221
ENSG00000126822	219	177
ENSG00000126838	19	0
ENSG00000126856	0	0
ENSG00000126858	226	291
ENSG00000126860	5	0
ENSG00000126861	38	0
ENSG00000126870	231	161
ENSG00000126878	71	382
ENSG00000126882	11	4
ENSG00000126883	958	1547
ENSG00000126890	2	0
ENSG00000126895	0	0
ENSG00000126903	48	66
ENSG00000126934	671	455
ENSG00000126945	1146	1173
ENSG00000126947	0	0
ENSG00000126950	0	0
ENSG00000126952	0	0
ENSG00000126953	103	165
ENSG00000126970	72	105
ENSG00000127022	9199	6535
ENSG00000127054	405	681
ENSG00000127074	0	0
ENSG00000127080	185	144
ENSG00000127081	210	60
ENSG00000127083	71	0
ENSG00000127084	6	3
ENSG00000127124	16	21
ENSG00000127125	113	219
ENSG00000127129	0	0
ENSG00000127152	4	55
ENSG00000127184	1163	1338
ENSG00000127191	209	277
ENSG00000127220	75	177
ENSG00000127241	0	1
ENSG00000127249	0	0
ENSG00000127252	32	32
ENSG00000127311	279	241
ENSG00000127314	193	505
ENSG00000127318	0	0
ENSG00000127324	0	0
ENSG00000127325	0	0
ENSG00000127328	232	217
ENSG00000127329	8	22
ENSG00000127334	355	161
ENSG00000127337	304	721
ENSG00000127362	25	0
ENSG00000127364	27	0
ENSG00000127366	10	0
ENSG00000127377	0	1
ENSG00000127399	30	127
ENSG00000127412	0	0
ENSG00000127415	17	10
ENSG00000127418	90	142
ENSG00000127419	71	63
ENSG00000127423	242	298
ENSG00000127445	293	867
ENSG00000127452	69	99
ENSG00000127463	984	1477
ENSG00000127472	1	0
ENSG00000127481	4926	3257
ENSG00000127483	1239	1346
ENSG00000127507	0	25
ENSG00000127511	368	614
ENSG00000127515	0	0
ENSG00000127526	105	152
ENSG00000127527	268	668
ENSG00000127528	1	20
ENSG00000127529	0	0
ENSG00000127530	0	0
ENSG00000127533	0	1
ENSG00000127540	0	0
ENSG00000127554	66	105
ENSG00000127561	1	9
ENSG00000127564	226	431
ENSG00000127578	15	1
ENSG00000127580	145	97
ENSG00000127585	2	93
ENSG00000127586	505	169
ENSG00000127588	2	0
ENSG00000127603	3458	526
ENSG00000127616	1973	2806
ENSG00000127663	230	384
ENSG00000127666	9	50
ENSG00000127720	176	119
ENSG00000127743	0	0
ENSG00000127774	51	134
ENSG00000127780	0	0
ENSG00000127804	367	278
ENSG00000127824	14	95
ENSG00000127831	0	0
ENSG00000127837	1634	2286
ENSG00000127838	58	226
ENSG00000127863	15	72
ENSG00000127870	407	446
ENSG00000127884	1034	1998
ENSG00000127903	0	0
ENSG00000127914	2334	814
ENSG00000127920	8	160
ENSG00000127922	0	0
ENSG00000127928	2	0
ENSG00000127946	242	250
ENSG00000127947	172	224
ENSG00000127948	389	423
ENSG00000127951	5	1
ENSG00000127952	146	212
ENSG00000127954	2	0
ENSG00000127955	168	538
ENSG00000127980	544	399
ENSG00000127989	175	180
ENSG00000127990	77	493
ENSG00000127993	101	112
ENSG00000127995	184	65
ENSG00000128000	147	77
ENSG00000128011	81	175
ENSG00000128016	1	30
ENSG00000128039	160	155
ENSG00000128040	4	4
ENSG00000128045	19	78
ENSG00000128050	3123	3730
ENSG00000128052	7	1
ENSG00000128059	937	772
ENSG00000128159	969	265
ENSG00000128165	0	0
ENSG00000128185	213	77
ENSG00000128191	772	162
ENSG00000128203	30	40
ENSG00000128218	2	2
ENSG00000128228	180	328
ENSG00000128242	1	4
ENSG00000128245	608	874
ENSG00000128250	0	0
ENSG00000128253	4	0
ENSG00000128266	70	42
ENSG00000128268	12	7
ENSG00000128271	22	11
ENSG00000128272	3601	233
ENSG00000128274	6	20
ENSG00000128276	3	0
ENSG00000128283	178	241
ENSG00000128284	0	0
ENSG00000128285	0	0
ENSG00000128294	70	29
ENSG00000128298	6	0
ENSG00000128309	276	429
ENSG00000128310	0	0
ENSG00000128311	214	195
ENSG00000128313	0	0
ENSG00000128322	0	0
ENSG00000128335	99	226
ENSG00000128340	1	27
ENSG00000128342	1	8
ENSG00000128346	35	8
ENSG00000128383	0	0
ENSG00000128394	1	32
ENSG00000128408	31	18
ENSG00000128422	1	2
ENSG00000128463	235	635
ENSG00000128482	0	0
ENSG00000128487	613	212
ENSG00000128510	1	3
ENSG00000128512	432	545
ENSG00000128513	274	296
ENSG00000128519	0	0
ENSG00000128524	305	1064
ENSG00000128534	314	558
ENSG00000128536	12	2
ENSG00000128563	104	190
ENSG00000128564	1	21
ENSG00000128567	52	341
ENSG00000128573	125	201
ENSG00000128578	183	92
ENSG00000128581	127	171
ENSG00000128585	671	1075
ENSG00000128590	38	90
ENSG00000128591	526	2
ENSG00000128594	40	8
ENSG00000128595	762	1473
ENSG00000128596	139	103
ENSG00000128602	304	92
ENSG00000128604	4	61
ENSG00000128606	14	35
ENSG00000128607	231	347
ENSG00000128609	297	520
ENSG00000128610	1	20
ENSG00000128617	21	0
ENSG00000128626	147	728
ENSG00000128641	706	1000
ENSG00000128645	0	14
ENSG00000128652	20	23
ENSG00000128654	338	553
ENSG00000128655	4	14
ENSG00000128656	188	143
ENSG00000128683	97	65
ENSG00000128694	141	154
ENSG00000128699	204	329
ENSG00000128708	1223	2221
ENSG00000128709	94	13
ENSG00000128710	443	56
ENSG00000128713	198	256
ENSG00000128714	194	270
ENSG00000128731	1715	697
ENSG00000128739	0	2
ENSG00000128789	181	653
ENSG00000128791	118	367
ENSG00000128805	95	70
ENSG00000128815	1	0
ENSG00000128829	916	481
ENSG00000128833	354	275
ENSG00000128849	37	98
ENSG00000128872	57	81
ENSG00000128881	219	58
ENSG00000128886	31	182
ENSG00000128891	46	151
ENSG00000128908	667	189
ENSG00000128915	733	323
ENSG00000128917	2	12
ENSG00000128918	555	1180
ENSG00000128923	104	93
ENSG00000128928	285	611
ENSG00000128944	425	788
ENSG00000128951	509	1455
ENSG00000128965	3	36
ENSG00000128973	203	365
ENSG00000128989	256	557
ENSG00000129003	1738	820
ENSG00000129007	121	6
ENSG00000129009	0	1
ENSG00000129028	32	98
ENSG00000129038	13	54
ENSG00000129048	7	0
ENSG00000129055	132	158
ENSG00000129071	413	241
ENSG00000129083	2346	2950
ENSG00000129084	829	1289
ENSG00000129103	450	352
ENSG00000129116	233	596
ENSG00000129128	425	717
ENSG00000129151	11	0
ENSG00000129152	0	0
ENSG00000129158	364	128
ENSG00000129159	10	4
ENSG00000129167	13	0
ENSG00000129170	1	0
ENSG00000129173	274	148
ENSG00000129187	174	328
ENSG00000129194	2	0
ENSG00000129195	126	270
ENSG00000129197	292	426
ENSG00000129204	4	3
ENSG00000129214	1	2
ENSG00000129219	111	73
ENSG00000129221	0	0
ENSG00000129226	10	106
ENSG00000129235	438	948
ENSG00000129244	2	36
ENSG00000129245	548	657
ENSG00000129250	1329	274
ENSG00000129255	293	371
ENSG00000129292	732	199
ENSG00000129295	6	2
ENSG00000129315	460	730
ENSG00000129317	478	450
ENSG00000129347	628	649
ENSG00000129351	3993	5001
ENSG00000129353	108	346
ENSG00000129354	1	2
ENSG00000129355	10	66
ENSG00000129422	282	285
ENSG00000129437	2	0
ENSG00000129450	2	0
ENSG00000129451	1	0
ENSG00000129455	0	1
ENSG00000129460	618	468
ENSG00000129465	0	0
ENSG00000129467	1	0
ENSG00000129472	64	126
ENSG00000129473	4	7
ENSG00000129474	57	40
ENSG00000129480	98	43
ENSG00000129484	440	374
ENSG00000129493	761	361
ENSG00000129514	34	184
ENSG00000129515	796	901
ENSG00000129518	298	351
ENSG00000129521	21	104
ENSG00000129534	761	537
ENSG00000129535	2	5
ENSG00000129538	0	1
ENSG00000129559	104	20
ENSG00000129562	378	992
ENSG00000129566	226	89
ENSG00000129595	58	24
ENSG00000129596	1	104
ENSG00000129625	343	1482
ENSG00000129636	352	621
ENSG00000129646	120	4
ENSG00000129654	0	0
ENSG00000129657	336	270
ENSG00000129667	75	89
ENSG00000129673	0	1
ENSG00000129675	104	152
ENSG00000129680	840	613
ENSG00000129682	1	107
ENSG00000129691	250	553
ENSG00000129696	194	258
ENSG00000129744	0	0
ENSG00000129749	8	1
ENSG00000129757	4	14
ENSG00000129810	368	394
ENSG00000129824	0	37
ENSG00000129862	0	0
ENSG00000129864	0	0
ENSG00000129873	0	0
ENSG00000129910	0	0
ENSG00000129911	18	118
ENSG00000129925	168	91
ENSG00000129932	72	141
ENSG00000129933	268	450
ENSG00000129946	5	13
ENSG00000129951	8	30
ENSG00000129965	0	0
ENSG00000129968	49	9
ENSG00000129988	0	0
ENSG00000129990	0	0
ENSG00000129991	35	13
