	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
CEP41	422	448	245	183	203	157	142	160
CEP44	257	256	154	106	449	460	282	392
CEP55	1413	1353	598	463	1217	1087	911	1153
CEP57	537	611	263	189	1285	1165	934	1180
CEP57L1	213	208	80	70	297	236	206	264
CEP63	147	144	80	52	302	258	204	294
CEP68	230	309	131	96	448	356	255	376
CEP70	179	142	71	43	533	496	363	501
CEP72	244	319	156	95	507	431	275	321
CEP76	492	593	268	195	388	379	255	324
CEP78	672	795	370	237	1823	1688	1228	1574
CEP83	295	299	88	88	1134	1059	614	838
CEP85	562	805	370	242	1266	1116	902	1102
CEP85L	260	257	111	90	635	579	443	581
CEP89	686	814	447	291	204	177	138	175
CEP95	225	283	126	82	1469	1312	830	1095
CEP97	556	644	250	194	1096	991	793	957
CEPT1	939	1104	451	284	706	564	644	760
CERCAM	331	357	141	94	440	423	275	346
CERK	351	479	151	106	786	693	688	830
CERKL	19	25	9	3	19	17	13	14
CERS2	2046	2870	919	589	1480	1198	1231	1562
CERS4	237	325	124	67	84	81	73	67
CERS5	558	689	346	194	402	302	216	270
CERS6	642	810	310	215	594	537	403	485
CES2	39	74	36	25	455	415	315	423
CES3	70	106	44	27	161	159	120	153
CETN2	729	1032	454	305	725	712	457	661
CETN3	721	900	408	260	445	421	279	365
CFAP126	0	1	1	1	131	110	77	76
CFAP157	2	0	1	0	40	33	26	23
CFAP20	918	943	506	349	577	453	486	597
CFAP221	6	3	0	0	20	14	17	17
CFAP298	384	500	207	125	429	393	344	479
CFAP36	483	527	227	161	841	717	666	804
CFAP410	64	102	50	30	136	116	103	94
CFAP43	17	31	15	6	55	38	27	46
CFAP44	11	8	4	5	938	895	544	700
CFAP54	44	37	19	8	37	33	20	37
CFAP69	52	62	22	20	184	169	120	154
CFAP70	41	27	20	16	102	121	71	99
CFAP97	710	700	321	244	740	629	580	814
CFD	49	68	44	25	49	46	17	35
CFDP1	590	773	290	200	1091	1107	910	1176
CFL1	5586	8179	3664	2061	5356	5391	3909	4976
CFL2	1414	1594	804	459	619	622	397	536
CFLAR	124	167	84	49	258	222	132	214
CGGBP1	547	632	251	124	739	656	580	765
CGN	162	181	109	62	386	317	238	309
CGNL1	140	132	88	55	68	44	36	60
CGRRF1	116	135	55	46	189	184	177	204
CHAC2	431	544	209	159	410	410	272	359
CHAF1A	1223	1603	657	469	2570	2555	1666	2135
CHAF1B	1332	1509	621	452	1279	1123	869	1174
CHAMP1	1027	1241	610	382	423	394	184	249
CHCHD1	1053	1358	728	385	381	352	238	297
CHCHD10	1094	1257	570	285	116	105	68	91
CHCHD2	1709	2290	841	497	1723	1473	1451	1737
CHCHD3	765	937	398	244	870	845	575	800
CHCHD4	255	332	142	105	317	275	230	329
CHCHD5	216	250	119	54	95	70	63	73
CHCHD6	217	292	86	64	280	261	196	257
CHCHD7	305	306	156	101	508	529	342	484
CHD1	2170	2456	1012	759	5547	5378	3959	5180
CHD1L	967	1142	486	305	3570	3278	2415	2887
CHD2	315	443	166	110	2361	2202	1501	1893
CHD3	689	806	417	254	2545	2392	1622	2215
CHD4	1167	1296	596	408	1735	1726	1186	1543
CHD5	33	39	23	18	24	33	13	14
CHD6	558	784	373	200	2598	2400	1674	2326
CHD7	865	1000	493	292	3450	2997	1819	2523
CHD8	1955	2372	1231	841	5963	5245	3753	4772
CHD9	483	513	310	203	2765	2400	1818	2313
CHDH	176	239	111	67	289	268	241	289
CHEK1	789	914	489	302	1152	1001	847	1064
CHEK2	948	900	459	273	785	740	627	833
CHERP	2267	3312	1542	957	635	434	204	322
CHFR	212	256	148	75	266	207	121	164
CHGA	16	24	14	8	12	16	11	15
CHIC1	39	74	22	20	83	75	44	64
CHIC2	147	169	62	42	166	174	126	174
CHID1	788	938	362	191	760	719	543	747
CHKA	356	395	177	109	377	370	283	372
CHKB	43	59	40	22	312	293	216	237
CHM	359	479	240	139	530	501	413	503
CHML	415	432	217	129	1413	1343	1069	1364
CHMP1A	745	995	442	282	478	472	344	397
CHMP1B	482	630	282	204	266	290	190	244
CHMP2A	972	1276	566	324	523	521	334	517
CHMP2B	1012	1047	498	344	938	948	783	954
CHMP4A	12	24	13	10	66	60	22	41
CHMP4B	633	701	301	184	541	522	258	372
CHMP4C	193	184	103	73	41	39	35	40
CHMP5	1194	1288	644	405	999	1088	697	892
CHMP6	138	153	72	56	120	111	95	121
CHMP7	506	556	251	152	491	427	305	389
CHN1	216	252	70	52	400	402	329	395
CHORDC1	306	507	180	128	1095	1073	703	1033
CHP1	377	467	195	106	202	186	168	197
CHPF	465	709	315	163	298	277	168	225
CHPF2	219	360	162	95	446	351	305	394
CHPT1	760	803	281	191	1004	849	756	821
CHRAC1	282	322	142	98	107	114	69	117
CHRDL1	0	1	1	0	27	20	16	25
CHRNA10	1	1	0	1	14	14	10	13
CHRNA3	8	11	5	3	91	75	54	54
CHRNA5	357	402	219	108	920	815	683	839
CHRNA7	38	25	15	15	22	21	15	18
CHRNB1	38	48	20	8	25	32	16	18
CHRNG	0	0	0	0	74	69	34	38
CHST10	187	236	114	67	356	315	308	371
CHST11	341	441	155	99	73	73	63	87
CHST12	182	241	94	54	182	173	94	142
CHST14	366	567	202	122	98	75	54	55
CHST15	108	103	51	30	140	122	94	140
CHST2	2	2	3	4	62	57	45	37
CHST3	90	106	60	27	48	46	29	44
CHST7	101	109	44	23	71	48	36	38
CHSY1	129	143	64	41	1011	988	734	883
CHSY3	115	144	67	37	170	126	124	129
CHTF18	292	409	208	128	1070	949	769	1023
CHTF8	181	235	147	87	181	134	115	197
CHTOP	1329	1869	937	649	1199	1234	872	1181
CHUK	682	896	331	210	2142	1957	1469	1847
CHURC1	340	401	252	138	363	346	229	241
CIAO1	1208	1387	505	308	1226	1201	920	1111
CIAO2A	366	368	328	159	576	629	431	488
CIAO2B	767	858	430	219	554	485	422	599
CIAO3	275	364	159	115	251	231	217	263
CIAPIN1	648	825	339	201	866	939	674	793
CIB1	568	667	331	218	486	384	347	446
CIB2	32	31	10	13	76	60	76	80
CIC	272	366	179	96	608	489	262	361
CIDEB	1	1	2	0	264	262	212	236
CILP2	157	244	80	71	72	63	35	56
CINP	582	718	412	264	543	513	330	517
CIP2A	1471	1528	733	502	3619	3355	2580	3313
CIPC	156	176	70	44	232	215	173	254
CIR1	335	409	228	160	408	412	313	415
CIRBP	537	839	362	260	1068	1035	847	1237
CISD1	401	576	263	142	414	397	315	377
CISD2	710	826	385	246	403	371	267	322
CISD3	178	213	92	45	57	37	45	83
CIT	1164	1366	584	393	1651	1489	844	1079
CITED1	8	16	4	3	127	118	72	87
CITED2	492	684	285	184	126	132	104	134
CIZ1	1068	1393	569	363	1375	1134	858	1125
CKAP2	4971	5751	3009	2047	4114	3840	2714	3649
CKAP2L	524	638	294	227	919	793	602	799
CKAP4	1681	2361	908	487	948	824	667	869
CKAP5	7665	8699	3764	2658	11539	10765	8157	10160
CKB	26464	33969	13953	8263	5854	5033	5060	7221
CKLF	122	172	66	38	237	202	199	246
CKMT1A	21	38	22	10	54	55	31	35
CKMT1B	16	42	15	6	66	65	52	64
CKMT2	13	18	8	4	98	80	25	45
CKS1B	7	5	8	4	25	20	24	28
CKS2	1184	1273	670	518	1126	885	937	1182
CLASP1	765	881	478	292	1661	1474	1031	1275
CLASP2	276	338	167	106	1067	931	711	957
CLASRP	322	456	164	101	518	456	346	470
CLBA1	50	62	41	15	75	67	63	72
CLCC1	845	1027	433	259	1429	1390	926	1223
CLCN2	51	59	29	10	105	110	68	91
CLCN3	467	530	232	169	1247	1172	936	1347
CLCN5	135	178	70	37	346	296	266	301
CLCN6	78	90	54	25	294	262	135	200
CLCN7	407	527	223	121	559	393	400	449
CLDN12	261	304	138	90	206	159	161	208
CLDN15	13	5	4	2	62	62	34	52
CLDN20	0	0	0	0	80	84	24	32
CLDND1	451	459	230	154	735	628	532	790
CLEC11A	113	144	51	26	29	19	11	11
CLEC16A	130	204	60	43	527	490	288	402
CLEC2D	5	1	2	0	49	28	18	31
CLGN	455	486	186	107	604	640	525	565
CLHC1	24	20	12	5	113	103	69	93
CLIC1	2070	2485	1157	738	1858	1739	1467	1811
CLIC4	1106	1352	644	393	505	480	355	397
CLINT1	2861	3398	1516	1075	2072	1860	1769	2227
CLIP1	770	889	444	300	1444	1315	909	1119
CLIP2	30	29	12	7	74	54	31	42
CLIP3	29	28	24	19	64	47	28	23
CLIP4	139	159	61	49	426	382	271	332
CLK1	363	466	292	186	1415	1455	1015	1297
CLK2	225	286	148	110	1115	1006	683	960
CLK3	604	738	326	213	622	551	449	578
CLK4	213	240	134	82	583	567	349	467
CLMN	194	186	82	49	172	170	106	139
CLN5	112	130	52	31	203	200	144	201
CLN6	577	756	252	141	456	356	429	550
CLN8	34	49	17	18	32	27	31	24
CLNS1A	2394	2893	1195	724	2472	2456	1639	2056
CLOCK	166	156	89	44	507	435	404	453
CLP1	304	403	221	130	427	390	366	442
CLPB	1021	1221	646	368	1814	1645	1334	1534
CLPP	1341	1628	699	449	610	582	548	679
CLPTM1	1495	1979	676	363	1015	851	723	1013
CLPTM1L	1131	1492	578	315	2118	2044	1702	2150
CLPX	1287	1304	639	402	1021	966	726	900
CLSPN	2255	2845	1402	951	3725	3511	2396	3099
CLSTN1	2119	2725	1143	621	1675	1504	835	1094
CLSTN3	405	432	197	116	200	153	131	143
CLTA	1990	2450	978	597	1780	1641	1289	1556
CLTB	783	1131	427	292	605	634	471	633
CLTC	22343	26725	11350	7845	18638	16807	12345	15498
CLTCL1	285	328	154	85	902	779	532	732
CLU	2108	2433	938	545	145	126	114	136
CLUAP1	270	316	142	99	325	354	246	338
CLUH	2863	3781	1640	1000	2174	1884	1270	1868
CLVS2	10	7	4	0	22	19	12	11
CLYBL	44	54	16	15	87	70	46	75
CMAS	1273	1379	684	438	1183	1224	763	967
CMBL	1629	1790	684	493	183	167	84	100
CMC1	221	264	96	77	213	200	160	241
CMC2	229	298	150	77	211	276	180	231
CMC4	100	147	74	42	220	252	153	241
CMIP	411	454	206	109	202	184	79	111
CMPK1	1210	1539	679	447	801	727	518	673
CMSS1	630	641	314	231	1580	1392	1172	1368
CMTM1	0	2	1	1	19	18	14	18
CMTM3	131	171	54	31	50	45	46	49
CMTM4	137	133	52	23	184	187	100	149
CMTM6	776	863	372	242	577	538	407	524
CMTM7	150	248	117	66	122	91	87	102
CMTM8	186	258	91	63	88	83	63	75
CMTR1	1488	1760	873	592	2140	2026	1558	2011
CMTR2	276	298	111	82	374	306	273	341
CMYA5	5	4	0	3	67	61	31	58
CNBP	5708	7954	3989	2183	3355	2979	2542	3254
CNDP2	1030	1371	514	339	559	532	365	529
CNEP1R1	38	49	22	7	51	30	24	38
CNIH1	1106	1521	636	442	455	408	383	471
CNIH4	1220	1344	654	481	1057	936	871	1110
CNKSR3	282	378	109	70	320	275	217	280
CNN2	773	962	345	175	200	165	163	215
CNN3	4155	4498	1829	1253	2108	1813	1609	1944
CNNM1	262	370	192	105	100	75	46	47
CNNM2	161	214	82	54	217	244	160	190
CNNM3	307	361	170	87	350	336	231	308
CNNM4	201	242	96	68	248	188	152	218
CNOT1	4783	5384	2250	1512	14379	12254	9298	11465
CNOT10	1220	1380	607	367	2269	2106	1704	2162
CNOT11	990	1110	466	286	774	797	659	728
CNOT2	942	1099	658	423	1245	1057	1040	1256
CNOT3	1110	1438	565	359	662	513	289	417
CNOT4	372	478	221	138	347	290	212	262
CNOT6	505	533	279	193	1573	1363	739	1035
CNOT6L	178	173	82	60	294	265	149	241
CNOT7	248	226	115	72	1265	1252	942	1151
CNOT8	612	774	308	222	527	552	395	463
CNOT9	1384	1402	640	376	823	731	609	783
CNP	1299	1755	709	440	761	724	518	772
CNPPD1	394	679	287	174	171	147	139	185
CNPY3	350	392	129	100	363	317	213	293
CNPY4	67	96	55	34	120	117	91	98
CNRIP1	50	78	33	20	67	34	32	39
CNST	110	113	43	27	384	315	244	367
CNTF	4	2	5	0	63	58	37	51
CNTLN	318	368	137	92	610	567	364	558
CNTN1	299	267	99	63	261	210	183	238
CNTN2	0	2	0	0	19	14	10	11
CNTNAP1	62	60	24	11	70	65	45	53
CNTNAP2	187	204	115	57	38	48	23	46
CNTNAP3	6	16	1	2	54	34	31	28
CNTNAP3B	2	1	0	0	30	17	20	23
CNTRL	252	242	160	86	1119	1043	634	900
CNTROB	79	105	42	31	730	655	489	648
COA1	382	527	320	183	617	534	530	643
COA3	395	699	320	156	328	325	204	295
COA4	480	614	288	170	419	440	335	435
COA5	142	154	77	40	89	94	68	80
COA6	989	1195	671	406	731	661	426	561
COA7	455	639	351	163	690	679	474	588
COASY	614	692	384	226	760	646	426	606
COBL	200	243	89	58	252	218	118	182
COBLL1	331	354	181	112	316	315	221	279
COCH	3705	4140	1583	925	1362	1169	971	1280
COG1	575	704	310	196	746	677	448	503
COG2	933	1070	515	319	1968	1905	1510	1885
COG3	383	466	244	157	657	598	518	621
COG4	744	873	434	236	1124	1048	886	1048
COG5	1158	1123	601	383	986	878	653	897
COG6	943	963	382	261	640	585	418	573
COG7	424	481	255	157	369	326	247	323
COG8	363	437	203	119	282	248	232	309
COIL	594	794	414	272	1142	1037	946	1132
COL10A1	2	0	1	0	178	167	110	149
COL11A2	7	7	7	1	54	44	31	32
COL12A1	23	28	14	11	77	66	44	40
COL13A1	23	23	10	6	66	55	33	45
COL14A1	813	922	395	252	239	214	149	209
COL18A1	291	446	128	71	887	830	472	571
COL19A1	31	39	13	8	75	63	37	51
COL1A1	106	123	44	18	68	76	21	41
COL24A1	19	17	10	4	45	46	35	35
COL25A1	183	244	128	61	209	224	112	161
COL26A1	47	63	19	10	16	17	14	10
COL27A1	26	28	22	5	378	298	187	236
COL2A1	86	94	36	23	669	595	307	448
COL4A1	1059	1480	594	290	814	743	528	674
COL4A2	791	1181	403	205	1087	1040	693	832
COL4A3	32	48	17	5	55	54	42	43
COL4A3BP	376	525	213	132	597	570	348	420
COL4A4	200	246	100	57	59	45	40	49
COL4A5	271	366	150	83	1076	1008	637	804
COL4A6	136	187	68	57	356	341	275	326
COL5A1	109	131	37	29	204	203	83	130
COL5A2	365	417	228	97	63	66	45	80
COL6A1	1130	1501	599	312	608	512	271	426
COL6A2	335	422	151	83	272	270	195	271
COL6A5	0	1	2	2	12	22	17	19
COL6A6	2	2	0	1	47	23	17	27
COL7A1	6	10	4	3	252	257	138	174
COLEC12	291	341	143	85	157	160	118	153
COLGALT1	1124	1427	530	288	953	927	652	941
COLGALT2	45	50	24	15	118	107	75	95
COLQ	20	38	18	15	65	42	28	35
COMMD1	300	350	195	119	177	160	126	142
COMMD10	295	310	159	102	150	130	111	134
COMMD2	623	664	350	199	540	457	371	444
COMMD3	319	413	172	102	208	171	175	203
COMMD3-BMI1	52	70	35	26	103	98	75	122
COMMD4	1009	1215	598	328	928	873	707	791
COMMD5	90	155	78	36	139	126	118	137
COMMD6	370	474	187	96	284	243	206	308
COMMD7	12	19	9	9	10	11	17	25
COMMD8	394	495	215	167	296	295	187	250
COMMD9	336	452	234	156	339	271	360	447
COMT	1239	1478	566	322	599	636	445	581
COMTD1	348	513	246	150	219	223	160	175
COP1	320	375	171	114	1434	1302	1091	1277
COPA	5673	6926	2902	1973	5597	5371	4127	5280
COPB1	4553	4934	2360	1602	5019	4801	3898	4741
COPB2	5381	6125	2748	1928	5364	4978	4227	5387
COPE	2465	3091	1258	755	1353	1245	941	1124
COPG1	3394	4030	1675	1081	2275	1883	1650	2130
COPG2	2199	2376	1053	667	1450	1275	919	1163
COPRS	509	721	291	175	663	596	406	486
COPS2	2157	2407	1116	741	1666	1631	1213	1476
COPS3	3141	3674	1468	999	6528	5596	5509	6485
COPS4	1851	1982	927	658	1362	1198	1011	1318
COPS5	1394	1617	816	550	1753	1684	1177	1562
COPS6	4971	5808	2264	1522	1296	1162	716	991
COPS7A	1052	1089	510	348	362	351	251	356
COPS7B	592	641	319	173	323	284	186	257
COPS8	994	1016	420	276	687	661	607	713
COPS9	906	1360	691	349	347	399	157	240
COPZ1	2025	2462	1236	694	1398	1328	891	1159
COQ10A	168	241	109	81	114	87	94	109
COQ10B	270	338	118	111	209	236	166	202
COQ2	247	343	155	86	495	466	327	424
COQ3	616	595	340	218	591	548	491	584
COQ4	195	228	144	65	285	235	202	259
COQ5	533	624	229	139	304	266	231	292
COQ6	479	609	249	147	379	337	315	391
COQ7	336	418	174	148	346	350	234	312
COQ8A	901	1126	524	287	1817	1736	1501	1828
COQ8B	299	380	182	115	242	228	183	221
COQ9	328	424	171	114	454	507	345	485
CORO1A	96	126	56	40	40	32	31	35
CORO1B	908	1325	507	311	596	533	477	621
CORO1C	3708	4261	1880	1191	1519	1245	1054	1287
CORO2A	113	103	37	24	43	27	36	43
CORO6	21	23	7	6	33	31	23	30
CORO7-PAM16	90	116	83	37	38	30	44	52
COTL1	584	687	262	177	56	63	40	68
COX10	150	172	56	35	303	290	206	296
COX11	684	906	489	300	1005	890	736	964
COX14	364	419	257	150	152	126	121	138
COX15	927	1160	461	322	639	549	492	566
COX16	408	486	353	183	169	155	84	148
COX17	263	326	218	115	281	284	151	203
COX18	345	311	175	102	230	179	188	232
COX19	125	144	83	62	73	81	54	65
COX20	53	40	20	16	551	527	356	458
COX4I1	4021	5270	2059	1349	2945	3019	2176	2906
COX5A	3347	4421	1572	1057	1440	1285	1191	1415
COX5B	2515	3076	1289	894	1560	1455	1209	1365
COX6A1	714	1031	386	257	361	292	165	288
COX6B1	4849	6242	2841	1684	1307	1055	1085	1481
COX6C	2190	2259	1418	875	1360	1336	989	1391
COX7A2	3257	3709	2111	1457	1119	1012	809	948
COX7A2L	876	986	427	280	579	518	437	559
COX7B	3555	3359	1556	1062	2044	1910	1624	2136
COX7C	1636	1774	1067	473	2013	1758	1446	1988
COX8A	1012	1603	582	398	642	571	536	585
CPB2	0	0	0	1	25	10	12	13
CPD	2236	2671	1128	636	1959	1758	1381	1825
CPE	1278	1616	703	376	614	543	409	572
CPEB2	76	103	55	37	86	73	42	64
CPEB3	57	88	34	25	62	44	34	43
CPEB4	221	272	125	72	252	245	189	253
CPLANE1	924	1007	459	310	2532	2137	1419	1861
CPLANE2	45	52	26	18	36	34	29	32
CPM	90	103	47	25	37	26	29	33
CPNE1	1021	1213	617	336	1172	1053	817	1002
CPNE2	99	130	36	17	186	169	160	202
CPNE3	2205	2657	1138	753	2352	2053	1808	2290
CPNE7	2	1	2	0	36	23	19	27
CPNE8	585	685	316	227	452	420	292	337
CPOX	682	939	370	252	874	891	641	845
CPPED1	102	115	44	21	85	80	70	74
CPS1	131	154	143	84	1451	1308	1006	1309
CPSF1	1113	1547	623	453	1758	1476	1088	1571
CPSF2	2609	2844	983	669	2905	2821	2041	2612
CPSF3	2188	2421	1119	803	2841	2638	2189	2661
CPSF4	570	574	229	158	273	242	226	262
CPSF6	2145	2853	1318	859	2740	2608	2335	2879
CPSF7	1102	1478	681	464	789	671	589	767
CPT1A	265	222	110	84	252	208	156	199
CPT1B	19	11	18	8	291	268	254	271
CPT1C	55	44	24	26	46	36	29	28
CPT2	1060	1181	594	303	706	564	515	627
CPTP	184	231	78	55	42	32	35	58
CPVL	1388	1631	701	391	1130	1091	972	1238
CPZ	4	7	8	1	74	66	31	31
CR2	102	90	52	28	84	85	55	82
CRABP2	301	354	142	109	56	53	34	35
CRACR2A	78	73	26	16	220	184	119	149
CRADD	91	117	41	38	48	47	57	73
CRAMP1	238	285	137	67	473	389	257	285
CRAT	56	38	23	15	148	126	111	144
CRBN	344	444	221	128	781	700	621	756
CRCP	90	117	42	29	91	70	42	49
CREB1	488	580	227	144	398	354	290	373
CREB3	204	221	111	93	443	426	432	484
CREB3L2	644	822	377	237	268	224	109	132
CREB3L4	61	91	42	31	101	90	85	109
CREB5	150	141	69	48	164	141	94	127
CREBBP	1165	1386	528	310	2034	1544	826	1120
CREBL2	54	69	45	21	107	113	58	76
CREBRF	62	69	38	23	208	201	134	181
CREBZF	154	225	94	78	782	831	517	660
CREG1	1075	1347	541	278	222	188	137	163
CRELD1	89	101	31	30	126	127	80	127
CRELD2	244	403	127	71	550	605	376	433
CREM	346	416	261	171	122	105	88	106
CRIM1	372	380	227	110	609	555	374	463
CRIPT	313	385	153	111	202	207	114	157
CRISPLD1	313	345	176	109	349	327	289	343
CRK	589	839	338	234	659	705	420	529
CRKL	789	1074	410	273	1123	1083	820	1053
CRLF3	407	416	195	123	492	431	301	399
CRLS1	70	98	46	28	28	35	10	20
CRMP1	245	256	83	53	52	41	24	32
CRNKL1	1115	1263	678	444	1453	1402	1062	1266
CROCC	122	208	90	41	247	227	134	169
CROT	278	315	132	95	265	254	194	269
CRTAP	1113	1444	413	253	1437	1200	968	1189
CRTC1	163	212	110	60	158	88	67	89
CRTC2	439	565	249	137	236	209	123	171
CRTC3	163	196	102	63	265	217	171	206
CRY1	389	437	164	114	868	828	679	845
CRY2	49	81	42	22	209	175	125	161
CRYBG3	508	603	315	201	2850	2706	1984	2552
CRYGD	0	0	0	2	32	30	27	37
CRYL1	146	170	52	46	54	45	38	63
CRYZ	835	904	512	292	409	362	338	416
CRYZL1	433	478	272	147	423	366	267	330
CS	3296	3817	1394	888	2523	2120	1371	1958
CSAD	24	24	15	10	132	106	59	88
CSDE1	8392	9579	2564	1910	24045	23105	18685	23694
CSE1L	17110	20300	8803	5949	13720	12301	10975	13788
CSF1	116	157	60	38	27	20	26	20
CSGALNACT2	137	137	54	31	180	210	134	163
CSK	1079	1389	537	322	830	730	470	638
CSKMT	1	3	3	0	79	68	62	65
CSNK1A1	2804	3518	1131	761	2880	2604	2289	2884
CSNK1D	842	1062	467	260	792	657	399	549
CSNK1G1	154	209	103	54	330	282	168	229
CSNK1G2	176	201	86	55	839	692	727	922
CSNK1G3	564	596	274	193	675	613	394	580
CSNK2A1	411	580	192	127	782	656	546	715
CSNK2A2	1220	1473	528	349	1018	904	433	632
CSNK2B	1587	1891	706	435	651	594	598	752
CSPG4	63	87	30	16	31	32	19	15
CSPG5	118	165	63	25	393	329	285	333
CSPP1	254	328	133	101	1337	1184	772	1032
CSRNP1	62	79	56	33	42	52	56	65
CSRNP2	164	217	110	52	282	237	191	217
CSRNP3	45	48	32	12	53	61	39	43
CSRP2	873	1313	506	314	764	794	575	723
CST3	1284	1709	650	375	476	466	301	380
CSTB	1430	2096	830	499	430	370	362	460
CSTF1	1355	1630	780	535	897	748	737	857
CSTF2	1069	1398	621	409	1642	1514	1360	1552
CSTF2T	1326	1823	931	675	924	865	786	924
CSTF3	1365	1641	772	518	1300	1213	957	1178
CTBP1	805	1037	495	285	1312	1247	1025	1311
CTBP2	511	556	244	147	582	501	363	469
CTBS	235	234	109	59	133	137	80	121
CTC1	106	122	77	27	247	200	142	196
CTCF	1044	1265	662	372	1813	1715	1410	1807
CTDNEP1	188	251	104	74	293	218	130	187
CTDP1	341	488	206	133	410	405	267	319
CTDSP1	186	307	103	74	226	178	142	171
CTDSP2	316	344	146	83	185	166	111	155
CTDSPL	55	66	33	21	216	203	141	163
CTDSPL2	634	607	286	192	879	783	624	814
CTH	304	299	163	86	240	217	168	214
CTIF	110	128	53	34	136	148	124	124
CTNNA1	6280	7537	3030	1978	3233	2994	2292	2830
CTNNAL1	1589	1552	614	379	2772	2531	2032	2588
CTNNB1	8609	10992	5771	3617	14301	12838	11504	14073
CTNNBIP1	110	142	62	46	65	77	57	73
CTNNBL1	1183	1497	619	395	1038	946	785	890
CTNND1	1481	1746	888	624	2512	2265	1494	1856
CTNS	167	232	111	56	226	146	160	220
CTPS1	3050	3815	1651	1071	4099	3888	2693	3450
CTPS2	532	584	272	168	853	792	603	781
CTR9	2242	2651	1218	890	2749	2548	1976	2682
CTRL	1	2	0	1	51	50	21	34
CTSA	969	1116	469	266	657	627	558	747
CTSB	1224	1351	578	294	372	354	295	367
CTSC	1334	1816	764	408	649	581	507	616
CTSD	201	254	91	46	101	98	90	110
CTSF	0	1	0	0	154	156	146	163
CTSH	83	78	30	18	331	347	276	315
CTSK	1	0	5	0	35	29	14	23
CTSL	813	1123	476	281	855	836	729	880
CTSO	11	10	11	2	29	36	30	30
CTSV	501	682	309	152	320	303	246	313
CTSZ	1340	1756	673	373	137	107	88	114
CTTN	2339	2788	1064	725	2604	2696	1801	2373
CTTNBP2	179	227	122	59	203	186	109	143
CTTNBP2NL	317	404	166	102	315	288	197	247
CTU1	191	322	125	68	59	56	27	39
CTU2	203	282	125	88	518	446	439	501
CUBN	3	4	2	1	46	45	30	34
CUEDC1	90	130	42	38	122	126	83	94
CUEDC2	994	1374	581	368	652	682	530	609
CUL1	1980	2380	990	639	2793	2781	2010	2623
CUL2	2893	3098	1367	1008	1076	977	722	896
CUL3	2940	3364	1485	972	3041	2850	1952	2548
CUL4A	1056	1252	434	294	890	805	630	762
CUL4B	2559	2629	1204	819	3402	3164	2330	3077
CUL5	875	872	381	283	2024	1978	1330	1745
CUL7	616	818	364	234	671	561	436	523
CUL9	201	209	110	73	481	390	243	307
CUTA	1321	1811	848	463	1032	977	684	945
CUTC	452	504	243	160	530	500	410	504
CUX1	652	814	471	319	980	852	458	646
CUX2	45	53	29	16	36	34	21	28
CWC15	922	1042	514	358	1546	1610	1209	1564
CWC22	713	857	367	273	1423	1326	1114	1390
CWC25	133	188	101	56	273	258	173	227
CWC27	591	674	251	187	837	828	618	769
CWF19L1	1403	1559	825	557	1336	1232	983	1188
CWF19L2	330	414	195	131	1469	1368	943	1240
CXADR	310	414	205	114	408	305	286	337
CXCL16	279	291	92	59	28	28	19	18
CXCR4	107	135	64	34	32	38	32	44
CXCR6	0	0	1	0	81	46	24	40
CXXC1	480	774	406	247	917	845	631	885
CXXC5	55	82	23	18	43	34	31	42
CXorf38	179	177	112	64	317	276	184	260
CXorf40A	20	10	8	5	57	59	45	50
CXorf40B	41	34	6	10	123	119	72	114
CXorf56	288	520	237	132	611	673	437	556
CYB561	62	82	30	13	33	37	34	26
CYB561A3	83	136	56	23	163	167	138	178
CYB561D1	26	41	15	10	39	26	19	24
CYB561D2	172	221	100	47	159	97	123	112
CYB5A	462	615	221	162	484	450	334	391
CYB5B	1237	1422	651	409	932	866	718	857
CYB5D1	97	150	86	56	221	225	155	215
CYB5D2	132	191	96	68	150	130	92	119
CYB5R1	281	364	172	102	463	459	445	470
CYB5R3	2574	3127	1365	705	469	378	235	314
CYB5R4	502	503	194	111	661	585	481	564
CYB5RL	22	34	18	8	117	117	81	77
CYBA	1510	2190	957	568	706	639	480	617
CYBC1	128	210	111	52	149	126	106	129
CYBRD1	80	94	33	10	57	44	30	51
CYC1	2369	2878	1093	670	2524	2174	2018	2378
CYCS	1078	1146	438	413	2161	2295	1518	2044
CYFIP1	2424	3015	1270	827	2025	1720	1644	1967
CYFIP2	2093	2597	945	601	1487	1236	1045	1268
CYHR1	169	189	76	47	210	213	131	184
CYLD	273	300	121	73	888	783	673	781
CYP1B1	21	22	15	8	29	32	13	23
CYP20A1	248	335	138	92	473	391	338	394
CYP26A1	72	55	26	16	61	47	52	63
CYP26B1	31	14	8	8	31	21	17	19
CYP27B1	18	9	5	7	93	77	40	78
CYP27C1	7	14	4	4	17	18	12	17
CYP2D6	0	2	1	0	33	26	10	18
CYP2E1	1	0	0	0	44	46	17	31
CYP2J2	106	124	51	34	68	67	51	52
CYP2R1	56	66	38	28	206	187	168	178
CYP2U1	131	153	87	60	89	76	86	94
CYP39A1	40	44	25	18	101	86	74	103
CYP3A5	15	26	13	7	48	39	16	30
CYP4V2	51	44	43	10	178	162	102	144
CYP51A1	919	1025	445	287	1659	1602	1133	1446
CYREN	291	354	202	112	380	408	256	290
CYSTM1	572	636	335	190	134	101	97	128
