	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	64	73	70	79
A2M	74	59	57	55
AAAS	1173	1090	1222	909
AACS	348	331	281	290
AADAT	328	325	324	244
AAGAB	1518	1420	1345	953
AAK1	207	185	131	165
AAMDC	153	139	152	100
AAMP	3486	3334	3098	2261
AAR2	549	469	620	430
AARS	4051	3786	3935	3162
AARS2	1275	1114	1092	929
AASDH	893	778	824	641
AASDHPPT	1510	1391	1338	985
AASS	1241	1176	1183	863
AATF	1560	1569	1485	1119
AATK	43	38	34	22
ABAT	37	24	40	22
ABCA1	72	86	43	53
ABCA10	25	22	15	19
ABCA12	49	32	48	41
ABCA2	388	313	311	329
ABCA3	707	555	568	556
ABCA5	565	483	548	450
ABCA7	299	247	240	224
ABCB1	153	159	182	153
ABCB10	1414	1305	1292	1035
ABCB4	28	17	14	17
ABCB6	338	249	279	247
ABCB7	1568	1401	1536	1035
ABCB8	345	270	314	267
ABCB9	153	136	157	110
ABCC1	1109	823	785	924
ABCC10	565	421	436	462
ABCC2	59	63	55	70
ABCC4	1658	1520	1358	1127
ABCC5	970	895	811	766
ABCC6	19	37	26	29
ABCC8	47	43	46	38
ABCD1	46	37	41	44
ABCD2	21	19	19	14
ABCD3	2747	2536	2421	1737
ABCD4	543	497	486	421
ABCE1	3873	3640	3886	2705
ABCF1	2623	2595	2634	2104
ABCF2	97	93	110	117
ABCF3	619	593	507	460
ABCG1	25	18	19	10
ABCG2	65	45	74	43
ABHD1	44	46	48	50
ABHD10	875	826	830	573
ABHD11	196	136	134	113
ABHD12	321	295	321	254
ABHD12B	51	35	36	50
ABHD13	96	101	118	86
ABHD14A	51	29	33	23
ABHD14B	156	114	177	125
ABHD15	54	51	40	27
ABHD16A	331	248	385	232
ABHD16B	47	44	41	32
ABHD17A	34	32	32	27
ABHD17B	405	339	381	256
ABHD17C	86	81	70	59
ABHD18	368	310	315	250
ABHD2	423	433	402	393
ABHD3	281	230	324	194
ABHD4	56	57	31	35
ABHD5	488	403	478	352
ABHD6	155	115	109	72
ABHD8	145	118	100	112
ABI1	551	485	607	408
ABI2	612	538	640	483
ABI3BP	32	38	30	23
ABL1	1010	943	777	816
ABL2	1151	996	920	959
ABLIM1	518	504	559	420
ABLIM2	19	16	18	14
ABR	431	393	377	305
ABRACL	405	407	378	254
ABRAXAS1	207	192	212	176
ABRAXAS2	527	454	499	344
ABT1	1036	989	1092	737
ABTB1	15	22	14	23
ABTB2	123	102	94	92
AC003665.1	28	21	36	22
AC004080.3	55	52	45	31
AC004475.1	531	472	497	408
AC005324.3	18	20	14	15
AC005520.1	28	35	33	13
AC006213.1	105	80	71	58
AC007950.1	478	393	388	316
AC008403.1	36	46	28	29
AC008581.2	11	19	12	10
AC008755.1	982	939	621	735
AC008878.3	13	18	18	19
AC009133.6	28	30	25	19
AC010618.1	416	347	306	269
AC010761.1	65	51	59	46
AC011455.2	42	45	35	28
AC011462.1	70	52	38	54
AC011481.1	1385	1319	1368	1048
AC011529.1	71	61	58	79
AC012184.2	25	20	26	12
AC015813.2	237	209	179	137
AC017083.3	44	44	34	33
AC018523.2	35	33	36	19
AC018630.2	35	27	21	18
AC022826.2	42	39	38	28
AC023055.1	26	23	15	15
AC025287.4	35	20	17	19
AC026464.4	51	46	44	30
AC026470.1	707	687	665	533
AC026786.1	48	36	33	25
AC026954.2	21	17	22	18
AC048338.1	33	34	36	24
AC068533.4	26	30	22	32
AC068790.8	146	121	156	113
AC068896.1	50	67	45	36
AC073610.2	55	55	55	41
AC073896.1	210	170	231	147
AC074143.1	17	14	11	16
AC079447.1	84	66	72	22
AC079594.2	47	41	41	20
AC080038.1	125	107	122	97
AC087289.1	42	42	32	21
AC090004.1	120	79	121	98
AC091551.1	18	11	25	13
AC092338.1	501	445	443	368
AC092647.5	37	40	34	12
AC092835.1	80	72	53	47
AC093323.1	40	55	28	19
AC093668.1	15	18	25	15
AC097634.4	63	63	54	47
AC099489.1	129	104	108	117
AC104109.3	81	50	69	22
AC108488.2	22	13	18	15
AC117378.1	339	359	339	157
AC118549.1	3960	3622	3824	2891
AC118754.1	22	23	19	25
AC124319.1	2283	1873	1697	1820
AC129492.1	317	218	260	307
AC138811.2	106	76	92	33
AC139530.3	92	67	96	56
AC139768.1	45	37	34	27
AC245033.1	3943	2641	6286	3302
ACAA1	527	466	479	382
ACAA2	567	556	484	344
ACACA	4289	3844	3475	3203
ACACB	480	413	392	419
ACAD10	339	299	281	246
ACAD11	1516	1299	1264	925
ACAD8	424	415	397	305
ACAD9	1062	950	943	824
ACADL	84	74	53	29
ACADM	1952	1985	1843	1240
ACADS	161	143	168	106
ACADSB	400	375	389	310
ACADVL	1184	1019	1164	931
ACAP2	876	808	814	602
ACAP3	416	364	384	351
ACAT1	2462	2293	2207	1490
ACAT2	2710	2475	2503	1816
ACBD3	1510	1482	1550	1010
ACBD4	43	40	39	31
ACBD5	345	326	304	232
ACBD6	1164	1080	1140	859
ACBD7	30	34	29	20
ACCS	65	62	56	39
ACD	230	223	293	224
ACER2	30	19	20	24
ACER3	138	124	149	100
ACIN1	4546	4323	4452	3710
ACLY	9217	8141	9254	7874
ACMSD	25	15	15	22
ACO1	1151	1093	1075	796
ACO2	1654	1438	1634	1365
ACOT1	26	18	19	11
ACOT13	384	350	323	210
ACOT2	140	128	119	60
ACOT7	545	532	480	398
ACOT8	232	178	212	168
ACOT9	582	517	508	414
ACOX1	933	906	846	681
ACOX3	285	260	233	239
ACP1	902	773	805	513
ACP2	249	235	279	214
ACP4	27	25	49	46
ACP6	471	409	413	336
ACRV1	37	31	24	32
ACSBG2	12	15	12	20
ACSF2	147	121	129	110
ACSF3	419	384	425	363
ACSL1	483	470	467	398
ACSL3	2675	2485	2404	1752
ACSL4	1299	1240	1165	908
ACSM3	176	151	118	99
ACSS1	223	228	186	186
ACSS2	284	244	272	231
ACSS3	59	62	45	45
ACTA2	77	63	77	60
ACTB	17010	15507	17772	15271
ACTG1	18956	16596	23767	17374
ACTL6A	1069	1031	1166	763
ACTN1	1426	1215	1272	1281
ACTN2	185	173	118	132
ACTN4	2358	2062	2099	2121
ACTR10	801	786	826	579
ACTR1A	1795	1597	1751	1305
ACTR1B	523	460	472	361
ACTR2	2391	2283	2053	1777
ACTR3	2590	2446	2603	1740
ACTR3B	247	178	160	158
ACTR5	413	354	316	278
ACTR6	1024	1074	941	671
ACTR8	1758	1621	1675	1232
ACTRT3	59	75	54	43
ACVR1	130	75	86	105
ACVR1B	308	323	311	234
ACVR1C	32	36	33	33
ACVR2A	304	285	297	212
ACVR2B	496	437	426	382
ACY1	19	15	14	14
ACYP1	137	138	147	85
ACYP2	30	28	36	28
AD000864.1	43	28	25	33
ADA	200	179	174	106
ADAL	184	168	199	156
ADAM10	915	852	806	696
ADAM11	131	121	133	117
ADAM15	1002	826	1031	747
ADAM17	896	861	775	602
ADAM19	50	67	56	41
ADAM22	384	334	375	290
ADAM23	286	270	260	225
ADAM32	21	31	18	19
ADAM8	35	31	28	27
ADAM9	1986	1936	1873	1343
ADAMTS1	840	753	777	618
ADAMTS10	11	12	16	15
ADAMTS13	161	110	107	125
ADAMTS15	47	22	35	14
ADAMTS17	253	233	182	214
ADAMTS19	210	196	174	173
ADAMTS2	46	27	24	33
ADAMTS20	303	247	252	192
ADAMTS3	259	275	264	200
ADAMTS6	68	68	68	58
ADAMTS7	50	43	44	49
ADAMTS9	298	280	236	232
ADAMTSL3	42	37	41	22
ADAMTSL4	40	40	48	62
ADAP1	61	61	75	59
ADAP2	83	77	63	49
ADAR	5990	5224	5369	4533
ADARB1	322	254	288	280
ADAT1	540	444	400	411
ADAT2	340	331	245	211
ADAT3	58	59	45	31
ADCK1	179	182	159	151
ADCK2	588	550	528	422
ADCK5	65	61	65	45
ADCY1	387	337	340	290
ADCY3	1172	1018	1146	992
ADCY6	385	323	330	274
ADCY7	102	82	94	82
ADCY9	613	558	456	445
ADCYAP1R1	25	25	33	27
ADD1	1359	1388	1315	1160
ADD2	466	445	392	421
ADD3	1347	1188	1403	993
ADGRA2	92	65	74	63
ADGRA3	1071	942	954	760
ADGRB2	278	238	241	222
ADGRB3	363	327	326	265
ADGRE5	92	57	51	48
ADGRG2	53	34	19	27
ADGRG6	103	107	95	79
ADGRL1	831	640	609	729
ADGRL2	2634	2274	2654	1949
ADGRL3	514	430	478	353
ADGRV1	3350	3094	3106	2530
ADH5	1513	1451	1578	1063
ADI1	1232	1224	1073	819
ADIPOR1	1565	1435	1601	1174
ADIPOR2	643	627	740	572
ADK	862	838	800	605
ADM	38	42	56	40
ADNP	3213	2716	2237	2627
ADNP2	1418	1239	1280	1019
ADO	161	182	151	110
ADORA2A	39	25	39	31
ADORA2B	157	127	171	110
ADPGK	964	814	922	685
ADPRHL1	51	45	37	26
ADPRHL2	524	496	487	371
ADPRM	102	88	107	79
ADRA2C	37	48	59	27
ADRM1	1490	1396	1464	1173
ADSL	4044	3727	4056	2867
ADSS	2699	2808	2453	1761
ADSSL1	13	10	13	10
AEBP2	525	423	366	370
AEN	655	598	737	478
AES	221	190	245	194
AFAP1	258	281	213	209
AFAP1L1	100	87	102	82
AFDN	4779	4358	3941	3383
AFF1	533	433	382	486
AFF3	139	112	120	142
AFF4	2175	1790	1895	1790
AFG1L	183	184	179	133
AFG3L2	2560	2396	2213	1778
AFMID	190	175	140	125
AFTPH	783	653	718	552
AGA	261	246	233	154
AGAP1	548	540	508	509
AGAP2	83	84	90	68
AGAP3	1002	795	866	757
AGAP5	35	24	24	35
AGAP6	121	84	127	128
AGAP9	152	140	124	122
AGBL3	72	77	60	54
AGBL5	1352	1067	1300	962
AGER	62	55	35	35
AGFG1	1233	971	1251	905
AGFG2	99	74	93	67
AGGF1	181	175	195	125
AGK	1124	965	984	753
AGL	2876	2459	2545	2060
AGMAT	58	47	42	36
AGO1	1137	982	927	893
AGO2	1084	864	950	896
AGO3	802	726	744	658
AGO4	306	272	273	223
AGPAT1	280	251	263	297
AGPAT2	141	128	153	135
AGPAT3	502	432	385	426
AGPAT4	322	304	283	214
AGPAT5	519	568	457	370
AGPS	2016	2149	1983	1468
AGRN	701	570	494	538
AGTPBP1	2798	2691	2547	1942
AGTRAP	125	109	125	94
AHCTF1	1773	1627	1611	1412
AHCY	3649	3158	4253	2865
AHCYL1	1341	1192	1289	1116
AHCYL2	287	286	234	198
AHDC1	107	55	44	84
AHI1	1206	1101	1137	930
AHNAK	1967	2065	1519	1431
AHNAK2	282	223	265	225
AHR	28	13	37	15
AHRR	24	19	10	25
AHSA1	3617	3397	3454	2429
AIF1L	147	129	100	90
AIFM1	2402	2322	2419	1900
AIFM2	84	95	74	56
AIG1	498	413	400	295
AIMP1	1217	1202	1167	888
AIMP2	1482	1373	1432	967
AIP	589	560	627	393
AJUBA	137	137	94	84
AK1	375	358	324	281
AK2	1868	1957	1775	1320
AK3	293	266	259	191
AK4	73	87	32	23
AK5	21	22	12	12
AK6	767	718	675	471
AK7	38	37	38	23
AK8	26	29	24	18
AK9	88	96	81	61
AKAP1	2145	1964	2033	1688
AKAP10	961	796	853	669
AKAP11	3358	3155	2727	2459
AKAP12	3951	3786	3443	2766
AKAP13	2868	2485	2370	2189
AKAP17A	464	446	431	342
AKAP5	133	119	121	80
AKAP6	165	134	126	138
AKAP7	131	152	112	83
AKAP8	941	920	887	724
AKAP8L	1240	1159	1234	1035
AKAP9	5027	4864	4960	3849
AKIP1	238	163	173	123
AKIRIN1	400	348	376	230
AKIRIN2	196	166	175	184
AKNA	46	43	42	42
AKR1A1	776	648	659	550
AKR1B1	1302	1194	1332	1065
AKR7A2	603	545	612	450
AKR7A3	36	21	27	21
AKT1	1290	1120	1286	936
AKT1S1	153	140	147	128
AKT2	951	846	957	823
AKT3	1203	1065	970	778
AKTIP	141	153	140	91
AL022238.4	17	24	18	13
AL022312.1	178	161	137	111
AL031777.3	50	69	88	32
AL034430.1	136	135	144	98
AL034430.2	213	196	207	120
AL035461.3	88	111	63	53
AL109811.3	65	58	77	47
AL109827.1	149	118	151	100
AL121753.1	111	104	118	99
AL121768.1	1124	1106	913	776
AL121900.2	120	117	127	106
AL133500.1	45	47	46	37
AL135905.2	30	38	45	28
AL136295.1	31	37	33	34
AL139011.2	75	65	78	54
AL139300.1	58	50	45	44
AL157935.2	11	11	12	16
AL162171.1	200	175	144	126
AL162231.1	28	23	29	17
AL358472.7	156	147	153	85
AL603832.3	34	28	28	15
ALAD	164	132	117	107
ALAS1	1120	1061	1188	872
ALCAM	1183	1035	1190	744
ALDH16A1	633	576	505	426
ALDH18A1	4826	4327	4375	3202
ALDH1A2	1111	1072	988	721
ALDH1A3	30	37	27	24
ALDH1B1	1148	1080	1040	761
ALDH1L2	680	645	529	497
ALDH2	227	226	263	169
ALDH3A1	21	14	21	11
ALDH3A2	1828	1636	1569	1172
ALDH4A1	150	119	158	140
ALDH5A1	399	469	390	288
ALDH6A1	456	395	393	324
ALDH7A1	965	848	777	685
ALDH8A1	32	27	22	41
ALDH9A1	1886	1736	1888	1233
ALDOA	838	724	1084	564
ALDOC	53	43	52	50
ALG1	412	313	394	279
ALG10	205	163	268	165
ALG10B	99	73	116	85
ALG11	437	422	415	320
ALG12	372	302	327	248
ALG13	1787	1574	1324	1380
ALG14	300	296	264	176
ALG1L	49	40	56	39
ALG2	365	356	368	295
ALG3	269	225	266	228
ALG5	802	747	748	509
ALG6	1249	1223	1305	907
ALG8	1457	1258	1596	1063
ALKAL1	26	15	23	23
ALKBH1	302	219	288	217
ALKBH2	460	447	453	342
ALKBH3	457	385	408	325
ALKBH4	215	221	196	130
ALKBH5	2628	2428	2670	2184
ALKBH6	115	103	122	92
ALKBH7	167	145	124	97
ALKBH8	812	722	756	526
ALMS1	5479	4522	4811	4059
ALOX12	85	48	69	68
ALPK1	173	133	150	124
ALPL	21	19	30	27
ALS2	1127	930	1026	837
ALX1	158	136	114	99
ALX3	74	62	44	57
ALX4	57	58	46	33
ALYREF	3068	3053	2684	1904
AMACR	150	145	179	124
AMBRA1	1024	889	974	875
AMD1	3164	2935	2899	2171
AMDHD2	113	103	113	100
AMER1	513	446	464	384
AMFR	1502	1293	1400	1025
AMH	163	156	106	133
AMIGO1	57	44	58	39
AMIGO3	133	108	161	126
AMMECR1	318	279	340	223
AMMECR1L	249	225	257	223
AMN1	102	86	89	51
AMOT	6733	5395	6246	5829
AMOTL1	855	828	870	712
AMOTL2	124	109	141	118
AMPD2	729	641	735	541
AMPH	94	85	99	76
AMT	34	35	30	36
AMZ2	1060	927	1015	732
ANAPC1	1836	1638	1849	1400
ANAPC10	153	133	167	117
ANAPC11	490	483	396	264
ANAPC13	303	301	256	180
ANAPC15	260	272	293	193
ANAPC16	448	420	420	310
ANAPC2	595	555	564	499
ANAPC4	1075	994	977	706
ANAPC5	5384	4796	5120	3716
ANAPC7	2171	1867	2052	1552
ANGEL1	713	573	578	495
ANGEL2	988	930	959	712
ANGPT2	50	42	40	58
ANGPTL1	38	18	30	25
ANGPTL3	75	62	63	42
ANGPTL4	26	21	13	19
ANGPTL7	61	38	36	35
ANK1	251	219	216	209
ANK2	794	704	731	613
ANK3	678	649	565	511
ANKAR	233	244	235	219
ANKEF1	270	241	229	154
ANKFY1	1650	1418	1312	1227
ANKH	284	224	259	229
ANKHD1	41	38	29	30
ANKIB1	986	925	949	818
ANKLE1	37	18	19	22
ANKLE2	2472	2260	2144	1802
ANKMY1	199	157	183	197
ANKMY2	343	359	347	238
ANKRA2	134	118	128	87
ANKRD10	593	542	584	413
ANKRD11	2808	2417	1968	2248
ANKRD12	759	771	722	657
ANKRD13A	710	669	734	542
ANKRD13B	155	124	117	111
ANKRD13C	1426	1307	1328	1025
ANKRD13D	217	184	208	126
ANKRD16	123	122	127	128
ANKRD17	6696	5795	5803	5268
ANKRD18A	642	555	348	468
ANKRD18B	829	778	508	631
ANKRD20A4	18	17	13	10
ANKRD23	68	60	40	39
ANKRD24	24	21	15	18
ANKRD26	1573	1416	1310	1081
ANKRD27	987	992	911	801
ANKRD28	1687	1447	1330	1120
ANKRD31	63	57	56	47
ANKRD34B	20	18	14	29
ANKRD36	1646	1584	1278	1041
ANKRD36B	511	531	407	340
ANKRD36C	1342	1271	1046	889
ANKRD37	30	16	17	20
ANKRD39	110	112	81	79
ANKRD40	815	742	799	604
ANKRD42	71	68	94	70
ANKRD44	126	115	129	98
ANKRD46	352	310	359	200
ANKRD49	215	201	216	153
ANKRD50	1255	1118	1066	945
ANKRD52	1871	1478	1062	1390
ANKRD54	216	199	204	144
ANKRD6	208	167	163	136
ANKRD61	167	133	94	93
ANKRD7	29	31	25	21
ANKRD9	45	49	27	22
ANKS1A	609	473	496	425
ANKS1B	44	33	30	33
ANKS3	278	270	223	209
ANKS6	623	560	468	393
ANKZF1	534	451	456	362
ANLN	3838	3389	3995	3160
ANO10	733	652	600	528
ANO4	30	29	24	21
ANO5	599	559	533	420
ANO6	709	637	742	502
ANO8	118	109	105	88
ANP32A	2616	2661	2763	1779
ANP32B	1659	1675	974	1189
ANP32E	1741	2022	1783	1017
ANTXR1	435	362	290	362
ANTXR2	103	105	98	61
ANXA1	63	68	76	55
ANXA11	866	768	907	740
ANXA2	554	542	556	358
ANXA3	19	17	17	16
ANXA4	171	147	179	107
ANXA5	3223	3094	3088	2233
ANXA6	2091	1828	2055	1394
ANXA7	1787	1467	1684	1205
ANXA9	26	29	34	16
AOC2	120	90	90	108
AP000812.5	54	41	69	42
AP001781.2	26	27	12	10
AP002495.2	50	58	51	55
AP002748.4	58	48	43	40
AP002956.1	174	142	144	130
AP1AR	584	603	589	386
AP1B1	2371	2103	2314	1902
AP1G1	2310	2009	1862	1627
AP1G2	608	537	578	514
AP1M1	718	562	761	621
AP1S1	360	356	288	221
AP1S2	94	86	78	61
AP1S3	104	89	97	71
AP2A1	1135	888	923	916
AP2A2	988	808	869	793
AP2B1	2157	1833	1551	1714
AP2M1	3310	3163	3486	2547
AP2S1	1215	1174	1241	738
AP3B1	2176	2160	1997	1565
AP3B2	54	52	40	42
AP3D1	2696	2360	2466	2321
AP3M1	1016	901	956	773
AP3M2	575	537	489	388
AP3S1	614	579	545	412
AP3S2	43	39	30	22
AP4B1	662	620	547	454
AP4E1	690	620	569	507
AP4M1	126	121	100	98
AP4S1	48	58	48	59
AP5B1	354	315	307	259
AP5M1	709	633	710	553
AP5S1	145	97	96	93
AP5Z1	306	252	288	239
APAF1	837	818	706	605
APBA2	503	434	438	392
APBA3	169	163	159	131
APBB1	796	700	696	593
APBB2	190	170	172	162
APBB3	118	99	107	91
APC	3016	2547	2716	2263
APC2	88	76	68	55
APCDD1	20	15	21	15
APEH	2131	1886	2036	1461
APEX1	1995	2048	2157	1623
APEX2	571	502	533	443
APH1A	1092	893	1236	805
APH1B	30	28	43	21
API5	2446	2426	2312	1747
APIP	589	578	559	348
APLF	92	83	91	63
APLP1	68	60	52	52
APLP2	5739	5524	5744	4281
APMAP	1147	991	1043	772
APOBEC3C	45	37	47	59
APOC1	68	80	81	61
APOL2	185	140	140	100
APOLD1	17	28	18	13
APOM	28	30	29	28
APOO	259	188	252	167
APOOL	295	272	245	228
APOPT1	63	46	63	39
APP	4637	4848	4052	3543
APPBP2	967	857	877	629
APPL1	2012	1709	1991	1426
APPL2	559	484	454	405
APRT	1743	1473	1646	1215
APTX	775	788	694	501
AQP11	42	38	41	43
AQR	2117	1875	2116	1558
ARAF	598	521	618	522
ARAP1	839	741	639	666
ARAP2	423	420	372	244
ARAP3	47	41	39	22
ARCN1	2798	2718	2529	1980
AREL1	719	650	824	623
ARF1	2885	2627	3700	2637
ARF3	37	40	39	27
ARF4	1223	1062	1186	936
ARF5	916	877	854	584
ARF6	423	379	469	309
ARFGAP1	686	573	616	462
ARFGAP2	1014	939	908	732
ARFGAP3	469	423	455	367
ARFGEF1	1973	1751	1797	1479
ARFGEF2	2474	1995	2071	1764
ARFGEF3	460	400	385	410
ARFIP1	480	440	485	325
ARFIP2	1192	1082	1134	884
ARFRP1	214	217	176	117
ARG1	36	31	22	22
ARG2	461	407	476	331
ARGLU1	885	1007	898	613
ARHGAP1	291	219	194	223
ARHGAP10	578	534	491	404
ARHGAP11A	2070	1874	1835	1545
ARHGAP12	615	522	557	406
ARHGAP17	799	604	490	615
ARHGAP18	312	291	244	203
ARHGAP19-SLIT1	61	56	47	47
ARHGAP20	78	73	64	62
ARHGAP21	1493	1273	1378	1138
ARHGAP22	233	216	201	155
ARHGAP24	55	59	53	45
ARHGAP26	236	199	177	175
ARHGAP27	47	55	44	36
ARHGAP28	49	40	51	31
ARHGAP29	496	395	450	393
ARHGAP30	18	18	15	14
ARHGAP31	128	110	109	115
ARHGAP32	500	390	386	443
ARHGAP33	48	43	33	53
ARHGAP35	2174	1868	1760	1674
ARHGAP39	198	167	168	148
ARHGAP4	20	17	20	25
ARHGAP42	141	103	124	91
ARHGAP44	169	155	156	132
ARHGAP45	73	50	61	52
ARHGAP5	4089	3644	3585	2869
ARHGDIA	947	899	580	791
ARHGDIG	86	92	70	50
ARHGEF1	403	334	383	293
ARHGEF10	539	483	446	389
ARHGEF10L	90	63	84	62
ARHGEF11	1167	975	1024	1022
ARHGEF12	4432	3725	4006	3149
ARHGEF16	61	41	73	59
ARHGEF17	115	102	78	93
ARHGEF18	16	18	19	19
ARHGEF19	22	29	23	24
ARHGEF2	499	471	412	381
ARHGEF25	338	309	330	257
ARHGEF26	683	626	570	536
ARHGEF28	60	40	58	46
ARHGEF3	199	151	185	144
ARHGEF39	251	218	208	159
ARHGEF4	118	97	122	128
ARHGEF40	132	137	120	88
ARHGEF6	206	199	223	205
ARHGEF7	571	536	481	412
ARHGEF9	270	226	267	200
ARID1A	1412	1088	802	1347
ARID1B	1513	1271	1248	1376
ARID2	1828	1581	1689	1398
ARID3A	93	80	90	56
ARID3B	136	97	115	137
ARID4A	577	551	545	445
ARID4B	2634	2453	2487	1981
ARID5A	72	85	73	82
ARID5B	347	257	315	249
ARIH1	1552	1472	1317	1123
ARIH2	2416	2216	2351	1733
ARIH2OS	29	33	42	22
ARL1	615	574	630	441
ARL10	151	149	61	94
ARL13B	532	482	516	362
ARL14EP	458	407	373	319
ARL15	193	161	185	111
ARL16	307	246	276	215
ARL2	163	146	189	128
ARL2BP	367	311	370	298
ARL3	211	183	216	160
ARL4A	109	80	70	57
ARL4C	71	70	69	54
ARL4D	67	50	46	37
ARL5A	515	462	454	292
ARL5B	405	361	380	248
ARL6	234	236	223	162
ARL6IP1	266	268	311	183
ARL6IP4	1808	1758	1537	1126
ARL6IP5	841	831	682	507
ARL6IP6	353	249	296	225
ARL8A	205	211	219	143
ARL8B	436	351	378	282
ARMC1	666	649	648	488
ARMC10	293	248	238	174
ARMC2	63	57	73	47
ARMC4	236	223	193	154
ARMC5	219	243	211	182
ARMC6	1168	966	1091	890
ARMC7	44	32	47	35
ARMC8	950	917	968	708
ARMC9	542	506	416	408
ARMCX2	37	24	42	29
ARMCX3	370	381	342	231
ARMCX4	133	97	68	86
ARMCX5	645	570	589	408
ARMCX6	61	75	61	46
ARMH3	567	509	501	428
ARMH4	131	92	113	96
ARMT1	1310	1149	1121	758
ARNT	711	665	708	600
ARNT2	319	276	242	231
ARNTL	115	104	125	71
ARNTL2	845	717	743	622
ARPC1A	188	164	231	166
ARPC1B	61	54	49	47
ARPC2	1984	1690	2066	1502
ARPC3	1467	1472	1365	824
ARPC4	329	322	339	283
ARPC5	790	869	729	495
ARPC5L	233	254	225	153
ARPIN-AP3S2	30	41	45	24
ARPP19	582	554	513	411
ARRB1	137	118	125	98
ARRB2	427	364	457	392
ARRDC1	264	200	301	241
ARRDC2	41	34	47	28
ARRDC3	145	127	113	80
ARRDC4	215	214	166	113
ARSA	104	83	94	84
ARSB	246	218	217	191
ARSG	91	51	71	66
ARSK	204	165	180	128
ART5	37	35	38	21
ARV1	679	606	655	444
ARVCF	186	157	163	112
AS3MT	259	272	264	181
ASAH1	438	450	392	274
ASAP1	746	632	506	651
ASAP2	392	333	293	296
ASAP3	206	187	162	130
ASB1	192	222	186	152
ASB13	247	221	222	130
ASB14	77	69	42	61
ASB16	36	30	33	41
ASB6	519	438	525	395
ASB7	267	250	254	190
ASB8	293	275	228	195
ASCC1	469	420	366	303
ASCC2	1009	907	977	878
ASCC3	5954	5388	5511	4102
ASDURF	237	221	168	137
ASF1A	639	618	645	418
ASF1B	677	577	709	505
ASH1L	5174	4573	3873	4008
ASH2L	520	491	436	402
ASIC1	148	129	95	113
ASIC3	21	26	29	29
ASL	181	132	134	129
ASMTL	257	241	212	213
ASNA1	870	786	978	608
ASNS	2779	2579	2725	2168
ASNSD1	2237	2137	2139	1520
ASPH	1697	1566	1495	1100
ASPHD2	72	51	49	54
ASPM	13313	12225	13132	9528
ASPN	114	88	61	119
ASPRV1	21	24	26	31
ASPSCR1	358	319	346	269
ASRGL1	372	343	313	248
ASS1	397	358	385	273
ASTE1	409	305	358	278
ASTN2	54	54	54	50
ASXL1	2627	2220	2103	2108
ASXL2	735	578	527	604
ASXL3	82	81	55	70
ATAD1	991	909	850	700
ATAD2	3575	3486	3341	2548
ATAD2B	1280	1084	1181	820
ATAD3A	871	780	802	557
ATAD3B	885	885	841	685
ATAD5	2481	2358	1970	1888
ATAT1	94	81	77	79
ATE1	792	726	657	544
ATF1	379	378	445	322
ATF2	841	777	873	621
ATF3	55	60	66	50
ATF4	7363	7197	7715	5373
ATF5	48	37	50	52
ATF6	1247	1144	1324	966
ATF6B	426	348	457	346
ATF7IP	1357	1268	1075	1131
ATF7IP2	121	104	85	80
ATG10	76	57	62	47
ATG101	303	337	294	189
ATG12	135	106	141	98
ATG13	587	497	585	479
ATG14	303	325	317	261
ATG16L1	945	819	779	644
ATG16L2	109	91	87	79
ATG2A	762	701	615	639
ATG2B	1942	1699	1725	1413
ATG3	1435	1370	1537	980
ATG4A	356	294	335	252
ATG4B	685	628	688	528
ATG4C	761	780	815	567
ATG4D	353	304	358	266
ATG5	685	626	606	448
ATG7	1001	922	883	754
ATG9A	570	463	560	457
ATIC	2186	2044	1384	2051
ATL1	102	94	99	64
ATL2	1778	1771	1503	1211
ATL3	540	458	486	356
ATM	4687	4275	4070	3350
ATMIN	1114	955	1087	761
ATN1	406	315	220	357
ATOX1	183	202	236	129
ATP10D	254	247	275	208
ATP11A	464	418	302	383
ATP11B	1107	1069	1128	804
ATP11C	2232	2030	1974	1571
ATP13A1	1044	889	846	925
ATP13A2	812	699	684	661
ATP13A3	2521	2371	2408	1868
ATP1A1	11330	10489	10751	9674
ATP1B1	360	354	265	262
ATP1B3	1389	1285	1359	1028
ATP23	106	92	105	84
ATP2A1	91	59	58	65
ATP2A2	5656	5176	3603	4761
ATP2A3	18	33	13	10
ATP2B1	2550	2475	2382	1728
ATP2B4	1017	915	742	825
ATP2C1	1934	1895	1643	1385
ATP5F1A	11544	10623	11417	7349
ATP5F1B	16570	14734	16837	11165
ATP5F1C	3057	2790	3050	1956
ATP5F1D	237	191	208	139
ATP5F1E	930	735	1051	509
ATP5IF1	1497	1531	1323	910
ATP5MC1	995	780	1070	678
ATP5MC2	1606	1265	1781	1060
ATP5MC3	4384	3927	4543	2795
ATP5MD	646	722	721	399
ATP5ME	1827	1973	1633	1070
ATP5MF	738	492	1075	587
ATP5MF-PTCD1	35	24	36	22
ATP5MG	1711	1731	1516	962
ATP5MPL	680	699	592	289
ATP5PB	3597	3212	3504	2231
ATP5PD	1947	1884	1939	1268
ATP5PF	867	679	1021	667
ATP5PO	1996	1794	2241	1471
ATP6AP1	1130	1028	1258	978
ATP6AP2	962	778	1021	726
ATP6V0A1	1432	1225	1034	1128
ATP6V0A2	1136	1012	1071	857
ATP6V0B	1079	771	1282	822
ATP6V0C	163	137	125	130
