	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
SLC35E2B	395	584	348	306
SLC35E3	207	281	157	116
SLC35F1	300	469	208	171
SLC35F2	813	1181	541	462
SLC35F5	1216	1758	860	800
SLC35F6	335	424	188	138
SLC35G1	223	325	138	130
SLC35G2	174	257	150	132
SLC36A1	143	306	123	117
SLC36A4	593	854	453	461
SLC37A1	73	81	47	33
SLC37A3	734	1103	503	459
SLC37A4	596	796	400	304
SLC38A1	2451	3420	1521	1306
SLC38A10	859	1188	682	661
SLC38A2	2887	3896	1851	1614
SLC38A6	220	351	145	131
SLC38A7	151	187	119	83
SLC38A9	716	1028	377	348
SLC39A1	1083	1464	728	629
SLC39A10	1687	2369	1109	978
SLC39A11	105	158	86	80
SLC39A13	124	144	58	55
SLC39A14	826	1159	576	522
SLC39A3	450	622	283	289
SLC39A4	84	115	82	66
SLC39A6	1235	1770	749	582
SLC39A7	1427	2077	920	904
SLC39A8	760	1119	507	471
SLC39A9	583	871	367	299
SLC3A2	4055	5591	2245	2014
SLC41A1	294	436	259	216
SLC41A2	313	479	208	190
SLC41A3	432	662	266	264
SLC43A1	153	240	112	76
SLC43A2	94	148	65	69
SLC44A1	1066	1526	616	504
SLC44A2	296	368	216	173
SLC44A5	760	1135	545	457
SLC45A3	62	84	54	32
SLC45A4	91	151	79	61
SLC46A1	163	200	96	70
SLC46A3	83	123	57	51
SLC47A1	323	449	250	200
SLC4A11	108	185	100	65
SLC4A1AP	1941	2628	1260	1264
SLC4A2	1342	1881	940	874
SLC4A4	156	239	119	94
SLC4A7	1696	2472	1281	1223
SLC4A8	54	66	40	47
SLC50A1	381	513	173	138
SLC52A2	374	547	247	208
SLC5A3	1015	1531	813	684
SLC5A6	1461	1927	817	677
SLC6A11	121	173	102	88
SLC6A15	2680	3806	1646	1405
SLC6A6	273	485	280	214
SLC6A8	1500	2297	1133	943
SLC6A9	76	125	55	48
SLC7A1	1025	1850	1078	877
SLC7A11	728	1005	500	416
SLC7A2	689	985	481	421
SLC7A3	63	101	59	50
SLC7A5	747	1326	580	469
SLC7A6	735	1024	450	373
SLC7A6OS	277	435	206	205
SLC8A1	207	306	153	159
SLC9A1	91	193	127	86
SLC9A2	46	61	41	35
SLC9A3R1	194	313	171	157
SLC9A3R2	114	166	91	88
SLC9A5	64	93	57	45
SLC9A6	637	861	408	333
SLC9A7	406	562	252	207
SLC9A8	131	222	127	94
SLC9A9	62	66	42	29
SLC9B2	311	479	222	213
SLCO4A1	230	301	136	147
SLCO5A1	102	164	84	86
SLCO6A1	57	102	65	58
SLIRP	2793	3897	1817	1743
SLIT1	47	87	38	33
SLIT2	4742	8234	4502	3930
SLITRK3	64	110	66	66
SLITRK5	318	439	328	293
SLK	5087	6902	3519	3370
SLMAP	1643	2578	1367	1197
SLMO1	48	61	32	45
SLMO2	2120	2986	1340	1292
SLTM	2985	3614	1976	1918
SLU7	1737	2235	1059	1128
SLX1A	764	1042	604	612
SLX4	358	648	356	347
SLX4IP	148	199	93	91
SMAD1	264	376	180	164
SMAD2	1063	1561	745	677
SMAD3	113	179	83	69
SMAD4	742	1169	544	468
SMAD5	1395	2000	976	833
SMAD6	147	237	86	97
SMAD7	201	337	111	108
SMAD9	166	284	114	115
SMAP1	591	844	432	353
SMAP2	551	827	407	397
SMARCA1	2211	2968	1576	1725
SMARCA2	806	1155	645	666
SMARCA4	2903	5604	3403	2894
SMARCA5	9086	13019	6910	6430
SMARCAD1	2233	3273	1695	1645
SMARCAL1	817	1235	569	541
SMARCB1	2552	3836	1819	1838
SMARCC1	7302	10743	6416	5753
SMARCC2	1103	1829	1104	1008
SMARCD1	1190	2065	1083	987
SMARCD2	1710	2490	1042	891
SMARCD3	263	362	148	140
SMARCE1	2358	2912	1249	1370
SMC1A	8980	11843	6976	6683
SMC2	5769	7946	4147	4106
SMC3	7984	10226	5963	5760
SMC4	12774	17563	9447	9064
SMC5	3065	4171	2052	1959
SMC6	3077	4012	2086	2020
SMCHD1	4459	6377	3114	2954
SMCR7	230	293	133	120
SMCR7L	1081	1532	846	696
SMCR8	1695	2758	1396	1167
SMDT1	116	165	100	97
SMEK1	3119	4637	2229	2148
SMEK2	2023	2947	1437	1475
SMG1	12261	20829	12878	11390
SMG5	4513	6643	2985	2415
SMG6	793	1405	873	741
SMG7	1145	1945	1125	835
SMG8	1969	2669	1145	986
SMG9	382	591	271	260
SMIM11	201	287	104	73
SMIM12	245	299	176	157
SMIM13	86	99	37	43
SMIM15	270	391	196	180
SMIM19	218	313	121	97
SMIM4	317	475	198	171
SMIM7	127	174	94	94
SMIM8	81	135	53	49
SMN2	4457	6082	3061	2864
SMNDC1	491	822	542	527
SMO	737	1046	544	463
SMOC1	328	612	327	327
SMOX	130	196	82	66
SMPD1	134	142	66	52
SMPD2	217	297	114	109
SMPDL3A	90	187	71	62
SMPDL3B	158	212	130	129
SMS	3272	4212	1978	2074
SMTN	240	398	213	163
SMU1	4127	5848	2616	2376
SMUG1	173	281	129	131
SMURF1	494	726	440	393
SMURF2	1334	1975	920	797
SMYD2	1036	1508	731	682
SMYD3	366	529	260	245
SMYD4	550	951	467	385
SMYD5	642	868	438	396
SNAI2	317	416	130	116
SNAP23	597	911	325	287
SNAP29	416	588	273	234
SNAP47	1965	3006	1259	1097
SNAPC1	478	599	268	260
SNAPC2	61	75	33	44
SNAPC3	447	656	343	314
SNAPC4	657	1070	691	518
SNAPC5	137	187	68	71
SNAPIN	485	669	323	297
SNCA	264	318	131	118
SND1	5950	8636	4018	3716
SNF8	1480	2082	1175	1117
SNIP1	384	579	251	199
SNORA33	219	360	139	134
SNRK	805	1053	551	571
SNRNP200	9756	15803	8846	7795
SNRNP25	636	978	441	419
SNRNP27	550	848	444	447
SNRNP35	258	327	156	160
SNRNP40	4923	7193	3197	3006
SNRNP48	1129	1417	729	679
SNRNP70	5364	7656	3474	3328
SNRPA	1492	2223	864	766
SNRPA1	1221	1725	922	988
SNRPB	8530	11558	5206	4678
SNRPB2	2240	3167	1346	1319
SNRPC	2340	3106	1188	1017
SNRPD1	2920	3665	1910	2042
SNRPD2	4687	6423	2621	2186
SNRPD3	3414	4588	2014	1962
SNRPE	2279	3181	1506	1430
SNRPF	2337	3252	1495	1562
SNRPG	2526	3660	1423	1361
SNTA1	278	359	148	138
SNTB1	72	134	56	54
SNTB2	368	508	274	260
SNUPN	563	842	420	382
SNW1	2544	3533	1715	1629
SNX1	1114	1439	789	759
SNX10	118	175	70	78
SNX11	282	403	195	154
SNX12	361	489	241	252
SNX13	1819	2554	1165	1012
SNX14	1571	2259	1087	1039
SNX16	73	111	78	73
SNX17	2508	3287	1811	1599
SNX18	293	435	204	182
SNX2	2882	3805	1769	1560
SNX21	82	140	59	73
SNX24	93	133	74	63
SNX25	1280	1799	890	841
SNX27	735	1149	632	541
SNX29	277	482	253	212
SNX3	869	1230	537	547
SNX30	228	319	179	185
SNX33	53	85	46	33
SNX4	1131	1486	730	679
SNX5	5511	8097	3667	3622
SNX6	2149	3039	1393	1314
SNX7	810	1114	534	486
SNX8	256	352	181	158
SNX9	1358	1966	991	934
SOAT1	1537	2230	916	829
SOBP	155	241	142	122
SOCS2	93	98	53	40
SOCS4	572	848	381	336
SOCS5	314	454	250	244
SOCS6	308	408	197	179
SOCS7	130	196	119	107
SOD1	6862	9685	4622	4419
SOD2	1568	2274	1091	932
SOGA1	181	436	303	235
SOGA2	434	653	359	343
SOGA3	216	316	189	160
SOLH	842	1295	786	645
SON	15970	29034	16246	13246
SORBS1	63	75	44	56
SORBS3	50	84	72	47
SORCS1	56	101	44	40
SORD	739	987	509	496
SORL1	366	622	304	256
SORT1	1271	1994	967	881
SOS1	853	1532	998	882
SOS2	823	1182	647	607
SOWAHC	59	70	24	29
SOX12	89	144	116	117
SOX13	71	88	55	46
SOX4	377	529	220	183
SOX5	39	87	38	32
SOX6	56	99	37	42
SP1	1634	2617	1168	932
SP2	50	103	62	47
SP3	2786	4109	1741	1482
SP4	476	645	262	231
SP9	56	102	58	37
SPA17	252	362	141	150
SPAG1	302	453	226	234
SPAG16	346	454	278	261
SPAG5	3792	5717	2675	2371
SPAG7	630	895	420	459
SPAG9	5339	7644	3748	3395
SPAST	839	1192	609	569
SPATA13	192	269	177	145
SPATA17	63	119	51	38
SPATA18	63	107	45	48
SPATA2	71	106	50	48
SPATA20	301	476	208	186
SPATA24	65	90	49	53
SPATA2L	95	137	62	60
SPATA5	1550	2248	1166	1230
SPATA5L1	410	641	345	281
SPATA6	84	134	75	72
SPATA7	221	332	169	109
SPATC1L	227	316	158	144
SPATS2	492	786	384	371
SPATS2L	625	943	383	351
SPC24	388	576	274	281
SPC25	600	902	539	551
SPCS1	1296	1680	686	586
SPCS2	878	1176	604	631
SPCS3	1227	1552	766	783
SPDL1	3046	4198	2232	2259
SPECC1	1559	2275	1195	1120
SPECC1L	3368	4999	2673	2551
SPEF2	93	159	86	67
SPEG	57	105	76	48
SPEN	14491	29532	19396	16650
SPG11	1865	2722	1405	1193
SPG20	3146	4399	2071	1875
SPG21	945	1319	668	584
SPG7	1153	1814	1026	949
SPHK1	78	120	69	63
SPHK2	127	193	103	108
SPICE1	1260	1813	1017	929
SPIN1	507	724	432	458
SPIN2A	115	170	77	70
SPIN2B	151	219	94	82
SPIN3	88	109	51	63
SPIN4	210	325	184	172
SPINT2	418	541	258	251
SPIRE1	580	846	435	383
SPIRE2	98	161	84	81
SPNS1	594	851	344	286
SPON1	194	292	155	132
SPOP	1218	1645	783	822
SPOPL	293	438	240	187
SPPL2A	719	1010	533	495
SPPL2B	198	343	197	159
SPPL3	283	413	193	156
SPR	229	350	218	177
SPRED1	208	281	131	116
SPRED2	68	91	59	50
SPRTN	1971	2629	1390	1257
SPRY1	126	170	147	111
SPRY2	86	121	52	54
SPRYD3	153	207	106	94
SPRYD4	183	292	145	129
SPRYD7	286	375	180	183
SPSB1	73	105	43	33
SPSB3	174	252	102	109
SPTAN1	7446	12250	6865	6446
SPTB	221	411	216	220
SPTBN1	8609	13020	6412	5845
SPTBN2	1797	2662	1640	1472
SPTLC1	1529	2134	986	870
SPTLC2	951	1572	785	743
SPTSSA	84	82	39	41
SPTY2D1	924	1374	624	502
SQLE	2727	3754	1723	1512
SQSTM1	2261	3125	1595	1464
SRA1	252	384	180	194
SRBD1	1978	2862	1393	1298
SRC	131	266	151	109
SRCAP	3183	7760	5253	4230
SRD5A1	95	160	72	81
SRD5A3	535	778	332	265
SREBF1	804	1241	799	599
SREBF2	941	1657	1051	814
SREK1	2629	3294	1577	1631
SREK1IP1	614	926	464	348
SRF	492	665	247	220
SRFBP1	1027	1428	745	742
SRGAP1	108	212	103	113
SRGAP2	1217	1906	984	922
SRGAP2B	335	529	240	200
SRGAP2D	765	1114	577	517
SRGAP3	86	101	40	53
SRI	2061	3040	1303	1086
SRM	1286	2015	1225	1035
SRP14	951	1206	681	706
SRP19	366	468	231	185
SRP54	2064	2901	1254	1251
SRP68	1880	2911	1478	1476
SRP72	3889	5851	2614	2417
SRP9	3648	4707	1993	1998
SRPK1	5413	7273	3639	3267
SRPK2	1021	1516	773	752
SRPR	1469	2262	1406	1163
SRPRB	1906	2762	1171	1059
SRR	188	304	120	108
SRRD	919	1360	602	529
SRRM1	1885	3194	1871	1693
SRRM2	7919	18490	12614	9317
SRRT	3204	4649	2442	2375
SRSF1	6409	8880	4788	4946
SRSF10	2720	3595	1574	1495
SRSF11	5950	8130	4043	3672
SRSF12	147	232	117	82
SRSF2	3495	4943	2000	1814
SRSF3	7800	10452	5758	6057
SRSF4	2567	3371	1687	1781
SRSF5	4622	6202	3277	3463
SRSF6	4076	5699	2413	2253
SRSF7	5781	7906	4079	4161
SRSF8	290	382	151	123
SRSF9	4534	5918	3216	3285
SRXN1	70	100	43	64
SS18	915	1261	435	341
SS18L1	112	158	74	67
SS18L2	186	234	104	118
SSB	9034	11332	5492	5501
SSBP1	3542	5045	2321	2294
SSBP2	131	167	72	65
SSBP3	210	311	147	114
SSBP4	257	424	157	148
SSFA2	2108	2937	1530	1419
SSH1	219	394	218	183
SSH2	366	615	351	296
SSH3	47	98	71	53
SSNA1	509	688	414	328
SSR1	1723	2393	1256	1169
SSR2	2205	2992	1188	1052
SSR3	2211	3144	1419	1184
SSR4	2801	3820	1528	1512
SSRP1	14069	19446	9713	9162
SSSCA1	585	845	362	354
SSU72	1167	1720	869	937
SSX2IP	1511	2058	1000	988
ST13	8618	11426	6086	6189
ST3GAL1	38	68	44	34
ST3GAL2	152	224	113	121
ST3GAL3	119	159	107	79
ST3GAL4	242	330	141	132
ST3GAL5	100	112	70	69
ST3GAL6	180	229	106	103
ST5	81	157	96	62
ST6GAL1	51	85	47	41
ST6GALNAC3	104	155	61	67
ST6GALNAC4	122	187	96	87
ST6GALNAC6	463	685	305	248
ST7	549	805	358	313
ST7L	398	710	271	254
STAG1	3516	5035	2458	2372
STAG2	12518	17316	8666	8460
STAG3	97	142	94	72
STAM	599	888	388	389
STAM2	527	725	339	312
STAMBP	997	1472	668	602
STAMBPL1	185	231	130	132
STARD10	182	256	96	78
STARD13	160	238	130	102
STARD3	285	446	177	170
STARD3NL	820	1144	426	340
STARD4	201	273	158	151
STARD5	53	79	27	29
STARD7	4150	6243	2956	2657
STARD9	912	1539	926	801
STAT1	1316	1730	829	867
STAT2	454	650	380	319
STAT3	862	1350	603	559
STAT5A	154	173	111	82
STAT5B	757	1029	530	467
STAT6	171	231	111	79
STAU1	1515	2427	1347	1231
STAU2	935	1352	651	604
STBD1	92	123	60	45
STC2	353	420	328	282
STEAP1	121	202	98	86
STEAP1B	65	112	48	51
STEAP2	107	171	83	75
STEAP3	316	480	234	182
STIL	1838	2947	1386	1144
STIM1	410	632	394	345
STIM2	399	606	275	246
STIP1	10484	14879	6337	5811
STK10	553	855	451	364
STK11	1358	1909	892	918
STK11IP	318	441	205	170
STK16	315	391	198	190
STK17A	575	853	350	349
STK17B	651	873	317	316
STK19	114	195	86	80
STK24	1005	1666	932	789
STK25	2485	3490	1471	1201
STK3	706	981	467	400
STK32C	145	226	128	110
STK33	384	623	335	289
STK35	388	670	381	373
STK36	768	1033	521	417
STK38	563	815	394	392
STK38L	694	939	511	476
STK39	724	1003	567	578
STK4	913	1279	712	617
STK40	422	572	345	321
STMN1	3069	4463	1870	1839
STMN3	102	153	67	62
STOM	286	465	181	174
STOML1	76	146	73	59
STOML2	4841	6702	2592	2275
STON1-GTF2A1L	61	75	39	32
STON2	369	620	258	202
STOX1	275	436	220	158
STOX2	235	326	204	167
STPG1	122	176	72	65
STRA13	155	189	87	79
STRADA	218	357	169	143
STRADB	1143	1579	787	626
STRAP	3812	5842	2916	2675
STRBP	2011	2796	1285	1253
STRIP1	1378	2020	964	856
STRIP2	402	580	284	238
STRN	837	1393	770	694
STRN3	1333	1852	988	889
STRN4	1510	2304	1154	1084
STT3A	5325	7384	2784	2296
STT3B	5479	7991	3788	3549
STUB1	2253	2863	1359	1363
STX10	570	866	394	358
STX12	706	984	510	476
STX16	410	782	492	417
STX17	278	388	240	236
STX18	681	1016	465	507
STX1A	55	95	46	47
STX2	328	463	260	237
STX3	220	304	147	138
STX4	431	554	344	323
STX5	525	723	284	249
STX6	459	609	278	245
STX7	361	517	226	222
STX8	300	419	206	194
STXBP1	112	238	156	127
STXBP2	343	505	230	269
STXBP3	1723	2380	1061	1108
STXBP4	593	976	541	492
STXBP5	1268	1786	858	809
STXBP5L	148	220	88	109
STYX	233	334	143	154
STYXL1	379	542	228	236
SUB1	3229	4781	2396	2400
SUCLA2	1719	2506	1188	1160
SUCLG1	2032	2927	1144	1138
SUCLG2	1134	1662	710	682
SUCO	1860	2664	1168	1032
SUDS3	808	1093	562	535
SUFU	101	159	102	89
SUGP1	733	1018	485	441
SUGP2	2397	3650	1876	1707
SUGT1	1728	2328	1166	1100
SULF1	148	195	110	84
SULF2	569	830	345	311
SULT1A1	175	230	135	99
SULT1A2	84	88	70	42
SULT1A3	264	395	219	177
SULT1A4	264	395	219	177
SULT4A1	54	76	43	55
SUMF1	293	446	251	242
SUMF2	779	1299	676	641
SUMO1	1161	1585	749	748
SUMO2	2734	3613	1449	1489
SUMO3	674	888	398	374
SUN1	1277	1906	925	775
SUN2	647	898	472	394
SUOX	272	433	212	200
SUPT16H	14768	19887	10232	10158
SUPT20H	1107	1511	766	701
SUPT3H	197	305	164	153
SUPT4H1	569	730	368	351
SUPT5H	1851	2665	1288	1162
SUPT6H	2628	3932	2330	2100
SUPT7L	822	1189	547	540
SUPV3L1	1924	2834	1379	1327
SURF1	212	354	167	157
SURF2	459	603	321	326
SURF4	1278	1663	663	587
SURF6	615	781	460	558
SUSD1	247	355	187	134
SUSD5	452	724	393	299
SUV39H1	425	628	280	263
SUV39H2	1016	1354	711	661
SUV420H1	740	953	531	557
SUV420H2	103	167	97	71
SUZ12	1732	2674	1412	1226
SV2A	157	251	163	130
SVEP1	70	113	56	54
SVIL	306	411	210	203
SVIP	257	422	194	169
SWAP70	513	669	395	390
SWI5	209	278	119	88
SWSAP1	75	98	32	39
SWT1	240	346	189	154
SYAP1	2672	3862	1784	1772
SYBU	337	512	248	222
SYCP2	143	204	99	99
SYCP2L	240	413	221	217
SYDE1	262	317	185	176
SYDE2	849	1211	619	607
SYF2	724	930	518	547
SYK	415	605	281	292
SYMPK	1587	2739	1532	1343
SYN2	84	168	79	59
SYNCRIP	7891	11080	5935	5765
SYNE1	881	1407	757	649
SYNE2	6619	9639	5204	4905
SYNE3	42	83	44	45
SYNGAP1	44	106	81	47
SYNGR2	419	570	230	164
SYNJ1	433	862	449	407
SYNJ2	392	642	339	287
SYNJ2BP-COX16	874	1209	740	746
SYNM	226	322	172	167
SYNRG	484	803	448	408
SYP	145	182	81	72
SYPL1	617	826	447	344
SYS1	101	148	41	45
SYT1	121	181	86	75
SYTL4	145	217	120	112
SYTL5	112	161	63	55
SYVN1	136	281	149	142
SZRD1	375	447	244	267
SZT2	582	1168	725	554
TAB1	457	666	383	329
TAB2	776	1105	517	454
TAB3	282	391	184	178
TACC1	598	930	480	401
TACC2	67	101	74	77
TACC3	2127	3334	2057	1861
TACO1	675	1037	503	466
TADA1	642	912	447	401
TADA2A	399	574	245	184
TADA2B	285	456	244	232
TADA3	666	1052	605	548
TAF1	1842	2994	1869	1723
TAF10	462	647	367	376
TAF11	754	1077	524	492
TAF12	430	617	259	216
TAF13	260	309	182	213
TAF15	979	1587	962	895
TAF1A	412	626	367	360
TAF1B	1259	1788	879	864
TAF1C	313	522	316	239
TAF1D	1118	1576	969	920
TAF1L	278	428	265	247
TAF2	3162	4713	2184	1886
TAF3	344	543	305	273
TAF4	209	475	347	283
TAF4B	761	1243	561	431
TAF5	1028	1433	683	671
TAF5L	1528	2050	990	747
TAF6	384	667	400	336
TAF6L	689	952	433	404
TAF7	1751	2546	1071	1015
TAF8	302	382	178	141
TAF9	2607	3639	1419	1330
TAF9B	773	1155	506	448
TAGLN2	1699	2240	1158	1149
TALDO1	2993	4338	1957	1844
TAMM41	286	480	286	236
TANC1	1358	1916	1090	900
TANC2	545	916	538	399
TANGO2	95	146	93	74
TANGO6	1059	1603	834	705
TANK	528	752	291	244
TAOK1	1866	2703	1486	1236
TAOK2	1953	2774	1493	1341
TAOK3	416	602	297	299
TAP1	256	313	160	137
TAP2	468	566	288	302
TAPBP	57	105	63	58
TAPT1	370	524	256	260
TARBP1	4401	6938	3519	3305
TARBP2	659	922	368	300
TARDBP	2670	3189	1825	1855
TARS	10893	15032	7085	6921
TARS2	1814	2628	1181	1025
TARSL2	1313	1929	884	878
TAS2R13	43	71	38	45
TAS2R14	106	160	88	62
TAS2R19	161	251	128	115
TAS2R20	109	176	82	72
TAS2R3	44	58	36	30
TAS2R30	171	350	213	203
TAS2R31	162	231	140	120
TAS2R4	25	57	43	27
TAS2R43	52	108	69	42
TAS2R46	119	209	106	106
TAS2R50	55	111	63	67
TASP1	457	661	399	382
TATDN1	827	1036	489	477
TATDN2	1570	2660	1482	1292
TATDN3	469	661	334	276
TAX1BP1	3279	4503	2112	2061
TAX1BP3	233	368	115	115
TAZ	254	367	172	169
TBC1D1	537	792	373	333
TBC1D10A	121	150	75	74
TBC1D10B	1217	1909	1196	1242
TBC1D12	336	538	232	238
TBC1D13	302	397	250	191
TBC1D14	1338	2009	977	847
TBC1D15	1250	1896	948	906
TBC1D16	569	931	407	400
TBC1D17	89	195	96	84
TBC1D19	205	297	125	137
TBC1D20	354	527	271	220
TBC1D22A	273	482	235	240
TBC1D22B	221	282	192	143
TBC1D23	1483	1976	979	904
TBC1D24	220	326	197	179
TBC1D25	145	250	160	134
TBC1D2B	855	1238	653	636
TBC1D3	290	459	207	191
TBC1D30	166	233	147	131
TBC1D3B	116	189	81	78
TBC1D3C	114	190	76	81
TBC1D4	2190	3248	1655	1529
TBC1D5	383	601	310	218
TBC1D7	622	875	467	454
TBC1D8	234	341	167	152
TBC1D8B	133	240	118	105
TBC1D9	706	1104	507	486
TBC1D9B	3503	5105	2511	2228
TBCA	2236	3151	1623	1642
TBCB	989	1315	570	515
TBCC	353	477	236	247
TBCCD1	382	558	231	186
TBCD	1424	2224	1222	1116
TBCE	1525	2360	1159	1009
TBCEL	444	663	298	263
TBCK	639	890	445	379
TBK1	1434	2080	954	956
TBKBP1	117	129	101	78
TBL1X	516	854	514	424
TBL1XR1	1449	2052	920	815
TBL2	704	1095	499	432
TBL3	985	1516	828	705
TBP	325	435	197	183
TBPL1	442	618	261	212
TBRG1	416	586	324	293
TBRG4	2400	3324	1517	1300
TBX1	185	297	175	163
TBX18	287	409	181	149
TBX2	127	203	110	96
TBX20	151	175	114	97
TBX3	526	841	349	329
TC2N	337	519	270	242
TCAIM	716	1105	479	463
TCEA1	2418	3491	1668	1632
TCEA2	103	161	91	83
TCEAL1	307	418	205	136
TCEAL4	1448	1626	771	708
TCEAL8	942	1330	775	792
TCEANC	91	131	56	45
TCEANC2	184	301	157	151
TCEB1	1402	1905	838	766
TCEB2	1676	2221	1102	919
TCEB3	2874	4251	2150	2041
TCERG1	4275	5992	3048	2841
TCF12	723	1106	485	351
TCF19	505	713	322	307
TCF20	2296	3613	1782	1508
TCF25	1933	2896	1329	1207
TCF3	791	1100	533	447
TCF4	464	628	283	248
TCF7L2	84	181	110	98
TCFL5	647	908	460	427
TCHP	240	339	188	223
TCIRG1	115	142	86	58
TCOF1	6407	10217	5672	5191
TCP1	24386	34219	16137	16164
TCP11L1	346	555	344	339
TCP11L2	103	129	83	77
TCTEX1D2	71	96	47	38
TCTN1	479	786	294	258
TCTN2	425	631	306	236
TCTN3	1166	1661	799	664
TDG	1775	2641	1135	1006
TDP1	1153	1793	780	694
TDP2	807	1231	705	635
TDRD3	768	1020	435	455
TDRD6	56	119	82	75
TDRD7	637	892	438	358
TDRKH	366	493	254	252
TEAD1	402	618	292	245
TEAD2	260	392	194	162
TEAD4	493	758	290	273
TEC	58	91	56	47
TECPR1	304	461	281	269
TECPR2	441	725	448	370
TECR	1035	1237	470	430
TECTA	45	75	44	43
TEF	41	55	31	29
TEFM	242	317	171	145
TELO2	1131	1584	895	819
TENM1	270	416	229	164
TENM3	1202	1971	1007	911
TEP1	375	656	374	333
TERF1	928	1325	692	678
TERF2	398	573	371	277
TERF2IP	1164	1631	779	814
TERT	91	134	81	53
TES	674	964	509	513
TESC	47	73	29	31
TESK1	192	245	133	116
TESK2	117	146	73	65
TET1	1430	2411	1495	1288
TET2	1019	1547	718	605
TET3	267	559	351	263
TEX10	3377	4925	2231	1840
TEX14	62	144	35	34
TEX15	1223	1522	851	712
TEX2	1089	1522	751	719
TEX261	544	757	317	240
TEX264	858	1249	466	398
TEX30	288	410	167	159
TEX9	247	335	147	145
TFAM	2889	4092	1993	1942
TFAP2A	124	211	117	84
TFAP2C	33	77	38	28
TFAP4	336	445	212	204
TFB1M	743	1137	561	493
TFB2M	564	765	408	378
TFCP2	621	1006	609	436
TFCP2L1	73	98	39	39
TFDP1	2017	2977	1486	1386
TFDP2	1099	1580	774	655
TFE3	207	320	188	145
TFG	1898	2596	1249	1023
TFIP11	2113	2771	1236	1108
TFPT	170	203	110	112
TFRC	5748	7835	3670	3412
TGDS	541	830	373	325
TGFB1	57	96	59	40
TGFBR1	841	1146	579	543
TGFBR2	99	161	117	75
TGFBR3	574	827	416	387
TGFBRAP1	883	1320	624	518
TGIF1	123	161	90	69
TGIF2	232	330	170	160
TGOLN2	549	1043	548	512
TGS1	2361	3642	1766	1564
THADA	3037	4376	2431	2290
THAP1	177	260	119	124
THAP10	50	85	47	39
THAP11	356	451	265	244
THAP3	154	226	134	148
THAP4	1241	1859	827	728
THAP5	835	1220	554	526
THAP6	128	205	115	123
THAP7	729	1035	445	358
THAP9	378	553	227	232
THBS3	85	161	72	56
THBS4	38	75	38	37
THEM4	256	353	197	189
THEMIS2	102	125	52	66
THG1L	437	637	322	309
THNSL1	650	913	414	392
THOC1	1355	1966	935	865
THOC2	10448	13624	7024	6695
THOC3	4195	6024	2676	2474
THOC5	2444	3611	1727	1648
THOC6	819	1113	513	480
THOC7	1479	2116	1142	1099
THOP1	2433	3430	1647	1616
THRA	164	236	122	122
THRAP3	7297	9930	4595	4080
THRB	123	158	82	62
THSD1	94	175	81	59
THSD4	44	90	35	39
THTPA	107	159	91	68
THUMPD1	910	1263	544	469
THUMPD2	968	1379	681	613
THUMPD3	2011	2887	1393	1401
THYN1	610	902	402	339
TIA1	1360	1881	798	710
TIAL1	1269	2175	1380	1337
TIAM1	1905	2942	1394	1151
TIAM2	123	206	107	85
TICRR	2273	3760	2397	2136
TIFA	75	90	58	58
TIGD1	459	703	379	358
TIGD2	271	401	206	223
TIGD5	210	334	186	149
TIGD6	152	226	90	82
TIGD7	97	152	85	76
TIMELESS	2336	3475	1863	1826
TIMM10	346	477	273	241
TIMM10B	90	147	63	72
TIMM13	810	1113	606	630
TIMM17A	2237	2945	1141	1105
TIMM17B	642	971	470	414
TIMM21	461	624	228	227
TIMM22	478	748	441	471
TIMM23	2684	3660	1897	1732
TIMM44	1868	2463	1255	1128
TIMM50	2195	3202	1497	1585
TIMM8A	294	389	205	217
TIMM8B	494	655	336	336
TIMM9	161	247	93	64
TIMMDC1	1487	2149	1211	1179
TIMP1	492	757	318	307
TIMP2	75	88	68	48
TIMP3	110	152	66	55
TINF2	408	645	275	227
TIPARP	964	1427	473	405
TIPIN	2148	2823	1404	1354
TIPRL	1963	2786	1258	1223
TJAP1	352	454	251	244
TJP1	1973	2916	1637	1590
TJP2	1133	1631	724	692
TK1	1026	1440	665	613
TK2	84	136	70	59
TKT	8630	11656	4749	4027
TLCD1	104	129	63	64
TLDC1	237	330	161	134
TLE1	956	1282	625	558
TLE3	675	1414	695	486
TLE4	853	1377	652	509
TLK1	863	1480	840	707
TLK2	2011	2852	1525	1424
TLL1	61	72	57	35
TLN1	5146	9045	5217	4509
TLN2	566	935	531	468
TLR9	136	178	80	72
TM2D1	596	821	405	380
TM2D2	434	595	232	205
TM2D3	725	962	497	406
TM7SF2	207	346	145	111
TM7SF3	1170	1726	770	692
TM9SF1	1095	1602	760	729
TM9SF2	4198	6176	2676	2361
TM9SF3	4087	5699	2750	2965
TM9SF4	1026	1464	818	695
TMA16	958	1338	614	583
TMA7	2493	3515	1559	1731
TMBIM4	470	631	292	256
TMBIM6	4393	5948	2805	2461
TMC6	98	169	75	58
TMC7	64	86	59	48
TMCC1	191	301	170	141
TMCC2	87	143	59	40
TMCO1	2043	2908	1305	1351
TMCO3	528	769	394	312
TMCO4	91	143	74	59
TMCO6	167	248	154	139
TMED1	355	491	224	198
TMED10	1937	2896	1340	1389
TMED2	2952	3895	1713	1558
TMED3	954	1319	510	474
TMED4	853	1030	574	497
