	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
SLC24A1	129	193	194	164
SLC24A6	57	59	63	56
SLC25A1	925	1102	1187	1179
SLC25A10	487	559	536	464
SLC25A11	707	915	824	788
SLC25A12	364	433	449	386
SLC25A13	1269	1575	1756	1564
SLC25A14	268	320	397	292
SLC25A15	317	407	392	376
SLC25A16	143	201	285	204
SLC25A17	503	599	681	617
SLC25A19	321	313	326	264
SLC25A20	133	172	219	185
SLC25A21	68	72	65	73
SLC25A22	96	104	142	144
SLC25A23	212	284	391	363
SLC25A24	613	794	837	796
SLC25A25	163	251	209	213
SLC25A26	295	300	320	302
SLC25A27	64	84	80	85
SLC25A28	153	178	242	193
SLC25A29	43	79	84	52
SLC25A3	5770	7102	7323	6822
SLC25A30	100	142	119	145
SLC25A32	445	585	618	500
SLC25A33	443	576	603	558
SLC25A36	331	450	611	520
SLC25A37	91	112	104	113
SLC25A38	469	615	662	569
SLC25A39	1054	1249	1322	1100
SLC25A4	400	521	490	422
SLC25A40	131	151	167	182
SLC25A43	39	47	59	45
SLC25A44	137	180	201	157
SLC25A46	629	830	813	747
SLC25A5	6467	8568	7740	7151
SLC25A51	180	235	251	223
SLC25A52	59	94	122	115
SLC25A6	3992	5254	5114	4660
SLC26A11	57	83	91	61
SLC26A2	308	420	464	356
SLC27A2	150	182	225	213
SLC27A3	55	58	67	83
SLC27A4	599	740	759	677
SLC27A5	33	30	47	57
SLC27A6	32	33	45	36
SLC29A1	440	587	418	346
SLC29A2	89	113	131	104
SLC2A1	278	371	385	278
SLC2A11	26	40	51	37
SLC2A12	54	55	67	38
SLC2A13	165	244	198	176
SLC2A4RG	101	122	150	140
SLC2A6	44	42	60	43
SLC2A8	126	134	156	107
SLC30A1	245	303	306	243
SLC30A4	49	55	70	67
SLC30A5	1125	1322	1289	1163
SLC30A6	334	463	477	411
SLC30A7	398	503	539	441
SLC30A9	1639	1973	1994	1776
SLC31A1	200	274	284	254
SLC33A1	537	638	644	570
SLC35A1	107	137	176	126
SLC35A2	119	127	138	122
SLC35A3	297	352	460	405
SLC35A4	124	170	205	180
SLC35A5	400	454	417	389
SLC35B1	631	781	730	698
SLC35B2	294	367	347	276
SLC35B3	214	244	287	272
SLC35B4	256	308	316	249
SLC35C1	21	25	45	30
SLC35C2	269	262	279	219
SLC35D1	172	220	253	241
SLC35E1	166	206	189	152
SLC35E2	151	185	258	222
SLC35E2B	232	279	348	306
SLC35E3	111	151	157	116
SLC35F1	133	178	208	171
SLC35F2	421	489	541	462
SLC35F5	633	711	860	800
SLC35F6	155	201	188	138
SLC35G1	112	147	138	130
SLC35G2	101	102	150	132
SLC36A1	81	118	123	117
SLC36A4	278	365	453	461
SLC37A1	29	50	47	33
SLC37A3	387	474	503	459
SLC37A4	279	337	400	304
SLC38A1	1240	1607	1521	1306
SLC38A10	428	581	682	661
SLC38A2	1463	1806	1851	1614
SLC38A6	112	144	145	131
SLC38A7	73	100	119	83
SLC38A9	373	469	377	348
SLC39A1	573	635	728	629
SLC39A10	871	1173	1109	978
SLC39A11	42	77	86	80
SLC39A13	64	64	58	55
SLC39A14	459	496	576	522
SLC39A3	212	246	283	289
SLC39A4	46	52	82	66
SLC39A6	667	824	749	582
SLC39A7	755	974	920	904
SLC39A8	371	445	507	471
SLC39A9	301	375	367	299
SLC3A2	2085	2523	2245	2014
SLC41A1	147	169	259	216
SLC41A2	179	192	208	190
SLC41A3	241	281	266	264
SLC43A1	68	93	112	76
SLC43A2	67	69	65	69
SLC44A1	516	645	616	504
SLC44A2	125	209	216	173
SLC44A5	403	521	545	457
SLC45A3	35	25	54	32
SLC45A4	60	74	79	61
SLC46A1	79	107	96	70
SLC46A3	42	57	57	51
SLC47A1	165	199	250	200
SLC4A11	53	91	100	65
SLC4A1AP	979	1206	1260	1264
SLC4A2	670	906	940	874
SLC4A4	83	98	119	94
SLC4A7	883	1130	1281	1223
SLC4A8	27	41	40	47
SLC50A1	213	234	173	138
SLC52A2	202	249	247	208
SLC5A3	533	734	813	684
SLC5A6	724	937	817	677
SLC6A11	60	85	102	88
SLC6A15	1433	1706	1646	1405
SLC6A6	157	205	280	214
SLC6A8	756	915	1133	943
SLC6A9	53	71	55	48
SLC7A1	554	725	1078	877
SLC7A11	351	448	500	416
SLC7A2	335	455	481	421
SLC7A3	43	32	59	50
SLC7A5	404	618	580	469
SLC7A6	407	453	450	373
SLC7A6OS	136	183	206	205
SLC8A1	89	154	153	159
SLC9A1	61	70	127	86
SLC9A2	25	34	41	35
SLC9A3R1	87	132	171	157
SLC9A3R2	62	72	91	88
SLC9A5	39	46	57	45
SLC9A6	309	422	408	333
SLC9A7	198	246	252	207
SLC9A8	74	98	127	94
SLC9A9	19	38	42	29
SLC9B2	153	203	222	213
SLCO4A1	112	126	136	147
SLCO5A1	69	80	84	86
SLCO6A1	36	42	65	58
SLIRP	1150	1695	1817	1743
SLIT1	12	32	38	33
SLIT2	2574	3275	4502	3930
SLITRK3	42	42	66	66
SLITRK5	187	235	328	293
SLK	2554	3293	3519	3370
SLMAP	919	1184	1367	1197
SLMO1	17	32	32	45
SLMO2	1037	1355	1340	1292
SLTM	1535	1927	1976	1918
SLU7	852	1056	1059	1128
SLX1A	336	464	604	612
SLX4	189	240	356	347
SLX4IP	66	87	93	91
SMAD1	138	181	180	164
SMAD2	548	667	745	677
SMAD3	55	75	83	69
SMAD4	430	539	544	468
SMAD5	791	925	976	833
SMAD6	67	89	86	97
SMAD7	92	131	111	108
SMAD9	88	132	114	115
SMAP1	313	361	432	353
SMAP2	272	336	407	397
SMARCA1	1094	1356	1576	1725
SMARCA2	418	584	645	666
SMARCA4	1517	2219	3403	2894
SMARCA5	4542	5902	6910	6430
SMARCAD1	1187	1469	1695	1645
SMARCAL1	411	589	569	541
SMARCB1	1380	1735	1819	1838
SMARCC1	3920	5244	6416	5753
SMARCC2	596	775	1104	1008
SMARCD1	581	823	1083	987
SMARCD2	881	1027	1042	891
SMARCD3	107	158	148	140
SMARCE1	1134	1432	1249	1370
SMC1A	4570	5707	6976	6683
SMC2	2973	3716	4147	4106
SMC3	3940	5215	5963	5760
SMC4	6151	8182	9447	9064
SMC5	1451	1919	2052	1959
SMC6	1544	1916	2086	2020
SMCHD1	2233	2778	3114	2954
SMCR7	132	109	133	120
SMCR7L	572	694	846	696
SMCR8	857	1197	1396	1167
SMDT1	41	65	100	97
SMEK1	1588	2121	2229	2148
SMEK2	1103	1419	1437	1475
SMG1	6418	8331	12878	11390
SMG5	2408	3013	2985	2415
SMG6	454	535	873	741
SMG7	523	734	1125	835
SMG8	993	1185	1145	986
SMG9	240	276	271	260
SMIM11	86	118	104	73
SMIM12	104	132	176	157
SMIM13	35	40	37	43
SMIM15	164	174	196	180
SMIM19	98	138	121	97
SMIM4	143	187	198	171
SMIM7	45	79	94	94
SMIM8	52	61	53	49
SMN2	2213	2883	3061	2864
SMNDC1	233	281	542	527
SMO	406	522	544	463
SMOC1	173	268	327	327
SMOX	67	88	82	66
SMPD1	51	82	66	52
SMPD2	105	125	114	109
SMPDL3A	69	66	71	62
SMPDL3B	79	90	130	129
SMS	1565	1978	1978	2074
SMTN	122	182	213	163
SMU1	2179	2553	2616	2376
SMUG1	113	125	129	131
SMURF1	216	335	440	393
SMURF2	714	837	920	797
SMYD2	514	662	731	682
SMYD3	187	213	260	245
SMYD4	322	364	467	385
SMYD5	267	375	438	396
SNAI2	138	217	130	116
SNAP23	299	428	325	287
SNAP29	225	265	273	234
SNAP47	991	1220	1259	1097
SNAPC1	193	252	268	260
SNAPC2	24	35	33	44
SNAPC3	216	301	343	314
SNAPC4	360	446	691	518
SNAPC5	67	81	68	71
SNAPIN	232	261	323	297
SNCA	131	143	131	118
SND1	3160	3750	4018	3716
SNF8	733	967	1175	1117
SNIP1	222	250	251	199
SNORA33	123	160	139	134
SNRK	404	493	551	571
SNRNP200	4937	7271	8846	7795
SNRNP25	305	418	441	419
SNRNP27	269	331	444	447
SNRNP35	108	156	156	160
SNRNP40	2496	3136	3197	3006
SNRNP48	505	664	729	679
SNRNP70	2703	3682	3474	3328
SNRPA	829	1049	864	766
SNRPA1	592	977	922	988
SNRPB	4351	5132	5206	4678
SNRPB2	1144	1273	1346	1319
SNRPC	1102	1454	1188	1017
SNRPD1	1339	1893	1910	2042
SNRPD2	2303	2903	2621	2186
SNRPD3	1690	2063	2014	1962
SNRPE	918	1461	1506	1430
SNRPF	1124	1626	1495	1562
SNRPG	1231	1635	1423	1361
SNTA1	138	170	148	138
SNTB1	33	47	56	54
SNTB2	176	239	274	260
SNUPN	323	367	420	382
SNW1	1165	1475	1715	1629
SNX1	506	615	789	759
SNX10	61	69	70	78
SNX11	130	206	195	154
SNX12	131	208	241	252
SNX13	883	1009	1165	1012
SNX14	835	1037	1087	1039
SNX16	43	55	78	73
SNX17	1220	1551	1811	1599
SNX18	158	204	204	182
SNX2	1488	1787	1769	1560
SNX21	42	64	59	73
SNX24	40	42	74	63
SNX25	634	794	890	841
SNX27	370	500	632	541
SNX29	145	204	253	212
SNX3	397	550	537	547
SNX30	110	165	179	185
SNX33	19	58	46	33
SNX4	551	660	730	679
SNX5	2726	3340	3667	3622
SNX6	1007	1307	1393	1314
SNX7	385	487	534	486
SNX8	134	165	181	158
SNX9	716	944	991	934
SOAT1	813	1038	916	829
SOBP	81	111	142	122
SOCS2	45	40	53	40
SOCS4	264	391	381	336
SOCS5	173	203	250	244
SOCS6	141	194	197	179
SOCS7	69	82	119	107
SOD1	3400	4315	4622	4419
SOD2	823	996	1091	932
SOGA1	113	152	303	235
SOGA2	214	268	359	343
SOGA3	122	146	189	160
SOLH	424	522	786	645
SON	8303	10394	16246	13246
SORBS1	30	42	44	56
SORBS3	26	37	72	47
SORCS1	29	26	44	40
SORD	337	446	509	496
SORL1	198	245	304	256
SORT1	644	855	967	881
SOS1	497	676	998	882
SOS2	399	532	647	607
SOWAHC	17	34	24	29
SOX12	30	60	116	117
SOX13	28	49	55	46
SOX4	173	233	220	183
SOX5	21	41	38	32
SOX6	30	31	37	42
SP1	876	1249	1168	932
SP2	17	35	62	47
SP3	1351	1795	1741	1482
SP4	247	278	262	231
SP9	32	41	58	37
SPA17	153	163	141	150
SPAG1	146	191	226	234
SPAG16	159	223	278	261
SPAG5	1923	2471	2675	2371
SPAG7	319	380	420	459
SPAG9	2713	3577	3748	3395
SPAST	409	503	609	569
SPATA13	98	116	177	145
SPATA17	29	48	51	38
SPATA18	38	35	45	48
SPATA2	33	35	50	48
SPATA20	167	207	208	186
SPATA24	29	50	49	53
SPATA2L	47	44	62	60
SPATA5	801	968	1166	1230
SPATA5L1	198	273	345	281
SPATA6	38	57	75	72
SPATA7	135	130	169	109
SPATC1L	126	143	158	144
SPATS2	288	322	384	371
SPATS2L	338	381	383	351
SPC24	181	226	274	281
SPC25	271	395	539	551
SPCS1	564	784	686	586
SPCS2	406	666	604	631
SPCS3	545	704	766	783
SPDL1	1517	1965	2232	2259
SPECC1	800	1037	1195	1120
SPECC1L	1708	2200	2673	2551
SPEF2	63	73	86	67
SPEG	27	35	76	48
SPEN	7443	10052	19396	16650
SPG11	1011	1236	1405	1193
SPG20	1602	1934	2071	1875
SPG21	422	569	668	584
SPG7	614	796	1026	949
SPHK1	42	54	69	63
SPHK2	63	84	103	108
SPICE1	648	855	1017	929
SPIN1	242	311	432	458
SPIN2A	53	69	77	70
SPIN2B	68	95	94	82
SPIN3	38	48	51	63
SPIN4	111	141	184	172
SPINT2	215	263	258	251
SPIRE1	260	368	435	383
SPIRE2	55	78	84	81
SPNS1	306	439	344	286
SPON1	116	138	155	132
SPOP	594	814	783	822
SPOPL	159	192	240	187
SPPL2A	360	409	533	495
SPPL2B	123	143	197	159
SPPL3	144	207	193	156
SPR	106	142	218	177
SPRED1	88	125	131	116
SPRED2	23	47	59	50
SPRTN	962	1214	1390	1257
SPRY1	61	73	147	111
SPRY2	24	50	52	54
SPRYD3	61	117	106	94
SPRYD4	107	115	145	129
SPRYD7	132	173	180	183
SPSB1	35	55	43	33
SPSB3	99	101	102	109
SPTAN1	3906	5107	6865	6446
SPTB	125	163	216	220
SPTBN1	4505	5820	6412	5845
SPTBN2	994	1207	1640	1472
SPTLC1	778	937	986	870
SPTLC2	506	628	785	743
SPTSSA	26	46	39	41
SPTY2D1	491	561	624	502
SQLE	1342	1669	1723	1512
SQSTM1	1167	1280	1595	1464
SRA1	139	144	180	194
SRBD1	1008	1243	1393	1298
SRC	69	77	151	109
SRCAP	1748	2398	5253	4230
SRD5A1	56	53	72	81
SRD5A3	280	366	332	265
SREBF1	441	539	799	599
SREBF2	552	734	1051	814
SREK1	1401	1708	1577	1631
SREK1IP1	390	417	464	348
SRF	258	340	247	220
SRFBP1	421	642	745	742
SRGAP1	68	62	103	113
SRGAP2	611	821	984	922
SRGAP2B	160	235	240	200
SRGAP2D	367	501	577	517
SRGAP3	43	58	40	53
SRI	1040	1316	1303	1086
SRM	580	859	1225	1035
SRP14	479	710	681	706
SRP19	152	214	231	185
SRP54	1169	1306	1254	1251
SRP68	917	1208	1478	1476
SRP72	1953	2466	2614	2417
SRP9	1632	2201	1993	1998
SRPK1	2735	3519	3639	3267
SRPK2	516	652	773	752
SRPR	731	938	1406	1163
SRPRB	950	1189	1171	1059
SRR	113	148	120	108
SRRD	474	590	602	529
SRRM1	894	1117	1871	1693
SRRM2	4101	5508	12614	9317
SRRT	1565	2275	2442	2375
SRSF1	3270	4152	4788	4946
SRSF10	1174	1540	1574	1495
SRSF11	3206	3737	4043	3672
SRSF12	77	126	117	82
SRSF2	1695	2070	2000	1814
SRSF3	4007	5149	5758	6057
SRSF4	1401	1725	1687	1781
SRSF5	2248	2804	3277	3463
SRSF6	2086	2567	2413	2253
SRSF7	2952	3743	4079	4161
SRSF8	156	176	151	123
SRSF9	2156	2722	3216	3285
SRXN1	41	45	43	64
SS18	393	563	435	341
SS18L1	47	74	74	67
SS18L2	74	104	104	118
SSB	4364	5710	5492	5501
SSBP1	1796	2364	2321	2294
SSBP2	70	87	72	65
SSBP3	90	140	147	114
SSBP4	156	183	157	148
SSFA2	1011	1378	1530	1419
SSH1	124	163	218	183
SSH2	164	257	351	296
SSH3	31	39	71	53
SSNA1	212	304	414	328
SSR1	815	1077	1256	1169
SSR2	1137	1396	1188	1052
SSR3	1067	1366	1419	1184
SSR4	1436	1722	1528	1512
SSRP1	7238	9097	9713	9162
SSSCA1	304	436	362	354
SSU72	586	771	869	937
SSX2IP	728	888	1000	988
ST13	4391	5495	6086	6189
ST3GAL1	23	29	44	34
ST3GAL2	85	91	113	121
ST3GAL3	65	90	107	79
ST3GAL4	117	163	141	132
ST3GAL5	54	65	70	69
ST3GAL6	90	115	106	103
ST5	57	75	96	62
ST6GAL1	31	48	47	41
ST6GALNAC3	65	66	61	67
ST6GALNAC4	76	81	96	87
ST6GALNAC6	239	320	305	248
ST7	260	367	358	313
ST7L	217	264	271	254
STAG1	1701	2205	2458	2372
STAG2	6487	7917	8666	8460
STAG3	49	64	94	72
STAM	306	388	388	389
STAM2	252	291	339	312
STAMBP	532	654	668	602
STAMBPL1	78	97	130	132
STARD10	91	116	96	78
STARD13	73	122	130	102
STARD3	133	170	177	170
STARD3NL	400	530	426	340
STARD4	96	113	158	151
STARD5	25	33	27	29
STARD7	2142	2627	2956	2657
STARD9	480	628	926	801
STAT1	595	789	829	867
STAT2	251	283	380	319
STAT3	444	564	603	559
STAT5A	65	93	111	82
STAT5B	365	531	530	467
STAT6	90	95	111	79
STAU1	733	1059	1347	1231
STAU2	468	600	651	604
STBD1	46	66	60	45
STC2	202	250	328	282
STEAP1	74	85	98	86
STEAP1B	36	42	48	51
STEAP2	58	65	83	75
STEAP3	187	231	234	182
STIL	977	1176	1386	1144
STIM1	220	294	394	345
STIM2	219	270	275	246
STIP1	5512	6693	6337	5811
STK10	296	375	451	364
STK11	714	844	892	918
STK11IP	121	201	205	170
STK16	139	157	198	190
STK17A	253	294	350	349
STK17B	250	344	317	316
STK19	55	81	86	80
STK24	473	719	932	789
STK25	1281	1483	1471	1201
STK3	334	415	467	400
STK32C	91	92	128	110
STK33	186	265	335	289
STK35	199	274	381	373
STK36	371	436	521	417
STK38	262	327	394	392
STK38L	348	413	511	476
STK39	387	472	567	578
STK4	454	579	712	617
STK40	216	281	345	321
STMN1	1437	1877	1870	1839
STMN3	58	84	67	62
STOM	152	211	181	174
STOML1	54	49	73	59
STOML2	2365	3110	2592	2275
STON1-GTF2A1L	20	42	39	32
STON2	187	238	258	202
STOX1	150	184	220	158
STOX2	120	157	204	167
STPG1	52	70	72	65
STRA13	53	91	87	79
STRADA	130	127	169	143
STRADB	562	724	787	626
STRAP	1862	2287	2916	2675
STRBP	990	1215	1285	1253
STRIP1	680	848	964	856
STRIP2	212	266	284	238
STRN	453	612	770	694
STRN3	713	823	988	889
STRN4	779	905	1154	1084
STT3A	2731	3337	2784	2296
STT3B	2740	3484	3788	3549
STUB1	1146	1404	1359	1363
STX10	297	356	394	358
STX12	397	434	510	476
STX16	221	325	492	417
STX17	154	208	240	236
STX18	358	425	465	507
STX1A	29	40	46	47
STX2	163	204	260	237
STX3	124	126	147	138
STX4	198	301	344	323
STX5	262	326	284	249
STX6	188	261	278	245
STX7	153	245	226	222
STX8	135	181	206	194
STXBP1	64	95	156	127
STXBP2	161	243	230	269
STXBP3	788	1066	1061	1108
STXBP4	327	388	541	492
STXBP5	602	781	858	809
STXBP5L	63	84	88	109
STYX	106	140	143	154
STYXL1	209	246	228	236
SUB1	1559	1981	2396	2400
SUCLA2	906	1108	1188	1160
SUCLG1	1014	1289	1144	1138
SUCLG2	579	731	710	682
SUCO	910	1177	1168	1032
SUDS3	405	487	562	535
SUFU	38	69	102	89
SUGP1	349	465	485	441
SUGP2	1268	1451	1876	1707
SUGT1	841	1040	1166	1100
SULF1	87	113	110	84
SULF2	249	367	345	311
SULT1A1	85	101	135	99
SULT1A2	33	37	70	42
SULT1A3	146	168	219	177
SULT1A4	146	168	219	177
SULT4A1	28	40	43	55
SUMF1	136	170	251	242
SUMF2	455	563	676	641
SUMO1	555	780	749	748
SUMO2	1199	1756	1449	1489
SUMO3	311	403	398	374
SUN1	664	793	925	775
SUN2	311	437	472	394
SUOX	156	218	212	200
SUPT16H	7499	9538	10232	10158
SUPT20H	557	701	766	701
SUPT3H	85	134	164	153
SUPT4H1	271	334	368	351
SUPT5H	983	1298	1288	1162
SUPT6H	1355	1837	2330	2100
SUPT7L	458	646	547	540
SUPV3L1	989	1307	1379	1327
SURF1	100	149	167	157
SURF2	218	271	321	326
SURF4	599	708	663	587
SURF6	301	411	460	558
SUSD1	142	168	187	134
SUSD5	253	342	393	299
SUV39H1	217	267	280	263
SUV39H2	553	647	711	661
SUV420H1	388	471	531	557
SUV420H2	63	65	97	71
SUZ12	852	1065	1412	1226
SV2A	82	114	163	130
SVEP1	39	46	56	54
SVIL	126	153	210	203
SVIP	154	174	194	169
SWAP70	233	335	395	390
SWI5	106	123	119	88
SWSAP1	33	40	32	39
SWT1	139	169	189	154
SYAP1	1277	1721	1784	1772
SYBU	177	189	248	222
SYCP2	65	80	99	99
SYCP2L	111	175	221	217
SYDE1	111	137	185	176
SYDE2	401	521	619	607
SYF2	365	448	518	547
SYK	215	280	281	292
SYMPK	860	1020	1532	1343
SYN2	51	59	79	59
SYNCRIP	3853	5024	5935	5765
SYNE1	460	625	757	649
SYNE2	3290	4356	5204	4905
SYNE3	31	34	44	45
SYNGAP1	21	26	81	47
SYNGR2	187	257	230	164
SYNJ1	248	312	449	407
SYNJ2	216	233	339	287
SYNJ2BP-COX16	431	527	740	746
SYNM	109	129	172	167
SYNRG	280	362	448	408
SYP	70	82	81	72
SYPL1	281	365	447	344
SYS1	54	65	41	45
SYT1	60	93	86	75
SYTL4	63	95	120	112
SYTL5	45	47	63	55
SYVN1	69	117	149	142
SZRD1	149	255	244	267
SZT2	351	471	725	554
TAB1	233	267	383	329
TAB2	393	475	517	454
TAB3	121	174	184	178
TACC1	295	383	480	401
TACC2	30	49	74	77
TACC3	1060	1597	2057	1861
TACO1	354	501	503	466
TADA1	384	413	447	401
TADA2A	195	255	245	184
TADA2B	144	178	244	232
TADA3	357	443	605	548
TAF1	996	1264	1869	1723
TAF10	224	330	367	376
TAF11	379	469	524	492
TAF12	178	218	259	216
TAF13	100	147	182	213
TAF15	460	795	962	895
TAF1A	250	323	367	360
TAF1B	631	741	879	864
TAF1C	151	207	316	239
TAF1D	553	872	969	920
TAF1L	166	189	265	247
TAF2	1627	1899	2184	1886
TAF3	165	270	305	273
TAF4	133	172	347	283
TAF4B	422	506	561	431
TAF5	503	645	683	671
TAF5L	777	938	990	747
TAF6	191	330	400	336
TAF6L	332	408	433	404
TAF7	942	1123	1071	1015
TAF8	153	196	178	141
TAF9	1261	1587	1419	1330
TAF9B	407	510	506	448
TAGLN2	797	1027	1158	1149
TALDO1	1492	1831	1957	1844
TAMM41	138	185	286	236
TANC1	644	865	1090	900
TANC2	247	366	538	399
TANGO2	61	73	93	74
TANGO6	568	682	834	705
TANK	238	314	291	244
TAOK1	995	1247	1486	1236
TAOK2	986	1292	1493	1341
TAOK3	214	238	297	299
TAP1	137	163	160	137
TAP2	200	292	288	302
TAPBP	30	51	63	58
TAPT1	165	201	256	260
TARBP1	2360	2977	3519	3305
TARBP2	343	430	368	300
TARDBP	1231	1570	1825	1855
TARS	5425	6883	7085	6921
TARS2	971	1120	1181	1025
TARSL2	641	759	884	878
TAS2R13	25	36	38	45
TAS2R14	42	65	88	62
TAS2R19	77	115	128	115
TAS2R20	43	73	82	72
TAS2R3	22	24	36	30
TAS2R30	104	125	213	203
TAS2R31	67	98	140	120
TAS2R4	28	24	43	27
TAS2R43	21	38	69	42
TAS2R46	57	91	106	106
TAS2R50	22	54	63	67
TASP1	219	313	399	382
TATDN1	357	481	489	477
TATDN2	885	1099	1482	1292
TATDN3	247	268	334	276
TAX1BP1	1579	2032	2112	2061
TAX1BP3	102	158	115	115
TAZ	140	164	172	169
TBC1D1	283	362	373	333
TBC1D10A	67	83	75	74
TBC1D10B	640	830	1196	1242
TBC1D12	172	214	232	238
TBC1D13	142	213	250	191
TBC1D14	684	847	977	847
TBC1D15	634	877	948	906
TBC1D16	308	343	407	400
TBC1D17	63	85	96	84
TBC1D19	84	119	125	137
TBC1D20	175	199	271	220
TBC1D22A	135	204	235	240
TBC1D22B	115	180	192	143
TBC1D23	756	923	979	904
TBC1D24	97	137	197	179
TBC1D25	80	136	160	134
TBC1D2B	438	522	653	636
TBC1D3	132	176	207	191
TBC1D30	98	128	147	131
TBC1D3B	52	71	81	78
TBC1D3C	54	71	76	81
TBC1D4	1114	1414	1655	1529
TBC1D5	207	287	310	218
TBC1D7	332	377	467	454
TBC1D8	118	181	167	152
TBC1D8B	71	91	118	105
TBC1D9	356	490	507	486
TBC1D9B	1768	2242	2511	2228
TBCA	1192	1480	1623	1642
TBCB	496	597	570	515
TBCC	176	197	236	247
TBCCD1	203	273	231	186
TBCD	751	997	1222	1116
TBCE	792	1005	1159	1009
TBCEL	205	253	298	263
TBCK	335	375	445	379
TBK1	705	884	954	956
TBKBP1	35	71	101	78
TBL1X	270	305	514	424
TBL1XR1	730	951	920	815
TBL2	405	481	499	432
TBL3	534	668	828	705
TBP	157	197	197	183
TBPL1	208	254	261	212
TBRG1	225	276	324	293
TBRG4	1282	1494	1517	1300
TBX1	95	133	175	163
TBX18	128	207	181	149
TBX2	64	93	110	96
TBX20	72	100	114	97
TBX3	269	370	349	329
TC2N	168	261	270	242
TCAIM	365	475	479	463
TCEA1	1259	1448	1668	1632
TCEA2	62	74	91	83
TCEAL1	173	160	205	136
TCEAL4	785	901	771	708
TCEAL8	520	621	775	792
TCEANC	43	49	56	45
TCEANC2	110	128	157	151
TCEB1	719	802	838	766
TCEB2	791	915	1102	919
TCEB3	1415	1991	2150	2041
TCERG1	2137	2737	3048	2841
TCF12	353	498	485	351
TCF19	294	306	322	307
TCF20	1124	1620	1782	1508
TCF25	1037	1339	1329	1207
TCF3	416	533	533	447
TCF4	229	274	283	248
TCF7L2	55	66	110	98
TCFL5	304	415	460	427
TCHP	147	191	188	223
TCIRG1	50	74	86	58
TCOF1	3439	4613	5672	5191
TCP1	12482	15396	16137	16164
TCP11L1	178	244	344	339
TCP11L2	57	77	83	77
TCTEX1D2	38	46	47	38
TCTN1	269	335	294	258
TCTN2	210	260	306	236
TCTN3	582	736	799	664
TDG	915	1106	1135	1006
TDP1	568	714	780	694
TDP2	410	638	705	635
TDRD3	340	467	435	455
TDRD6	33	54	82	75
TDRD7	315	369	438	358
TDRKH	190	234	254	252
TEAD1	197	261	292	245
TEAD2	147	171	194	162
TEAD4	242	321	290	273
TEC	44	46	56	47
TECPR1	164	206	281	269
TECPR2	276	327	448	370
TECR	535	703	470	430
TECTA	21	29	44	43
TEF	27	33	31	29
TEFM	95	147	171	145
TELO2	557	687	895	819
TENM1	109	168	229	164
TENM3	625	835	1007	911
TEP1	233	292	374	333
TERF1	442	626	692	678
TERF2	204	264	371	277
TERF2IP	593	737	779	814
TERT	45	46	81	53
TES	354	449	509	513
TESC	19	39	29	31
TESK1	91	115	133	116
TESK2	44	75	73	65
TET1	796	989	1495	1288
TET2	504	636	718	605
TET3	159	192	351	263
TEX10	1701	2137	2231	1840
TEX14	22	29	35	34
TEX15	526	745	851	712
TEX2	518	713	751	719
TEX261	268	302	317	240
TEX264	472	524	466	398
TEX30	130	188	167	159
TEX9	132	149	147	145
TFAM	1360	1796	1993	1942
TFAP2A	60	63	117	84
TFAP2C	23	36	38	28
TFAP4	169	219	212	204
TFB1M	345	500	561	493
TFB2M	291	324	408	378
TFCP2	334	427	609	436
TFCP2L1	30	23	39	39
TFDP1	1080	1406	1486	1386
TFDP2	516	634	774	655
TFE3	124	151	188	145
TFG	914	1240	1249	1023
TFIP11	1000	1268	1236	1108
TFPT	73	112	110	112
TFRC	3017	3592	3670	3412
TGDS	258	354	373	325
TGFB1	24	31	59	40
TGFBR1	394	538	579	543
TGFBR2	47	78	117	75
TGFBR3	332	401	416	387
TGFBRAP1	405	516	624	518
TGIF1	58	75	90	69
TGIF2	115	145	170	160
TGOLN2	284	390	548	512
TGS1	1186	1545	1766	1564
THADA	1629	1936	2431	2290
THAP1	97	137	119	124
THAP10	31	29	47	39
THAP11	163	203	265	244
THAP3	78	86	134	148
THAP4	646	798	827	728
THAP5	383	535	554	526
THAP6	75	96	115	123
THAP7	401	457	445	358
THAP9	170	228	227	232
THBS3	34	75	72	56
THBS4	32	27	38	37
THEM4	138	156	197	189
THEMIS2	42	53	52	66
THG1L	210	295	322	309
THNSL1	327	357	414	392
THOC1	683	849	935	865
THOC2	5108	6577	7024	6695
THOC3	2122	2474	2676	2474
THOC5	1272	1697	1727	1648
THOC6	416	509	513	480
THOC7	685	919	1142	1099
THOP1	1285	1508	1647	1616
THRA	86	101	122	122
THRAP3	3615	4603	4595	4080
THRB	48	46	82	62
THSD1	63	60	81	59
THSD4	23	37	35	39
THTPA	65	78	91	68
THUMPD1	497	536	544	469
THUMPD2	528	603	681	613
THUMPD3	1017	1333	1393	1401
THYN1	289	364	402	339
TIA1	621	835	798	710
TIAL1	614	852	1380	1337
TIAM1	981	1177	1394	1151
TIAM2	62	78	107	85
TICRR	1226	1647	2397	2136
TIFA	31	44	58	58
TIGD1	213	256	379	358
TIGD2	120	176	206	223
TIGD5	105	130	186	149
TIGD6	78	106	90	82
TIGD7	49	73	85	76
TIMELESS	1193	1840	1863	1826
TIMM10	207	230	273	241
TIMM10B	42	51	63	72
TIMM13	375	514	606	630
TIMM17A	1062	1434	1141	1105
TIMM17B	378	442	470	414
TIMM21	239	285	228	227
TIMM22	253	303	441	471
