	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
SIPA1	72	84	111	154
SIPA1L1	126	132	148	209
SIPA1L2	101	114	125	187
SIPA1L3	218	229	285	420
SIRPA	95	83	112	161
SIRT1	507	547	582	834
SIRT2	350	321	390	635
SIRT3	43	54	51	87
SIRT5	59	83	106	178
SIRT6	91	89	109	174
SIRT7	41	40	67	104
SIVA1	553	515	644	1124
SIX1	147	170	306	403
SIX2	12	13	31	49
SIX4	107	133	175	231
SIX5	51	62	80	121
SKA1	214	277	345	400
SKA2	500	679	757	908
SKA3	285	330	393	506
SKAP2	447	548	661	980
SKI	267	242	369	660
SKIDA1	44	71	58	83
SKIL	456	517	536	592
SKIV2L	645	664	958	1234
SKIV2L2	1568	1770	2040	2836
SKP1	3165	3624	4115	6306
SKP2	638	666	843	1147
SLAIN1	166	207	270	384
SLAIN2	178	208	252	333
SLBP	590	641	867	1207
SLC10A3	37	55	63	92
SLC10A5	0	0	0	0
SLC10A7	28	25	32	52
SLC11A2	294	291	367	454
SLC12A2	1082	1050	1227	1844
SLC12A4	196	146	163	292
SLC12A6	164	161	188	244
SLC12A7	173	210	217	337
SLC12A8	1	0	1	3
SLC12A9	129	142	139	250
SLC13A3	0	0	0	0
SLC15A4	198	215	276	354
SLC16A1	2781	2958	3336	4882
SLC16A10	275	243	304	518
SLC16A14	130	150	169	233
SLC16A7	101	108	125	184
SLC16A9	121	101	133	198
SLC17A5	178	170	211	251
SLC18B1	204	190	217	346
SLC19A1	578	548	671	1219
SLC19A2	119	104	147	236
SLC1A1	99	90	124	153
SLC1A3	172	180	208	300
SLC1A4	97	111	176	241
SLC1A5	2170	2280	2772	4515
SLC20A1	278	377	366	541
SLC20A2	59	94	113	126
SLC22A15	9	10	11	24
SLC22A17	27	28	34	43
SLC22A23	65	57	78	134
SLC22A5	123	126	167	251
SLC23A2	400	478	559	804
SLC24A1	18	19	21	21
SLC24A6	44	34	50	76
SLC25A1	1037	1024	1291	1878
SLC25A10	266	295	385	521
SLC25A11	1020	1006	1384	1780
SLC25A12	153	171	250	307
SLC25A13	868	1016	1223	1668
SLC25A14	206	278	307	432
SLC25A15	142	166	193	276
SLC25A16	65	106	125	163
SLC25A17	397	469	505	720
SLC25A19	128	111	210	227
SLC25A20	73	91	115	158
SLC25A21	80	80	120	135
SLC25A22	105	93	156	202
SLC25A23	26	29	36	65
SLC25A24	390	432	499	705
SLC25A25	55	84	92	166
SLC25A26	60	55	58	88
SLC25A27	11	10	12	15
SLC25A28	99	82	123	153
SLC25A29	145	139	154	272
SLC25A3	3817	4197	4688	7920
SLC25A30	94	88	126	164
SLC25A32	226	232	294	397
SLC25A33	266	282	337	424
SLC25A36	96	120	125	193
SLC25A37	29	31	46	70
SLC25A38	149	117	146	246
SLC25A39	349	336	474	709
SLC25A4	416	435	566	888
SLC25A40	29	48	69	81
SLC25A43	0	0	1	0
SLC25A44	66	79	136	156
SLC25A46	571	679	796	986
SLC25A5	5852	6343	8579	12293
SLC25A51	47	29	46	78
SLC25A52	24	16	31	37
SLC25A6	2908	3130	3626	6040
SLC26A11	79	84	82	131
SLC26A2	311	355	386	520
SLC27A2	316	351	410	590
SLC27A3	73	64	71	123
SLC27A4	185	191	245	352
SLC27A5	5	11	9	23
SLC27A6	32	41	38	33
SLC29A1	713	689	827	1335
SLC29A2	120	105	164	181
SLC2A1	850	861	961	1678
SLC2A11	5	9	13	18
SLC2A12	58	70	83	62
SLC2A13	132	116	170	193
SLC2A4RG	141	135	180	284
SLC2A6	71	75	106	154
SLC2A8	63	46	64	98
SLC30A1	127	128	134	241
SLC30A4	29	51	46	71
SLC30A5	185	191	219	341
SLC30A6	230	263	315	412
SLC30A7	414	456	538	796
SLC30A9	337	358	446	558
SLC31A1	175	210	207	380
SLC33A1	222	224	262	358
SLC35A1	147	160	212	280
SLC35A2	179	153	226	412
SLC35A3	170	170	230	297
SLC35A4	12	7	14	26
SLC35A5	57	74	98	103
SLC35B1	380	419	374	704
SLC35B2	182	194	231	437
SLC35B3	69	87	97	151
SLC35B4	168	186	226	322
SLC35C1	38	33	40	62
SLC35C2	106	118	146	221
SLC35D1	70	47	60	100
SLC35E1	122	119	154	246
SLC35E2	40	32	38	71
SLC35E2B	63	58	67	113
SLC35E3	129	156	172	229
SLC35F1	154	171	171	256
SLC35F2	263	241	316	477
SLC35F5	259	248	329	466
SLC35F6	175	212	277	424
SLC35G1	111	128	161	180
SLC35G2	156	189	243	340
SLC36A1	56	51	90	131
SLC36A4	62	82	83	130
SLC37A1	34	29	38	73
SLC37A3	293	279	291	410
SLC37A4	153	164	184	250
SLC38A1	967	1013	1213	1653
SLC38A10	201	187	157	334
SLC38A2	1619	1805	1885	2790
SLC38A6	45	45	38	62
SLC38A7	20	26	49	62
SLC38A9	164	200	214	298
SLC39A1	480	485	668	1015
SLC39A10	702	794	981	818
SLC39A11	46	48	61	88
SLC39A13	51	32	63	94
SLC39A14	538	567	773	1139
SLC39A3	122	107	147	232
SLC39A4	52	60	77	87
SLC39A6	428	436	572	708
SLC39A7	662	699	903	1230
SLC39A8	314	272	310	424
SLC39A9	159	180	198	268
SLC3A2	1111	1085	1140	1899
SLC41A1	68	69	70	134
SLC41A2	175	186	218	336
SLC41A3	180	180	174	275
SLC43A1	75	74	101	114
SLC43A2	152	139	164	215
SLC44A1	262	293	345	393
SLC44A2	332	328	374	458
SLC44A5	75	76	85	96
SLC45A3	25	17	25	45
SLC45A4	11	17	22	48
SLC46A1	83	108	135	203
SLC46A3	93	81	124	162
SLC47A1	75	60	82	125
SLC4A11	53	46	59	81
SLC4A1AP	401	452	530	787
SLC4A2	405	416	557	888
SLC4A4	56	47	55	85
SLC4A7	340	367	461	591
SLC4A8	13	9	15	37
SLC50A1	108	161	187	244
SLC52A2	191	196	247	418
SLC5A3	264	266	377	617
SLC5A6	310	265	318	609
SLC6A11	6	7	6	11
SLC6A15	742	771	890	1185
SLC6A6	183	195	231	303
SLC6A8	312	263	279	442
SLC6A9	34	36	65	63
SLC7A1	935	917	1084	1771
SLC7A11	240	296	261	338
SLC7A2	381	394	447	721
SLC7A3	0	0	1	0
SLC7A5	215	230	281	396
SLC7A6	159	179	220	315
SLC7A6OS	30	48	47	92
SLC8A1	0	0	2	0
SLC9A1	193	186	217	413
SLC9A2	14	8	20	23
SLC9A3R1	260	242	343	582
SLC9A3R2	79	93	123	185
SLC9A5	16	17	10	22
SLC9A6	134	148	150	243
SLC9A7	166	171	222	286
SLC9A8	62	70	94	134
SLC9A9	11	9	6	15
SLC9B2	65	78	89	150
SLCO4A1	147	144	244	361
SLCO5A1	14	13	32	21
SLCO6A1	0	0	0	0
SLIRP	1361	1374	1793	2504
SLIT1	34	27	46	46
SLIT2	1187	1320	1379	1964
SLITRK3	17	26	22	31
SLITRK5	62	64	88	115
SLK	1301	1602	1772	2393
SLMAP	154	161	202	255
SLMO1	14	10	16	19
SLMO2	978	1060	1462	1896
SLTM	601	670	835	1149
SLU7	606	660	746	1086
SLX1A	144	176	218	408
SLX4	48	67	89	104
SLX4IP	43	25	67	73
SMAD1	149	142	193	269
SMAD2	344	376	508	630
SMAD3	158	149	222	305
SMAD4	357	387	483	671
SMAD5	612	699	899	1201
SMAD6	38	27	36	44
SMAD7	53	55	62	74
SMAD9	242	265	373	423
SMAP1	447	509	555	846
SMAP2	414	432	549	799
SMARCA1	1305	1436	1663	2195
SMARCA2	403	480	572	780
SMARCA4	2113	2174	2865	4123
SMARCA5	2364	2616	3115	4096
SMARCAD1	573	716	800	1080
SMARCAL1	196	221	301	400
SMARCB1	1031	1127	1371	2200
SMARCC1	1578	1772	2352	3062
SMARCC2	816	931	1187	1582
SMARCD1	668	776	921	1250
SMARCD2	735	838	1141	1480
SMARCD3	56	35	56	75
SMARCE1	624	685	810	1202
SMC1A	4056	4355	5122	7873
SMC2	1567	1724	1970	2588
SMC3	2702	3201	3526	4631
SMC4	3149	3736	4192	5588
SMC5	340	394	484	615
SMC6	360	442	489	672
SMCHD1	1230	1498	1642	2160
SMCR7	34	42	51	76
SMCR7L	180	184	261	345
SMCR8	148	121	155	267
SMDT1	189	200	267	405
SMEK1	787	804	965	1355
SMEK2	200	181	309	393
SMG1	1077	950	1066	1286
SMG5	472	443	602	868
SMG6	307	381	409	655
SMG7	268	358	428	515
SMG8	526	631	659	1073
SMG9	417	506	648	1177
SMIM11	71	63	72	76
SMIM12	103	110	134	237
SMIM13	65	68	96	111
SMIM15	90	92	87	152
SMIM19	43	34	58	72
SMIM4	80	123	146	217
SMIM7	99	91	120	208
SMIM8	71	77	153	135
SMN2	1786	1952	2473	3482
SMNDC1	456	526	707	876
SMO	84	87	96	180
SMOC1	229	283	318	488
SMOX	36	39	43	60
SMPD1	72	101	108	160
SMPD2	95	96	126	173
SMPDL3A	109	123	138	177
SMPDL3B	95	93	100	155
SMS	1146	1182	1599	2079
SMTN	84	67	108	186
SMU1	1484	1843	2279	2932
SMUG1	66	54	88	108
SMURF1	93	157	145	174
SMURF2	89	105	139	184
SMYD2	195	176	239	280
SMYD3	88	95	118	141
SMYD4	138	148	174	232
SMYD5	211	228	275	392
SNAI2	4	2	6	7
SNAP23	400	465	559	743
SNAP29	220	226	331	436
SNAP47	230	242	359	500
SNAPC1	146	218	274	320
SNAPC2	38	58	78	142
SNAPC3	325	351	370	542
SNAPC4	277	249	331	452
SNAPC5	50	62	105	98
SNAPIN	184	195	264	337
SNCA	162	154	187	278
SND1	2610	2800	3395	5009
SNF8	656	643	822	1204
SNIP1	134	160	215	311
SNORA33	0	0	1	0
SNRK	99	114	131	160
SNRNP200	4567	4742	5735	8424
SNRNP25	95	103	125	213
SNRNP27	173	202	271	458
SNRNP35	53	54	63	160
SNRNP40	1190	1349	1731	2416
SNRNP48	120	129	199	224
SNRNP70	1740	1974	2635	4868
SNRPA	849	951	1295	1900
SNRPA1	1353	1540	1849	2555
SNRPB	4145	4716	5987	9038
SNRPB2	614	786	996	1346
SNRPC	1092	1361	1795	2606
SNRPD1	1305	1524	2027	2086
SNRPD2	1464	1568	2133	2913
SNRPD3	1682	1930	2511	3561
SNRPE	896	1115	1154	1968
SNRPF	1619	1868	2160	3005
SNRPG	684	790	825	1511
SNTA1	28	20	38	47
SNTB1	47	54	52	94
SNTB2	183	207	293	345
SNUPN	252	221	337	518
SNW1	775	930	1084	1493
SNX1	529	572	740	1030
SNX10	110	115	200	222
SNX11	94	72	101	155
SNX12	262	264	343	499
SNX13	85	119	154	150
SNX14	595	682	821	949
SNX16	14	26	21	29
SNX17	666	755	872	1381
SNX18	112	128	155	240
SNX2	1370	1601	2073	2511
SNX21	26	33	38	64
SNX24	54	43	74	84
SNX25	82	89	104	108
SNX27	468	513	680	887
SNX29	22	24	29	38
SNX3	778	899	1181	1642
SNX30	63	82	117	159
SNX33	24	35	49	57
SNX4	384	402	477	661
SNX5	455	457	564	673
SNX6	676	831	964	1244
SNX7	135	158	192	250
SNX8	84	82	117	141
SNX9	387	465	576	724
SOAT1	529	526	624	891
SOBP	49	42	51	81
SOCS2	8	9	19	11
SOCS4	63	85	118	146
SOCS5	50	48	84	83
SOCS6	60	67	69	121
SOCS7	29	31	36	71
SOD1	3682	3660	4472	7168
SOD2	673	811	983	1322
SOGA1	94	67	116	198
SOGA2	53	53	55	79
SOGA3	27	22	40	44
SOLH	164	165	149	223
SON	4530	5429	6193	8759
SORBS1	48	45	57	92
SORBS3	165	202	262	360
SORCS1	0	0	0	0
SORD	587	615	745	1092
SORL1	123	142	136	170
SORT1	670	670	760	1038
SOS1	180	229	299	369
SOS2	79	69	114	140
SOWAHC	45	53	73	102
SOX12	99	89	175	243
SOX13	44	56	82	109
SOX4	452	530	774	1228
SOX5	48	53	79	102
SOX6	15	9	22	36
SP1	849	1042	1249	1602
SP2	129	176	199	303
SP3	494	593	719	885
SP4	111	141	191	230
SP9	52	81	100	169
SPA17	87	79	121	133
SPAG1	165	191	198	270
SPAG16	241	267	281	400
SPAG5	855	904	1074	1493
SPAG7	234	224	304	477
SPAG9	1216	1435	1705	2251
SPAST	143	172	230	281
SPATA13	97	112	105	181
SPATA17	8	12	5	27
SPATA18	31	34	30	49
SPATA2	58	47	75	112
SPATA20	52	58	90	115
SPATA24	45	56	45	88
SPATA2L	55	64	72	140
SPATA5	234	281	285	489
SPATA5L1	233	271	344	481
SPATA6	45	57	65	97
SPATA7	33	46	52	51
SPATC1L	1	0	1	2
SPATS2	196	201	299	354
SPATS2L	221	240	340	455
SPC24	297	336	483	635
SPC25	418	527	619	872
SPCS1	371	475	561	778
SPCS2	617	681	729	1214
SPCS3	602	677	726	985
SPDL1	686	863	1015	1337
SPECC1	151	172	215	264
SPECC1L	371	396	545	818
SPEF2	29	22	34	56
SPEG	35	26	48	43
SPEN	2162	1975	2109	2891
SPG11	412	515	565	696
SPG20	1429	1612	1940	2776
SPG21	265	222	370	452
SPG7	166	141	198	267
SPHK1	15	18	30	33
SPHK2	48	39	66	104
SPICE1	156	150	187	210
SPIN1	180	213	221	314
SPIN2A	46	52	62	69
SPIN2B	49	56	65	77
SPIN3	12	8	13	27
SPIN4	122	125	177	281
SPINT2	965	1020	1214	1772
SPIRE1	132	120	167	248
SPIRE2	25	25	44	50
SPNS1	205	200	254	366
SPON1	229	224	267	418
SPOP	283	253	351	514
SPOPL	77	83	106	119
SPPL2A	440	441	462	685
SPPL2B	83	68	79	134
SPPL3	292	253	267	434
SPR	127	130	153	269
SPRED1	48	66	72	95
SPRED2	60	41	59	88
SPRTN	287	397	405	628
SPRY1	64	47	66	82
SPRY2	115	108	150	236
SPRYD3	121	130	137	250
SPRYD4	173	157	196	323
SPRYD7	264	273	372	477
SPSB1	39	34	42	72
SPSB3	60	89	75	157
SPTAN1	1802	1882	2127	3354
SPTB	69	57	74	108
SPTBN1	1020	932	836	1521
SPTBN2	402	344	345	587
SPTLC1	539	566	667	966
SPTLC2	332	363	449	666
SPTSSA	112	109	150	229
SPTY2D1	188	195	244	350
SQLE	1106	1155	1432	1933
SQSTM1	931	992	1180	2414
SRA1	157	191	239	300
SRBD1	268	307	392	521
SRC	196	205	285	406
SRCAP	805	694	829	1181
SRD5A1	35	30	37	59
SRD5A3	126	128	165	264
SREBF1	274	264	330	459
SREBF2	643	657	713	1067
SREK1	306	328	463	663
SREK1IP1	79	86	121	157
SRF	183	159	234	357
SRFBP1	319	379	450	647
SRGAP1	109	103	119	172
SRGAP2	381	430	521	754
SRGAP2B	108	145	133	229
SRGAP2D	247	277	340	485
SRGAP3	29	17	24	32
SRI	739	821	1137	1222
SRM	1090	1131	1516	2292
SRP14	1197	1426	1891	2386
SRP19	400	520	546	732
SRP54	959	1085	1368	1744
SRP68	858	882	1130	1571
SRP72	940	1060	1322	1820
SRP9	1417	1526	1904	2790
SRPK1	1562	1792	2288	2793
SRPK2	567	684	812	1188
SRPR	789	849	1073	1566
SRPRB	696	851	991	1419
SRR	92	115	120	169
SRRD	121	155	207	232
SRRM1	1800	2244	2770	3602
SRRM2	5927	6825	7715	11090
SRRT	1101	1205	1414	2502
SRSF1	1943	2091	2855	4290
SRSF10	827	942	1190	1760
SRSF11	872	1019	1311	1918
SRSF12	67	91	134	127
SRSF2	1509	1876	2379	4367
SRSF3	2462	2777	3464	5610
SRSF4	846	882	1072	1728
SRSF5	1499	1729	1645	2204
SRSF6	1692	2021	2071	3362
SRSF7	2038	2397	3040	4498
SRSF8	193	230	259	458
SRSF9	2118	2060	2550	3854
SRXN1	124	103	119	199
SS18	334	435	518	697
SS18L1	24	35	43	80
SS18L2	69	57	98	101
SSB	2981	3537	4345	6018
SSBP1	2132	2556	3350	4096
SSBP2	116	103	119	158
SSBP3	264	311	362	510
SSBP4	110	125	147	215
SSFA2	175	187	253	305
SSH1	36	43	44	66
SSH2	76	113	141	186
SSH3	26	41	32	46
SSNA1	136	160	180	236
SSR1	1110	1329	1420	1985
SSR2	824	1013	1016	1604
SSR3	570	685	850	1207
SSR4	1894	2050	2421	3437
SSRP1	3270	3230	4101	6222
SSSCA1	249	300	395	540
SSU72	554	568	853	1064
SSX2IP	511	622	788	920
ST13	2952	3483	3957	5726
ST3GAL1	16	23	19	29
ST3GAL2	20	12	24	27
ST3GAL3	8	6	10	8
ST3GAL4	40	39	53	65
ST3GAL5	44	38	39	47
ST3GAL6	39	42	32	49
ST5	29	36	46	50
ST6GAL1	23	19	31	44
ST6GALNAC3	43	37	35	47
ST6GALNAC4	36	39	43	61
ST6GALNAC6	11	13	13	25
ST7	165	188	253	299
ST7L	160	211	202	294
STAG1	231	259	275	347
STAG2	2913	3270	3783	4745
STAG3	18	33	33	67
STAM	350	464	516	741
STAM2	195	229	282	395
STAMBP	226	253	363	420
STAMBPL1	59	70	114	146
STARD10	19	23	19	26
STARD13	64	60	93	106
STARD3	74	105	123	196
STARD3NL	97	100	128	193
STARD4	184	166	221	269
STARD5	6	7	6	10
STARD7	498	541	626	970
STARD9	87	50	55	22
STAT1	679	784	924	1221
STAT2	146	165	235	275
STAT3	629	722	854	1227
STAT5A	59	81	82	111
STAT5B	260	290	368	434
STAT6	14	8	13	24
STAU1	1606	1929	2429	3152
STAU2	199	280	346	450
STBD1	42	50	42	71
STC2	226	223	367	508
STEAP1	78	85	110	168
STEAP1B	43	31	50	78
STEAP2	129	158	194	247
STEAP3	243	277	331	465
STIL	408	462	589	771
STIM1	235	259	264	395
STIM2	168	186	209	262
STIP1	2730	3073	3983	6084
STK10	89	108	164	240
STK11	58	57	71	109
STK11IP	231	256	282	468
STK16	45	52	56	75
STK17A	296	317	364	506
STK17B	194	252	274	300
STK19	83	122	140	215
STK24	392	473	635	849
STK25	358	367	531	638
STK3	196	220	286	351
STK32C	26	26	26	45
STK33	77	106	111	140
STK35	138	150	223	312
STK36	116	133	155	242
STK38	202	229	316	413
STK38L	232	268	380	489
STK39	281	331	344	521
STK4	403	481	647	853
STK40	83	81	94	152
STMN1	2383	2680	3272	4512
STMN3	211	276	270	472
STOM	296	312	315	437
STOML1	46	41	58	102
STOML2	1363	1421	1765	2703
STON1-GTF2A1L	79	75	97	81
STON2	70	74	107	162
STOX1	44	50	82	93
STOX2	67	77	89	109
STPG1	45	69	93	116
STRA13	84	86	125	180
STRADA	173	188	217	305
STRADB	77	103	149	186
STRAP	2816	3082	3665	5429
STRBP	359	416	490	654
STRIP1	356	360	532	712
STRIP2	74	105	102	168
STRN	305	325	412	571
STRN3	362	404	526	730
STRN4	401	433	523	737
STT3A	1662	1788	1960	3006
STT3B	1016	1134	1225	1705
STUB1	956	952	1187	1781
STX10	123	122	145	225
STX12	327	393	465	693
STX16	143	206	222	290
STX17	107	131	135	211
STX18	152	207	288	358
STX1A	17	10	13	18
STX2	82	68	82	105
STX3	78	82	114	154
STX4	66	106	117	164
STX5	185	172	231	369
STX6	85	81	155	222
STX7	512	537	788	876
STX8	83	101	118	145
STXBP1	178	228	279	348
STXBP2	366	340	459	602
STXBP3	573	687	778	1051
STXBP4	172	190	226	295
STXBP5	142	135	180	258
STXBP5L	23	37	32	50
STYX	59	72	104	128
STYXL1	127	152	221	266
SUB1	1915	2425	3050	4214
SUCLA2	888	962	1192	1543
SUCLG1	787	861	1076	1403
SUCLG2	272	269	379	468
SUCO	149	169	180	190
SUDS3	280	300	367	490
SUFU	210	245	366	447
SUGP1	202	233	291	440
SUGP2	483	463	547	814
SUGT1	613	708	827	1221
SULF1	12	18	15	20
SULF2	549	604	525	885
SULT1A1	489	485	619	819
SULT1A2	182	170	204	282
SULT1A3	181	183	220	334
SULT1A4	181	183	220	334
SULT4A1	29	21	35	46
SUMF1	63	47	75	105
SUMF2	269	264	319	422
SUMO1	458	559	775	828
SUMO2	2339	2874	3577	5317
SUMO3	145	176	186	315
SUN1	667	708	890	1178
SUN2	435	434	584	855
SUOX	83	60	96	164
SUPT16H	3286	3722	3977	5711
SUPT20H	800	940	1233	1614
SUPT3H	100	130	120	179
SUPT4H1	321	328	366	734
SUPT5H	1979	2110	2508	3720
SUPT6H	1019	1089	1301	1949
SUPT7L	212	228	275	382
SUPV3L1	631	659	837	1003
SURF1	136	109	196	233
SURF2	146	196	231	393
SURF4	1192	1112	1492	2291
SURF6	306	354	479	763
SUSD1	76	70	86	141
SUSD5	150	143	130	238
SUV39H1	241	242	305	487
SUV39H2	204	225	313	417
SUV420H1	204	238	267	376
SUV420H2	49	41	50	79
SUZ12	576	591	746	1016
SV2A	405	412	470	728
SVEP1	133	118	117	164
SVIL	225	237	242	442
SVIP	52	39	59	59
SWAP70	295	231	330	453
SWI5	63	78	86	161
SWSAP1	51	60	63	109
SWT1	35	49	45	60
SYAP1	1348	1381	1882	2506
SYBU	62	74	93	156
SYCP2	0	1	2	3
SYCP2L	58	64	73	115
SYDE1	118	130	183	267
SYDE2	163	181	193	230
SYF2	496	566	610	1051
SYK	111	124	150	220
SYMPK	404	478	617	835
SYN2	68	71	85	127
SYNCRIP	3450	4159	4840	6894
SYNE1	402	435	491	617
SYNE2	682	639	645	1008
SYNE3	35	32	40	82
SYNGAP1	16	15	20	23
SYNGR2	371	371	484	738
SYNJ1	179	173	272	388
SYNJ2	116	144	197	266
SYNJ2BP-COX16	179	173	236	306
SYNM	8	11	25	22
SYNRG	384	411	491	642
SYP	31	33	30	68
SYPL1	1080	1211	1338	1945
SYS1	76	78	91	175
SYT1	50	53	87	97
SYTL4	23	32	38	53
SYTL5	37	47	52	53
SYVN1	268	287	286	548
SZRD1	140	186	199	367
SZT2	245	204	220	286
TAB1	246	200	302	385
TAB2	293	351	424	529
TAB3	59	60	75	109
TACC1	364	406	520	716
TACC2	116	105	152	185
TACC3	1348	1524	1808	2790
TACO1	413	488	728	842
TADA1	218	260	329	437
TADA2A	108	123	149	200
TADA2B	67	73	104	167
TADA3	240	277	296	526
TAF1	441	419	519	736
TAF10	227	214	275	496
TAF11	181	263	312	396
TAF12	66	84	109	150
TAF13	145	174	211	285
TAF15	1868	2140	2412	3382
TAF1A	72	63	107	149
TAF1B	403	411	537	740
TAF1C	69	64	85	163
TAF1D	92	103	116	165
TAF1L	116	140	156	189
TAF2	419	429	564	715
TAF3	145	179	200	304
TAF4	144	126	219	296
TAF4B	57	68	96	114
TAF5	240	243	323	502
TAF5L	121	112	170	271
TAF6	311	321	464	653
TAF6L	134	165	184	322
TAF7	777	970	1180	1531
TAF8	150	179	236	351
TAF9	676	805	918	1140
TAF9B	612	719	743	994
TAGLN2	2452	2701	3778	5268
TALDO1	1407	1604	2021	2870
TAMM41	209	200	277	363
TANC1	320	386	454	643
TANC2	179	201	254	325
TANGO2	20	35	53	69
TANGO6	164	157	223	321
TANK	59	68	96	106
TAOK1	345	406	466	629
TAOK2	183	216	238	418
TAOK3	105	125	171	224
TAP1	264	262	262	471
TAP2	491	520	598	934
TAPBP	168	157	205	325
TAPT1	145	133	172	232
TARBP1	443	449	508	729
TARBP2	112	136	183	225
TARDBP	1353	1548	2041	3302
TARS	3600	4064	4980	6910
TARS2	672	716	970	1329
TARSL2	178	209	263	340
TAS2R13	0	0	0	0
TAS2R14	2	2	0	1
TAS2R19	0	0	0	0
TAS2R20	0	0	0	0
TAS2R3	0	0	0	0
TAS2R30	0	0	0	0
TAS2R31	0	0	1	0
TAS2R4	0	0	0	0
TAS2R43	0	0	1	0
TAS2R46	0	0	1	0
TAS2R50	0	0	0	0
TASP1	34	32	39	59
TATDN1	274	321	384	456
TATDN2	175	202	243	332
TATDN3	129	139	155	187
TAX1BP1	910	1063	1393	1583
TAX1BP3	100	93	133	196
TAZ	45	50	59	116
TBC1D1	202	237	312	358
TBC1D10A	48	42	73	130
TBC1D10B	321	335	478	664
TBC1D12	93	62	85	137
TBC1D13	182	206	270	414
TBC1D14	116	114	163	208
TBC1D15	779	1044	1149	1610
TBC1D16	39	44	48	72
TBC1D17	70	77	100	146
TBC1D19	86	91	95	121
TBC1D20	102	118	150	218
TBC1D22A	143	137	182	259
TBC1D22B	77	96	105	136
TBC1D23	332	377	499	632
TBC1D24	80	81	123	195
TBC1D25	66	51	87	133
TBC1D2B	91	89	124	189
TBC1D3	10	2	4	2
TBC1D30	100	136	170	210
TBC1D3B	5	1	2	1
TBC1D3C	5	1	2	1
TBC1D4	379	456	616	786
TBC1D5	175	171	250	303
TBC1D7	204	215	256	368
TBC1D8	38	28	45	56
TBC1D8B	61	64	87	100
TBC1D9	113	127	144	183
TBC1D9B	351	390	497	721
TBCA	1706	2011	2536	3610
TBCB	1598	1668	2004	2982
TBCC	150	161	228	364
TBCCD1	67	73	110	131
TBCD	602	573	774	1074
TBCE	437	418	612	719
TBCEL	78	98	162	178
TBCK	64	65	69	132
TBK1	380	457	642	826
TBKBP1	89	65	91	123
TBL1X	75	91	121	143
TBL1XR1	414	498	655	872
TBL2	209	252	260	398
TBL3	499	541	737	1139
TBP	174	209	272	329
TBPL1	119	131	189	255
TBRG1	38	31	39	74
TBRG4	626	575	747	1105
TBX1	101	122	156	216
TBX18	232	223	414	547
TBX2	79	80	129	156
TBX20	80	96	107	164
TBX3	222	233	248	429
TC2N	164	200	228	281
TCAIM	68	70	93	115
TCEA1	689	706	981	1282
TCEA2	67	65	101	110
TCEAL1	88	81	124	206
TCEAL4	266	327	377	665
TCEAL8	145	176	213	334
TCEANC	12	8	21	17
TCEANC2	69	100	118	127
TCEB1	603	758	865	1254
TCEB2	1441	1680	2106	2885
TCEB3	664	746	956	1313
TCERG1	1216	1462	1681	2211
TCF12	318	357	481	554
TCF19	57	77	131	179
TCF20	453	515	635	779
TCF25	331	323	455	717
TCF3	222	194	300	436
TCF4	342	309	411	611
TCF7L2	264	306	373	518
TCFL5	21	14	20	37
TCHP	99	82	125	176
TCIRG1	19	22	25	36
TCOF1	2102	2304	2999	4579
TCP1	5543	6156	7548	10380
TCP11L1	69	92	140	133
TCP11L2	157	167	202	235
TCTEX1D2	48	52	89	98
TCTN1	90	125	107	194
TCTN2	117	135	146	182
TCTN3	336	313	393	537
TDG	1017	1237	1319	1865
TDP1	256	307	340	428
TDP2	322	372	503	668
TDRD3	164	222	240	281
TDRD6	0	1	0	0
TDRD7	247	295	305	438
TDRKH	201	194	255	350
TEAD1	228	224	270	403
TEAD2	41	30	43	65
TEAD4	166	212	250	311
TEC	22	27	63	48
TECPR1	103	91	124	196
TECPR2	154	157	229	323
TECR	1193	1317	1791	2844
TECTA	5	13	6	5
TEF	21	8	33	30
TEFM	110	127	169	261
TELO2	487	464	582	1003
TENM1	0	0	1	1
TENM3	469	502	443	687
TEP1	83	66	100	119
TERF1	352	353	503	689
TERF2	253	276	371	490
TERF2IP	500	474	650	979
TERT	5	4	4	4
TES	668	806	935	1374
TESC	87	94	112	147
TESK1	13	18	17	31
TESK2	28	27	37	49
TET1	200	228	240	307
TET2	78	116	129	163
TET3	76	78	66	146
TEX10	767	871	1113	1504
TEX14	1	5	4	7
TEX15	130	141	165	196
TEX2	121	137	179	252
TEX261	272	292	317	478
TEX264	207	223	290	445
TEX30	156	140	155	214
TEX9	60	97	92	121
TFAM	999	1216	1452	1910
TFAP2A	234	270	326	599
TFAP2C	72	59	100	109
TFAP4	102	141	187	294
TFB1M	95	102	137	172
TFB2M	166	193	208	326
TFCP2	362	404	454	712
TFCP2L1	71	85	102	126
TFDP1	573	579	872	1152
TFDP2	222	210	326	355
TFE3	117	137	180	264
TFG	945	1134	1344	1853
TFIP11	426	460	555	874
TFPT	87	100	107	192
TFRC	1206	1273	1289	1955
TGDS	106	116	157	183
TGFB1	149	190	234	322
TGFBR1	170	197	231	296
TGFBR2	86	80	84	150
TGFBR3	175	157	169	249
TGFBRAP1	169	158	205	323
TGIF1	61	65	98	131
TGIF2	92	98	129	204
TGOLN2	325	411	430	624
TGS1	314	340	381	535
THADA	623	699	756	1025
