	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
SLC7A6	136	85	220	315
SLC7A6OS	46	30	47	92
SLC8A1	0	0	2	0
SLC9A1	103	60	217	413
SLC9A2	7	7	20	23
SLC9A3R1	188	147	343	582
SLC9A3R2	44	43	123	185
SLC9A5	4	6	10	22
SLC9A6	92	61	150	243
SLC9A7	93	72	222	286
SLC9A8	38	34	94	134
SLC9A9	2	5	6	15
SLC9B2	57	32	89	150
SLCO4A1	147	73	244	361
SLCO5A1	25	7	32	21
SLCO6A1	0	0	0	0
SLIRP	905	755	1793	2504
SLIT1	22	11	46	46
SLIT2	752	464	1379	1964
SLITRK3	22	12	22	31
SLITRK5	40	27	88	115
SLK	891	721	1772	2393
SLMAP	84	71	202	255
SLMO1	23	9	16	19
SLMO2	636	497	1462	1896
SLTM	402	327	835	1149
SLU7	654	476	746	1086
SLX1A	138	128	218	408
SLX4	56	23	89	104
SLX4IP	34	27	67	73
SMAD1	115	76	193	269
SMAD2	192	158	508	630
SMAD3	107	82	222	305
SMAD4	312	213	483	671
SMAD5	412	317	899	1201
SMAD6	17	20	36	44
SMAD7	33	25	62	74
SMAD9	136	99	373	423
SMAP1	281	228	555	846
SMAP2	295	220	549	799
SMARCA1	934	671	1663	2195
SMARCA2	359	271	572	780
SMARCA4	1665	1195	2865	4123
SMARCA5	1847	1411	3115	4096
SMARCAD1	491	368	800	1080
SMARCAL1	113	88	301	400
SMARCB1	667	468	1371	2200
SMARCC1	1262	916	2352	3062
SMARCC2	553	437	1187	1582
SMARCD1	492	351	921	1250
SMARCD2	525	369	1141	1480
SMARCD3	27	13	56	75
SMARCE1	553	442	810	1202
SMC1A	3090	2225	5122	7873
SMC2	1097	841	1970	2588
SMC3	1764	1426	3526	4631
SMC4	2583	1991	4192	5588
SMC5	255	209	484	615
SMC6	285	196	489	672
SMCHD1	926	711	1642	2160
SMCR7	28	14	51	76
SMCR7L	203	123	261	345
SMCR8	79	61	155	267
SMDT1	102	77	267	405
SMEK1	462	299	965	1355
SMEK2	124	94	309	393
SMG1	731	450	1066	1286
SMG5	273	158	602	868
SMG6	256	183	409	655
SMG7	136	142	428	515
SMG8	486	352	659	1073
SMG9	444	303	648	1177
SMIM11	37	35	72	76
SMIM12	107	78	134	237
SMIM13	63	27	96	111
SMIM15	51	40	87	152
SMIM19	42	25	58	72
SMIM4	116	76	146	217
SMIM7	100	65	120	208
SMIM8	73	48	153	135
SMN2	1312	956	2473	3482
SMNDC1	353	285	707	876
SMO	72	29	96	180
SMOC1	182	112	318	488
SMOX	33	23	43	60
SMPD1	64	36	108	160
SMPD2	62	44	126	173
SMPDL3A	65	39	138	177
SMPDL3B	61	40	100	155
SMS	717	514	1599	2079
SMTN	120	64	108	186
SMU1	1212	917	2279	2932
SMUG1	53	38	88	108
SMURF1	89	41	145	174
SMURF2	46	31	139	184
SMYD2	103	75	239	280
SMYD3	63	39	118	141
SMYD4	111	70	174	232
SMYD5	159	102	275	392
SNAI2	6	2	6	7
SNAP23	269	214	559	743
SNAP29	127	97	331	436
SNAP47	221	146	359	500
SNAPC1	128	104	274	320
SNAPC2	43	32	78	142
SNAPC3	215	135	370	542
SNAPC4	210	130	331	452
SNAPC5	50	37	105	98
SNAPIN	117	82	264	337
SNCA	95	82	187	278
SND1	1757	1272	3395	5009
SNF8	362	269	822	1204
SNIP1	148	96	215	311
SNORA33	0	0	1	0
SNRK	61	47	131	160
SNRNP200	3371	2375	5735	8424
SNRNP25	72	66	125	213
SNRNP27	164	141	271	458
SNRNP35	49	38	63	160
SNRNP40	801	606	1731	2416
SNRNP48	91	70	199	224
SNRNP70	1687	1197	2635	4868
SNRPA	617	438	1295	1900
SNRPA1	879	588	1849	2555
SNRPB	3710	2502	5987	9038
SNRPB2	577	450	996	1346
SNRPC	868	808	1795	2606
SNRPD1	901	748	2027	2086
SNRPD2	852	627	2133	2913
SNRPD3	1351	1084	2511	3561
SNRPE	768	603	1154	1968
SNRPF	1241	884	2160	3005
SNRPG	653	467	825	1511
SNTA1	16	8	38	47
SNTB1	24	21	52	94
SNTB2	144	99	293	345
SNUPN	163	124	337	518
SNW1	633	432	1084	1493
SNX1	375	254	740	1030
SNX10	66	53	200	222
SNX11	75	54	101	155
SNX12	179	142	343	499
SNX13	73	58	154	150
SNX14	378	292	821	949
SNX16	11	15	21	29
SNX17	383	265	872	1381
SNX18	97	73	155	240
SNX2	1073	782	2073	2511
SNX21	30	17	38	64
SNX24	31	20	74	84
SNX25	39	37	104	108
SNX27	349	235	680	887
SNX29	14	11	29	38
SNX3	482	378	1181	1642
SNX30	49	37	117	159
SNX33	20	13	49	57
SNX4	235	165	477	661
SNX5	265	191	564	673
SNX6	440	343	964	1244
SNX7	100	67	192	250
SNX8	63	51	117	141
SNX9	288	198	576	724
SOAT1	387	246	624	891
SOBP	35	22	51	81
SOCS2	5	6	19	11
SOCS4	47	44	118	146
SOCS5	50	31	84	83
SOCS6	53	34	69	121
SOCS7	24	10	36	71
SOD1	2644	1781	4472	7168
SOD2	431	308	983	1322
SOGA1	63	62	116	198
SOGA2	28	21	55	79
SOGA3	12	19	40	44
SOLH	86	60	149	223
SON	4487	3509	6193	8759
SORBS1	47	30	57	92
SORBS3	211	111	262	360
SORCS1	0	0	0	0
SORD	427	287	745	1092
SORL1	59	40	136	170
SORT1	384	234	760	1038
SOS1	119	111	299	369
SOS2	66	42	114	140
SOWAHC	26	20	73	102
SOX12	77	45	175	243
SOX13	48	38	82	109
SOX4	432	332	774	1228
SOX5	41	30	79	102
SOX6	11	6	22	36
SP1	623	461	1249	1602
SP2	115	86	199	303
SP3	425	278	719	885
SP4	111	85	191	230
SP9	74	49	100	169
SPA17	53	48	121	133
SPAG1	105	79	198	270
SPAG16	106	95	281	400
SPAG5	725	494	1074	1493
SPAG7	188	121	304	477
SPAG9	824	629	1705	2251
SPAST	120	90	230	281
SPATA13	88	66	105	181
SPATA17	9	2	5	27
SPATA18	14	8	30	49
SPATA2	45	33	75	112
SPATA20	40	22	90	115
SPATA24	26	19	45	88
SPATA2L	41	36	72	140
SPATA5	194	156	285	489
SPATA5L1	242	141	344	481
SPATA6	19	31	65	97
SPATA7	11	14	52	51
SPATC1L	0	0	1	2
SPATS2	100	87	299	354
SPATS2L	150	113	340	455
SPC24	231	152	483	635
SPC25	352	276	619	872
SPCS1	346	269	561	778
SPCS2	548	396	729	1214
SPCS3	336	259	726	985
SPDL1	564	443	1015	1337
SPECC1	145	81	215	264
SPECC1L	279	208	545	818
SPEF2	22	22	34	56
SPEG	26	16	48	43
SPEN	1615	1067	2109	2891
SPG11	298	230	565	696
SPG20	1111	794	1940	2776
SPG21	119	92	370	452
SPG7	114	76	198	267
SPHK1	17	9	30	33
SPHK2	36	23	66	104
SPICE1	78	51	187	210
SPIN1	145	85	221	314
SPIN2A	29	15	62	69
SPIN2B	34	17	65	77
SPIN3	10	5	13	27
SPIN4	110	96	177	281
SPINT2	622	357	1214	1772
SPIRE1	72	67	167	248
SPIRE2	13	15	44	50
SPNS1	95	55	254	366
SPON1	130	79	267	418
SPOP	210	140	351	514
SPOPL	47	40	106	119
SPPL2A	211	136	462	685
SPPL2B	39	27	79	134
SPPL3	115	80	267	434
SPR	70	53	153	269
SPRED1	33	27	72	95
SPRED2	39	26	59	88
SPRTN	296	243	405	628
SPRY1	35	32	66	82
SPRY2	106	78	150	236
SPRYD3	117	67	137	250
SPRYD4	113	83	196	323
SPRYD7	186	138	372	477
SPSB1	37	13	42	72
SPSB3	56	28	75	157
SPTAN1	1443	978	2127	3354
SPTB	62	30	74	108
SPTBN1	870	487	836	1521
SPTBN2	249	145	345	587
SPTLC1	356	219	667	966
SPTLC2	246	170	449	666
SPTSSA	115	81	150	229
SPTY2D1	159	158	244	350
SQLE	744	482	1432	1933
SQSTM1	940	617	1180	2414
SRA1	116	91	239	300
SRBD1	212	200	392	521
SRC	78	80	285	406
SRCAP	676	368	829	1181
SRD5A1	35	12	37	59
SRD5A3	95	44	165	264
SREBF1	186	116	330	459
SREBF2	366	249	713	1067
SREK1	269	195	463	663
SREK1IP1	75	47	121	157
SRF	137	74	234	357
SRFBP1	253	213	450	647
SRGAP1	60	36	119	172
SRGAP2	290	169	521	754
SRGAP2B	90	51	133	229
SRGAP2D	196	101	340	485
SRGAP3	17	7	24	32
SRI	503	374	1137	1222
SRM	528	346	1516	2292
SRP14	1096	812	1891	2386
SRP19	265	236	546	732
SRP54	748	609	1368	1744
SRP68	599	439	1130	1571
SRP72	659	448	1322	1820
SRP9	993	743	1904	2790
SRPK1	1159	904	2288	2793
SRPK2	480	362	812	1188
SRPR	563	441	1073	1566
SRPRB	453	332	991	1419
SRR	57	44	120	169
SRRD	99	65	207	232
SRRM1	1494	1230	2770	3602
SRRM2	4655	3536	7715	11090
SRRT	878	657	1414	2502
SRSF1	1653	1289	2855	4290
SRSF10	668	533	1190	1760
SRSF11	720	620	1311	1918
SRSF12	41	27	134	127
SRSF2	1741	1430	2379	4367
SRSF3	2205	1748	3464	5610
SRSF4	592	490	1072	1728
SRSF5	1012	812	1645	2204
SRSF6	1352	1046	2071	3362
SRSF7	1677	1354	3040	4498
SRSF8	204	164	259	458
SRSF9	1326	950	2550	3854
SRXN1	76	38	119	199
SS18	282	265	518	697
SS18L1	13	15	43	80
SS18L2	65	46	98	101
SSB	2144	1779	4345	6018
SSBP1	1801	1471	3350	4096
SSBP2	68	58	119	158
SSBP3	170	112	362	510
SSBP4	68	49	147	215
SSFA2	123	83	253	305
SSH1	11	15	44	66
SSH2	59	41	141	186
SSH3	22	9	32	46
SSNA1	107	59	180	236
SSR1	777	497	1420	1985
SSR2	547	372	1016	1604
SSR3	368	258	850	1207
SSR4	1134	684	2421	3437
SSRP1	1820	1248	4101	6222
SSSCA1	217	123	395	540
SSU72	389	295	853	1064
SSX2IP	319	244	788	920
ST13	1786	1290	3957	5726
ST3GAL1	13	3	19	29
ST3GAL2	11	1	24	27
ST3GAL3	8	6	10	8
ST3GAL4	18	19	53	65
ST3GAL5	17	13	39	47
ST3GAL6	26	16	32	49
ST5	17	9	46	50
ST6GAL1	19	10	31	44
ST6GALNAC3	24	12	35	47
ST6GALNAC4	23	12	43	61
ST6GALNAC6	8	6	13	25
ST7	143	89	253	299
ST7L	89	92	202	294
STAG1	164	113	275	347
STAG2	2107	1525	3783	4745
STAG3	30	20	33	67
STAM	308	201	516	741
STAM2	145	114	282	395
STAMBP	187	140	363	420
STAMBPL1	56	32	114	146
STARD10	10	4	19	26
STARD13	60	32	93	106
STARD3	60	25	123	196
STARD3NL	53	30	128	193
STARD4	116	82	221	269
STARD5	5	4	6	10
STARD7	428	298	626	970
STARD9	36	12	55	22
STAT1	483	368	924	1221
STAT2	119	86	235	275
STAT3	465	356	854	1227
STAT5A	36	25	82	111
STAT5B	151	96	368	434
STAT6	14	4	13	24
STAU1	1219	948	2429	3152
STAU2	153	143	346	450
STBD1	24	10	42	71
STC2	202	116	367	508
STEAP1	50	36	110	168
STEAP1B	20	14	50	78
STEAP2	98	65	194	247
STEAP3	148	102	331	465
STIL	370	263	589	771
STIM1	120	93	264	395
STIM2	102	67	209	262
STIP1	2192	1557	3983	6084
STK10	93	72	164	240
STK11	32	33	71	109
STK11IP	170	124	282	468
STK16	36	29	56	75
STK17A	180	156	364	506
STK17B	165	107	274	300
STK19	100	71	140	215
STK24	247	191	635	849
STK25	230	175	531	638
STK3	156	126	286	351
STK32C	12	12	26	45
STK33	52	51	111	140
STK35	126	80	223	312
STK36	104	72	155	242
STK38	141	100	316	413
STK38L	180	131	380	489
STK39	180	123	344	521
STK4	257	200	647	853
STK40	37	26	94	152
STMN1	1776	1380	3272	4512
STMN3	142	106	270	472
STOM	144	101	315	437
STOML1	34	20	58	102
STOML2	990	722	1765	2703
STON1-GTF2A1L	40	23	97	81
STON2	78	45	107	162
STOX1	43	47	82	93
STOX2	50	30	89	109
STPG1	54	40	93	116
STRA13	88	44	125	180
STRADA	123	98	217	305
STRADB	62	36	149	186
STRAP	1646	1282	3665	5429
STRBP	201	156	490	654
STRIP1	295	217	532	712
STRIP2	55	43	102	168
STRN	190	154	412	571
STRN3	269	201	526	730
STRN4	178	149	523	737
STT3A	1090	644	1960	3006
STT3B	696	477	1225	1705
STUB1	591	403	1187	1781
STX10	76	53	145	225
STX12	231	181	465	693
STX16	77	67	222	290
STX17	72	46	135	211
STX18	132	85	288	358
STX1A	8	9	13	18
STX2	31	22	82	105
STX3	51	40	114	154
STX4	64	52	117	164
STX5	139	95	231	369
STX6	70	60	155	222
STX7	320	238	788	876
STX8	42	36	118	145
STXBP1	120	104	279	348
STXBP2	223	171	459	602
STXBP3	411	307	778	1051
STXBP4	146	100	226	295
STXBP5	98	72	180	258
STXBP5L	24	16	32	50
STYX	50	31	104	128
STYXL1	105	65	221	266
SUB1	1617	1220	3050	4214
SUCLA2	585	445	1192	1543
SUCLG1	550	379	1076	1403
SUCLG2	167	132	379	468
SUCO	89	70	180	190
SUDS3	156	138	367	490
SUFU	142	106	366	447
SUGP1	205	143	291	440
SUGP2	338	227	547	814
SUGT1	412	286	827	1221
SULF1	6	4	15	20
SULF2	298	168	525	885
SULT1A1	321	255	619	819
SULT1A2	128	89	204	282
SULT1A3	137	93	220	334
SULT1A4	137	93	220	334
SULT4A1	14	17	35	46
SUMF1	31	16	75	105
SUMF2	140	100	319	422
SUMO1	400	258	775	828
SUMO2	1825	1279	3577	5317
SUMO3	93	74	186	315
SUN1	520	338	890	1178
SUN2	310	194	584	855
SUOX	72	47	96	164
SUPT16H	2429	1849	3977	5711
SUPT20H	498	412	1233	1614
SUPT3H	69	38	120	179
SUPT4H1	291	173	366	734
SUPT5H	1597	1039	2508	3720
SUPT6H	786	566	1301	1949
SUPT7L	179	140	275	382
SUPV3L1	411	277	837	1003
SURF1	77	57	196	233
SURF2	110	92	231	393
SURF4	791	536	1492	2291
SURF6	314	232	479	763
SUSD1	42	28	86	141
SUSD5	92	63	130	238
SUV39H1	207	158	305	487
SUV39H2	191	150	313	417
SUV420H1	143	113	267	376
SUV420H2	45	23	50	79
SUZ12	351	224	746	1016
SV2A	257	145	470	728
SVEP1	79	58	117	164
SVIL	161	112	242	442
SVIP	29	30	59	59
SWAP70	171	123	330	453
SWI5	88	50	86	161
SWSAP1	43	32	63	109
SWT1	29	20	45	60
SYAP1	1053	700	1882	2506
SYBU	44	39	93	156
SYCP2	1	1	2	3
SYCP2L	44	26	73	115
SYDE1	88	69	183	267
SYDE2	119	100	193	230
SYF2	373	320	610	1051
SYK	71	47	150	220
SYMPK	329	250	617	835
SYN2	57	25	85	127
SYNCRIP	3103	2253	4840	6894
SYNE1	274	193	491	617
SYNE2	481	323	645	1008
SYNE3	20	7	40	82
SYNGAP1	13	7	20	23
SYNGR2	232	152	484	738
SYNJ1	139	104	272	388
SYNJ2	113	75	197	266
SYNJ2BP-COX16	147	111	236	306
SYNM	13	9	25	22
SYNRG	286	224	491	642
SYP	25	24	30	68
SYPL1	735	508	1338	1945
SYS1	58	34	91	175
SYT1	32	21	87	97
SYTL4	18	11	38	53
SYTL5	21	9	52	53
SYVN1	189	114	286	548
SZRD1	172	111	199	367
SZT2	152	98	220	286
TAB1	159	107	302	385
TAB2	220	145	424	529
TAB3	53	27	75	109
TACC1	279	202	520	716
TACC2	82	55	152	185
TACC3	1016	788	1808	2790
TACO1	333	236	728	842
TADA1	193	119	329	437
TADA2A	69	67	149	200
TADA2B	53	28	104	167
TADA3	180	139	296	526
TAF1	361	257	519	736
TAF10	117	103	275	496
TAF11	114	117	312	396
TAF12	47	45	109	150
TAF13	96	77	211	285
TAF15	1442	1046	2412	3382
TAF1A	48	40	107	149
TAF1B	281	234	537	740
TAF1C	67	40	85	163
TAF1D	82	51	116	165
TAF1L	120	79	156	189
TAF2	338	208	564	715
TAF3	81	73	200	304
TAF4	100	72	219	296
TAF4B	54	30	96	114
TAF5	136	105	323	502
TAF5L	98	53	170	271
TAF6	167	146	464	653
TAF6L	108	81	184	322
TAF7	673	552	1180	1531
TAF8	134	91	236	351
TAF9	491	372	918	1140
TAF9B	421	289	743	994
TAGLN2	1876	1396	3778	5268
TALDO1	960	719	2021	2870
TAMM41	166	122	277	363
TANC1	275	181	454	643
TANC2	111	85	254	325
TANGO2	24	17	53	69
TANGO6	101	90	223	321
TANK	50	53	96	106
TAOK1	257	177	466	629
TAOK2	155	106	238	418
TAOK3	67	40	171	224
TAP1	124	92	262	471
TAP2	334	225	598	934
TAPBP	126	73	205	325
TAPT1	105	62	172	232
TARBP1	277	204	508	729
TARBP2	73	52	183	225
TARDBP	1078	720	2041	3302
TARS	2408	1838	4980	6910
TARS2	643	397	970	1329
TARSL2	128	100	263	340
TAS2R13	0	0	0	0
TAS2R14	1	0	0	1
TAS2R19	0	0	0	0
TAS2R20	0	0	0	0
TAS2R3	0	0	0	0
TAS2R30	0	0	0	0
TAS2R31	0	0	1	0
TAS2R4	0	0	0	0
TAS2R43	0	0	1	0
TAS2R46	0	0	1	0
TAS2R50	0	0	0	0
TASP1	32	25	39	59
TATDN1	175	145	384	456
TATDN2	136	93	243	332
TATDN3	75	57	155	187
TAX1BP1	592	437	1393	1583
TAX1BP3	70	33	133	196
TAZ	45	35	59	116
TBC1D1	111	79	312	358
TBC1D10A	36	30	73	130
TBC1D10B	204	164	478	664
TBC1D12	36	42	85	137
TBC1D13	164	77	270	414
TBC1D14	83	61	163	208
TBC1D15	677	542	1149	1610
TBC1D16	42	21	48	72
TBC1D17	60	48	100	146
TBC1D19	60	45	95	121
TBC1D20	79	59	150	218
TBC1D22A	89	63	182	259
TBC1D22B	39	28	105	136
TBC1D23	250	190	499	632
TBC1D24	72	62	123	195
TBC1D25	46	26	87	133
TBC1D2B	55	47	124	189
TBC1D3	8	4	4	2
TBC1D30	121	55	170	210
TBC1D3B	3	1	2	1
TBC1D3C	3	1	2	1
TBC1D4	303	229	616	786
TBC1D5	124	90	250	303
TBC1D7	103	87	256	368
TBC1D8	22	10	45	56
TBC1D8B	45	20	87	100
TBC1D9	66	50	144	183
TBC1D9B	245	200	497	721
TBCA	1200	1063	2536	3610
TBCB	999	678	2004	2982
TBCC	153	102	228	364
TBCCD1	60	52	110	131
TBCD	424	326	774	1074
TBCE	280	231	612	719
TBCEL	70	45	162	178
TBCK	47	31	69	132
TBK1	322	233	642	826
TBKBP1	66	30	91	123
TBL1X	47	41	121	143
TBL1XR1	258	197	655	872
TBL2	126	92	260	398
TBL3	385	296	737	1139
TBP	113	114	272	329
TBPL1	80	61	189	255
TBRG1	38	29	39	74
TBRG4	549	341	747	1105
TBX1	64	50	156	216
TBX18	233	157	414	547
TBX2	55	34	129	156
TBX20	61	43	107	164
TBX3	164	143	248	429
TC2N	92	77	228	281
TCAIM	52	46	93	115
TCEA1	403	331	981	1282
TCEA2	51	33	101	110
TCEAL1	69	68	124	206
TCEAL4	178	173	377	665
TCEAL8	114	77	213	334
TCEANC	13	7	21	17
TCEANC2	68	40	118	127
TCEB1	432	309	865	1254
TCEB2	1141	852	2106	2885
TCEB3	608	474	956	1313
TCERG1	1032	763	1681	2211
TCF12	214	143	481	554
TCF19	77	63	131	179
TCF20	302	231	635	779
TCF25	199	148	455	717
TCF3	117	81	300	436
TCF4	313	194	411	611
TCF7L2	235	161	373	518
TCFL5	13	12	20	37
TCHP	85	57	125	176
TCIRG1	16	9	25	36
TCOF1	1666	1188	2999	4579
TCP1	3851	2651	7548	10380
TCP11L1	55	46	140	133
TCP11L2	106	67	202	235
TCTEX1D2	37	36	89	98
TCTN1	65	48	107	194
TCTN2	69	42	146	182
TCTN3	228	150	393	537
TDG	803	595	1319	1865
TDP1	191	120	340	428
TDP2	227	212	503	668
TDRD3	98	54	240	281
TDRD6	0	0	0	0
TDRD7	192	150	305	438
TDRKH	162	111	255	350
TEAD1	123	88	270	403
TEAD2	20	17	43	65
TEAD4	145	89	250	311
TEC	25	26	63	48
TECPR1	69	42	124	196
TECPR2	105	55	229	323
TECR	920	673	1791	2844
TECTA	2	2	6	5
TEF	6	10	33	30
TEFM	111	85	169	261
TELO2	335	225	582	1003
TENM1	0	0	1	1
TENM3	372	201	443	687
TEP1	61	34	100	119
TERF1	259	187	503	689
TERF2	206	131	371	490
TERF2IP	365	268	650	979
TERT	3	0	4	4
TES	553	401	935	1374
TESC	39	27	112	147
TESK1	2	10	17	31
TESK2	11	11	37	49
TET1	133	80	240	307
TET2	62	50	129	163
TET3	37	32	66	146
TEX10	610	476	1113	1504
TEX14	8	11	4	7
TEX15	93	59	165	196
TEX2	94	72	179	252
TEX261	178	118	317	478
TEX264	125	105	290	445
TEX30	84	64	155	214
TEX9	39	40	92	121
TFAM	740	641	1452	1910
TFAP2A	236	166	326	599
TFAP2C	38	27	100	109
TFAP4	93	80	187	294
TFB1M	54	55	137	172
TFB2M	128	143	208	326
TFCP2	314	228	454	712
TFCP2L1	42	34	102	126
TFDP1	380	271	872	1152
TFDP2	177	131	326	355
TFE3	87	70	180	264
TFG	715	509	1344	1853
TFIP11	332	240	555	874
TFPT	62	55	107	192
TFRC	753	488	1289	1955
TGDS	89	60	157	183
TGFB1	109	76	234	322
TGFBR1	132	94	231	296
TGFBR2	55	43	84	150
TGFBR3	79	57	169	249
TGFBRAP1	97	70	205	323
TGIF1	77	50	98	131
TGIF2	59	47	129	204
TGOLN2	185	154	430	624
TGS1	253	193	381	535
THADA	479	353	756	1025
THAP1	75	49	142	180
THAP10	49	29	98	157
THAP11	121	78	248	362
THAP3	87	53	161	204
THAP4	212	135	434	644
THAP5	174	153	365	439
THAP6	47	39	90	96
THAP7	93	80	162	217
THAP9	44	40	81	107
THBS3	14	4	11	20
THBS4	63	40	126	154
THEM4	107	67	157	227
THEMIS2	13	5	22	29
THG1L	100	83	136	263
THNSL1	140	106	263	394
THOC1	227	183	382	664
THOC2	1132	900	1736	2589
THOC3	723	530	1441	2108
THOC5	324	234	730	960
THOC6	144	105	228	389
THOC7	198	170	496	580
THOP1	318	227	675	1029
THRA	19	13	57	67
THRAP3	1577	1184	2352	3413
THRB	31	32	64	113
THSD1	20	11	28	24
THSD4	21	8	24	47
THTPA	27	20	65	93
THUMPD1	156	115	217	277
THUMPD2	113	94	270	284
THUMPD3	399	281	728	859
THYN1	116	93	280	327
TIA1	220	153	391	556
TIAL1	491	340	962	1320
TIAM1	117	115	260	372
TIAM2	38	19	78	87
TICRR	278	205	482	639
TIFA	36	27	90	90
TIGD1	73	43	196	217
TIGD2	35	32	81	124
TIGD5	60	45	127	187
TIGD6	62	26	81	112
TIGD7	4	0	4	9
TIMELESS	554	398	1128	1634
TIMM10	215	103	280	509
TIMM10B	95	55	86	144
TIMM13	539	386	967	1520
TIMM17A	354	272	676	859
TIMM17B	269	162	528	758
TIMM21	160	92	267	433
TIMM22	171	153	311	513
TIMM23	1519	996	2448	3614
TIMM44	397	289	746	1091
TIMM50	1419	940	2310	3520
TIMM8A	123	80	233	346
TIMM8B	511	316	687	1007
TIMM9	56	44	107	134
TIMMDC1	325	197	567	711
TIMP1	606	372	1137	1641
TIMP2	92	53	152	233
TIMP3	87	66	229	309
TINF2	64	43	112	115
TIPARP	266	202	374	497
TIPIN	528	377	1056	1177
TIPRL	492	379	1079	1447
TJAP1	125	79	238	335
TJP1	846	634	1556	2142
TJP2	389	283	668	1022
TK1	382	271	675	1032
TK2	16	13	24	42
TKT	2400	1710	5513	7816
TLCD1	37	29	63	87
TLDC1	76	70	155	206
TLE1	264	161	493	682
TLE3	452	293	793	1257
TLE4	265	157	454	644
TLK1	75	60	194	239
TLK2	271	215	589	822
TLL1	0	0	3	1
TLN1	1703	1251	3073	4612
TLN2	41	18	95	109
TLR9	42	23	68	115
TM2D1	108	74	188	278
TM2D2	105	60	138	261
TM2D3	183	110	292	440
TM7SF2	49	20	72	126
TM7SF3	155	117	382	505
TM9SF1	318	212	498	782
TM9SF2	1053	649	1937	2952
TM9SF3	982	621	1691	2425
TM9SF4	246	171	446	678
TMA16	139	119	332	434
TMA7	445	371	661	1114
TMBIM4	159	101	298	499
TMBIM6	3857	2781	6202	9448
TMC6	11	4	40	34
TMC7	18	12	34	39
TMCC1	22	10	38	47
TMCC2	0	2	2	5
TMCO1	857	584	1351	1698
TMCO3	60	43	161	234
TMCO4	45	24	64	100
TMCO6	43	27	70	91
TMED1	84	61	117	217
TMED10	479	259	897	1337
TMED2	1098	836	1779	2921
TMED3	134	81	286	419
TMED4	390	283	835	1138
TMED5	223	127	428	555
TMED7-TICAM2	435	273	807	1126
TMED8	74	47	148	197
TMED9	705	440	1181	1877
TMEM101	179	117	352	456
TMEM102	32	18	32	57
TMEM104	113	82	150	266
TMEM106B	172	110	376	427
TMEM106C	207	125	347	481
TMEM109	307	183	503	935
TMEM11	78	83	176	236
TMEM110-MUSTN1	26	12	34	71
TMEM115	136	83	226	394
TMEM116	16	8	17	22
TMEM117	31	25	66	100
TMEM120A	45	33	108	140
TMEM120B	86	59	196	238
TMEM123	361	233	859	1036
TMEM126A	95	79	207	275
TMEM126B	156	100	327	468
TMEM127	43	28	75	155
TMEM128	40	21	65	79
TMEM129	55	38	87	150
TMEM131	215	147	394	511
TMEM132A	56	29	113	191
TMEM134	7	8	14	41
TMEM135	117	87	243	309
TMEM136	23	15	67	68
TMEM138	64	34	83	119
TMEM141	93	53	200	242
TMEM143	11	11	17	32
TMEM144	28	15	60	59
TMEM147	981	698	1916	2704
TMEM14A	65	28	96	198
TMEM14B	274	167	362	545
TMEM14C	322	228	486	910
TMEM160	117	76	162	245
TMEM161A	198	142	414	768
TMEM161B	161	108	301	401
TMEM164	113	70	184	258
TMEM165	218	142	454	675
TMEM167A	178	116	255	377
TMEM167B	59	28	68	92
TMEM168	108	45	164	248
TMEM170A	30	23	44	84
TMEM170B	7	13	18	31
TMEM175	38	21	71	108
TMEM177	120	67	161	202
TMEM179B	145	101	305	462
TMEM18	76	51	110	210
TMEM180	34	25	41	58
TMEM181	128	93	252	422
TMEM183A	70	46	185	195
TMEM184B	76	49	173	245
TMEM184C	98	66	167	209
TMEM185A	126	79	177	284
TMEM185B	202	125	294	568
TMEM186	30	30	64	80
TMEM189-UBE2V1	676	447	1241	1850
TMEM19	164	85	234	402
TMEM192	105	61	176	226
TMEM194A	401	256	675	1062
TMEM194B	31	14	38	66
TMEM199	104	69	169	295
TMEM2	90	46	127	199
TMEM201	265	173	490	791
TMEM203	55	36	96	148
TMEM205	304	201	654	884
TMEM206	53	53	124	185
TMEM208	167	95	187	339
TMEM209	552	425	1188	1340
TMEM214	239	173	496	711
TMEM216	25	16	43	62
TMEM218	19	10	18	36
TMEM219	41	29	94	172
TMEM222	182	118	296	415
TMEM223	55	31	102	127
TMEM230	353	235	583	762
TMEM231	25	13	46	50
TMEM234	13	14	25	53
TMEM237	140	93	228	331
TMEM241	26	20	38	65
TMEM242	123	86	240	295
TMEM243	29	22	75	60
TMEM245	162	97	293	473
TMEM246	63	41	131	145
TMEM248	192	88	308	389
TMEM25	24	19	61	81
TMEM251	63	49	83	116
TMEM256	186	126	388	551
TMEM258	212	129	357	533
TMEM259	244	146	491	680
TMEM260	34	22	64	107
TMEM30A	529	325	1010	1323
TMEM33	565	410	1214	1595
TMEM38A	25	26	37	58
TMEM38B	211	164	475	699
TMEM39A	91	71	137	255
TMEM39B	84	58	143	222
TMEM41A	69	40	78	150
TMEM41B	185	114	295	471
TMEM42	10	6	13	17
TMEM43	277	191	517	796
TMEM45A	20	17	65	92
TMEM47	1	0	0	0
TMEM5	62	49	99	148
TMEM50A	601	449	946	1480
TMEM54	21	17	81	96
TMEM55B	102	61	171	206
TMEM56	53	35	110	178
TMEM57	161	120	320	421
TMEM59	892	507	1444	2077
TMEM60	34	20	56	70
