	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
ENOPH1	604	813	315	380
ENOSF1	247	301	124	152
ENOX1	69	74	29	53
ENOX2	152	159	56	93
ENPEP	365	353	190	221
ENPP1	450	531	208	283
ENPP4	482	504	196	287
ENSA	426	687	257	342
ENTPD4	125	195	82	104
ENTPD5	31	30	12	19
ENTPD6	325	417	151	213
ENTPD7	286	312	121	156
ENTR1	264	341	142	204
ENY2	747	1017	405	532
EOGT	173	200	87	105
EP300	2126	2527	1089	1379
EP400	1236	1531	645	832
EPAS1	108	103	32	58
EPB41	1737	1967	814	1050
EPB41L1	131	147	62	79
EPB41L2	2480	2828	1281	1631
EPB41L3	1574	2069	822	1049
EPB41L4A	57	50	21	33
EPB41L4B	110	110	66	68
EPB41L5	505	517	235	287
EPC1	207	250	155	158
EPC2	246	261	118	172
EPG5	433	476	195	262
EPHA2	769	972	330	487
EPHA3	244	280	106	142
EPHA4	438	619	229	312
EPHA5	175	245	78	126
EPHA6	146	183	61	76
EPHA7	1439	1986	810	1076
EPHA8	60	58	30	29
EPHB1	51	56	19	28
EPHB2	253	301	102	156
EPHB4	383	560	178	295
EPHX1	663	767	292	346
EPHX2	192	226	92	121
EPHX4	158	183	60	111
EPM2A	45	56	27	19
EPN1	836	1030	344	522
EPN2	177	232	88	120
EPOR	60	68	24	31
EPPK1	652	850	333	405
EPRS	5487	5946	2554	3115
EPS15	1049	1186	478	536
EPS15L1	1026	1243	567	667
EPS8	895	1015	397	532
ERAL1	1082	1359	546	707
ERAP1	263	289	121	157
ERBB2	244	241	98	156
ERBB4	337	327	128	204
ERBIN	1043	1160	480	655
ERC1	808	923	418	507
ERC2	30	37	12	19
ERCC1	420	631	203	320
ERCC2	744	818	318	422
ERCC3	895	1056	397	531
ERCC4	418	501	180	253
ERCC6	507	627	249	314
ERCC6L	607	764	360	405
ERCC6L2	206	216	104	114
ERCC8	128	113	55	50
ERF	330	415	136	202
ERFE	120	177	51	101
ERG28	306	444	171	237
ERGIC1	556	699	299	422
ERGIC2	609	595	291	359
ERGIC3	1869	2439	1002	1392
ERH	2518	2723	1300	1658
ERI1	536	506	245	277
ERI2	269	252	114	146
ERI3	1449	1635	655	884
ERICH1	315	323	126	155
ERICH5	101	153	47	76
ERLEC1	390	400	151	222
ERLIN1	387	427	166	212
ERLIN2	952	1177	460	655
ERMAP	25	23	10	12
ERMARD	234	223	106	126
ERMP1	717	761	296	383
ERN1	54	91	35	40
ERO1A	1098	1058	474	566
ERO1B	165	211	91	100
ERP29	974	1307	462	611
ERP44	1319	1626	710	850
ERRFI1	275	329	142	201
ERV3-1	2	8	2	5
ERVFRD-1	0	0	0	0
ERVK3-1	297	457	176	239
ESCO1	146	142	43	63
ESCO2	1159	1337	541	661
ESD	3798	4295	1948	2335
ESF1	794	906	394	481
ESPL1	1775	2374	962	1230
ESPNL	0	0	0	2
ESRP2	404	456	207	255
ESRRA	107	171	54	67
ESRRG	1	1	0	0
ESS2	429	596	199	281
ESYT1	2358	2857	1118	1557
ESYT2	860	1103	394	569
ETAA1	155	150	64	92
ETF1	2718	2850	1323	1702
ETFA	3712	3951	1682	2027
ETFB	1167	1355	503	666
ETFDH	411	574	218	276
ETFRF1	175	154	70	105
ETHE1	154	162	63	99
ETNK1	999	1362	505	653
ETNK2	62	80	24	33
ETS2	464	582	258	286
ETV3	348	492	195	242
ETV6	81	111	30	44
EVC	57	72	21	26
EVI5	395	446	204	256
EVI5L	131	148	54	85
EVL	131	169	35	65
EWSR1	3819	5184	2061	2873
EXD2	258	336	122	178
EXO1	802	849	411	479
EXO5	136	181	84	114
EXOC1	719	727	283	362
EXOC2	1263	1442	611	759
EXOC3	654	765	328	435
EXOC4	1503	1611	698	838
EXOC5	418	457	190	207
EXOC6	1240	1251	580	802
EXOC6B	534	603	252	313
EXOC7	1128	1435	499	735
EXOC8	721	950	407	545
EXOG	165	250	81	96
EXOSC1	731	1000	374	502
EXOSC10	2635	3426	1280	1758
EXOSC2	1434	1773	721	987
EXOSC3	626	811	288	385
EXOSC4	613	838	282	398
EXOSC5	938	1199	407	581
EXOSC6	471	653	239	372
EXOSC7	564	700	263	317
EXOSC8	1762	1932	835	999
EXOSC9	1061	1352	588	672
EXPH5	183	218	101	120
EXT1	257	291	114	179
EXT2	901	1088	451	597
EXTL2	270	235	104	123
EXTL3	299	363	137	183
EYA1	72	71	37	37
EYA2	204	251	91	150
EYA3	621	694	317	379
EYA4	519	596	224	276
EYS	0	3	0	1
EZH1	171	137	56	82
EZH2	1064	1399	601	727
EZR	3255	4513	1827	2300
F11R	429	553	200	273
F12	74	94	29	41
F2R	370	441	139	203
F2RL1	412	467	169	206
F8	60	55	24	26
FAAP100	139	199	69	101
FAAP20	294	433	133	197
FAAP24	160	217	90	92
FADD	382	470	144	208
FADS1	340	394	167	202
FADS2	1535	1839	692	952
FADS3	111	137	60	64
FAF1	1447	1626	732	921
FAF2	1192	1433	583	718
FAH	336	410	130	184
FAHD1	434	546	192	300
FAHD2A	90	92	37	51
FAHD2B	35	22	16	19
FAIM	659	935	322	452
FAM102A	16	27	5	10
FAM102B	200	200	82	108
FAM104A	234	340	115	166
FAM104B	174	186	93	127
FAM107B	323	287	158	201
FAM114A1	90	87	28	40
FAM114A2	432	540	227	251
FAM117A	141	202	66	114
FAM117B	383	432	180	242
FAM118A	222	255	94	144
FAM118B	249	278	125	142
FAM120A	1110	1451	569	782
FAM120AOS	84	79	31	50
FAM120B	815	991	438	571
FAM120C	272	385	139	208
FAM122A	178	218	65	114
FAM122B	316	362	134	173
FAM126A	525	611	264	299
FAM126B	145	170	72	86
FAM129A	324	311	129	171
FAM129B	845	962	342	492
FAM133B	14	12	6	11
FAM135A	352	331	154	169
FAM136A	523	674	254	392
FAM13A	254	291	122	163
FAM13B	82	98	63	72
FAM13C	54	64	18	32
FAM149A	49	71	24	38
FAM149B1	61	57	23	30
FAM151B	33	45	18	8
FAM155B	25	30	3	8
FAM160A1	64	87	28	43
FAM160A2	130	186	54	75
FAM160B1	364	458	213	292
FAM160B2	209	257	88	126
FAM161A	235	221	110	101
FAM161B	72	72	33	26
FAM162A	928	1010	375	528
FAM168A	367	407	158	226
FAM168B	742	841	379	457
FAM169A	393	526	201	235
FAM171A1	316	403	137	197
FAM171A2	150	183	60	119
FAM171B	129	128	56	74
FAM172A	240	263	104	104
FAM173A	90	130	45	64
FAM174A	101	115	54	71
FAM177A1	219	264	104	115
FAM184A	301	280	144	169
FAM184B	68	70	32	33
FAM185A	41	65	18	34
FAM186B	4	5	4	4
FAM189B	296	351	143	179
FAM192A	319	448	139	230
FAM193A	353	437	198	224
FAM193B	165	191	78	110
FAM199X	982	1049	413	545
FAM200A	188	176	88	89
FAM200B	39	43	17	20
FAM204A	333	399	163	203
FAM206A	136	221	78	67
FAM207A	181	278	105	151
FAM20B	163	229	91	113
FAM210A	260	354	120	166
FAM210B	216	231	105	145
FAM214A	222	206	106	152
FAM216A	1259	1184	527	600
FAM217B	54	73	31	31
FAM219A	189	243	81	115
FAM219B	103	141	38	64
FAM221A	226	262	125	116
FAM222B	166	208	69	109
FAM227A	10	3	4	3
FAM229B	96	151	43	72
FAM234A	34	42	18	39
FAM234B	503	591	249	284
FAM241A	216	241	84	102
FAM32A	331	470	178	265
FAM3A	155	170	66	106
FAM3C	1	1	0	1
FAM45A	79	65	23	44
FAM49B	1065	1226	581	692
FAM50A	1809	2254	873	1155
FAM53B	97	141	54	74
FAM53C	481	593	201	276
FAM57A	189	301	117	168
FAM71E1	41	51	11	24
FAM72B	15	15	2	6
FAM76A	141	171	80	86
FAM76B	107	135	64	68
FAM81A	23	17	7	10
FAM83B	243	294	124	137
FAM83D	1423	1796	769	964
FAM83G	225	280	89	168
FAM83H	264	440	183	251
FAM84B	21	18	1	5
FAM89A	188	248	63	126
FAM89B	41	72	22	36
FAM8A1	408	516	203	288
FAM91A1	416	457	198	247
FAM92A	238	272	110	185
FAM98A	1114	1459	591	777
FAM98B	1438	1499	693	842
FAM98C	121	201	73	99
FAN1	330	378	144	202
FANCA	1000	1153	443	658
FANCB	308	378	177	168
FANCC	239	271	126	166
FANCD2	1321	1498	635	725
FANCE	290	310	127	159
FANCG	264	361	132	173
FANCI	2376	2690	1132	1455
FANCL	914	1038	459	540
FANCM	356	460	155	213
FAR1	1808	2206	889	1140
FAR2	608	656	322	351
FARP1	513	598	247	351
FARP2	963	1166	446	550
FARS2	208	194	88	131
FARSA	3689	4810	1753	2363
FARSB	4278	4592	1945	2560
FAS	233	288	115	145
FASN	15859	23294	8277	11219
FASTK	165	270	86	120
FASTKD1	403	380	186	264
FASTKD2	1242	1369	644	756
FASTKD3	381	391	185	182
FASTKD5	1079	1307	555	718
FAT1	2149	2657	1053	1375
FAT2	0	2	0	5
FAT3	238	320	160	195
FAT4	399	496	212	250
FAU	3572	4872	1856	2642
FAXC	62	71	21	40
FAXDC2	14	16	6	12
FBF1	44	42	16	33
FBH1	967	1165	459	603
FBL	7675	11063	3826	5259
FBLIM1	178	229	96	132
FBLN1	623	838	286	434
FBN1	322	531	170	278
FBN2	3528	4938	1955	2589
FBRS	561	735	277	351
FBRSL1	527	718	255	349
FBXL12	118	210	65	84
FBXL13	16	10	7	9
FBXL14	256	341	91	165
FBXL15	150	188	63	92
FBXL17	249	320	129	181
FBXL18	250	323	142	190
FBXL19	156	177	56	74
FBXL2	50	64	23	37
FBXL20	178	194	95	105
FBXL3	433	552	233	312
FBXL4	252	276	117	144
FBXL5	413	412	188	233
FBXL6	80	111	45	65
FBXL8	11	8	1	5
FBXO10	130	158	62	107
FBXO11	881	993	465	556
FBXO16	143	200	64	82
FBXO17	364	452	135	228
FBXO21	1132	1328	555	705
FBXO22	496	588	241	269
FBXO25	222	269	101	149
FBXO28	615	689	297	419
FBXO3	790	838	403	445
FBXO30	529	554	272	319
FBXO31	153	211	78	105
FBXO32	247	245	101	142
FBXO33	311	388	151	210
FBXO34	222	280	110	136
FBXO38	742	782	348	398
FBXO4	123	178	59	76
FBXO42	404	522	174	292
FBXO44	143	220	65	120
FBXO45	148	156	69	67
FBXO46	124	157	62	95
FBXO5	960	1097	513	593
FBXO7	1542	1671	710	886
FBXO8	142	173	61	89
FBXO9	483	550	192	309
FBXW11	731	842	366	462
FBXW2	176	194	77	91
FBXW4	121	122	50	71
FBXW5	248	337	110	174
FBXW7	121	148	64	64
FBXW8	170	288	96	167
FBXW9	281	361	155	192
FCF1	327	411	169	190
FCGRT	315	352	128	185
FCHO2	450	513	226	270
FCHSD1	47	52	21	22
FCHSD2	199	243	102	124
FDFT1	3166	3711	1524	1978
FDPS	2427	2818	1170	1481
FDX1	501	625	222	282
FDX2	42	56	19	27
FDXACB1	12	30	8	6
FDXR	333	479	211	213
FECH	839	849	341	450
FEM1A	386	460	173	255
FEM1B	944	1045	432	578
FEM1C	489	472	212	285
FEN1	1725	2499	973	1285
FER	278	335	173	174
FERMT1	195	259	108	131
FERMT2	1443	1577	679	871
FEZ1	78	83	32	35
FEZ2	469	495	171	256
FGD1	208	250	79	111
FGD4	146	161	60	78
FGD6	113	140	50	65
FGF2	93	94	29	51
FGFR1	370	420	184	225
FGFR1OP	518	688	288	291
FGFR1OP2	320	384	171	231
FGFR2	208	253	110	111
FGFR3	176	181	67	102
FGFR4	70	80	30	37
FGFRL1	239	279	117	137
FGGY	20	26	11	22
FH	1829	2016	830	1079
FHAD1	25	29	18	17
FHIT	48	50	21	19
FHL1	3189	4215	1660	2356
FHL2	457	576	203	290
FHOD1	508	630	250	328
FHOD3	121	160	63	91
FIBP	469	544	201	268
FICD	59	65	29	36
FIG4	812	809	319	463
FIGN	93	106	39	60
FIGNL1	638	787	361	414
FILIP1L	23	26	9	13
FIP1L1	637	653	333	393
FIS1	608	769	312	423
FITM2	209	261	89	114
FJX1	117	122	55	71
FKBP10	745	932	354	536
FKBP11	314	396	168	206
FKBP14	146	185	91	104
FKBP15	408	515	223	283
FKBP1A	61	132	46	79
FKBP3	3078	3334	1394	1832
FKBP4	6789	8286	3183	4337
FKBP5	950	1124	440	599
FKBP7	99	109	38	58
FKBP8	1822	2184	806	1087
FKBP9	185	182	88	136
FKBPL	122	165	80	90
FKRP	60	131	30	70
FKTN	65	94	37	50
FLAD1	712	771	348	395
FLCN	149	197	79	100
FLII	1765	2275	823	1147
FLNA	12443	17700	6869	9664
FLNB	1045	1903	694	975
FLNC	3	4	2	1
FLOT1	942	938	398	535
FLOT2	870	1154	404	570
FLRT3	50	67	51	32
FLT1	616	723	323	453
FLT4	383	499	140	250
FLVCR1	296	368	143	168
FLYWCH1	219	276	97	147
FLYWCH2	92	172	83	90
FMC1	182	213	66	99
FMN2	183	240	96	121
FMNL2	436	504	206	258
FMNL3	145	195	59	81
FMO4	39	41	16	36
FMR1	1444	1734	721	925
FN1	2142	2895	1133	1489
FN3KRP	339	437	167	213
FNBP1	786	842	357	449
FNBP1L	448	547	214	268
FNBP4	539	681	298	355
FNDC3A	1224	1459	605	715
FNDC3B	656	731	321	384
FNIP1	452	557	237	301
FNIP2	238	277	117	137
FNTA	692	750	341	409
FOCAD	918	977	401	524
FOPNL	450	463	235	251
FOXA1	284	350	143	162
FOXC1	1688	2559	981	1443
FOXD1	93	130	53	62
FOXF2	225	352	105	155
FOXG1	139	220	71	79
FOXJ2	103	137	43	69
FOXJ3	860	966	460	551
FOXK1	543	707	275	361
FOXK2	495	657	203	314
FOXM1	598	689	297	400
FOXN2	219	233	83	121
FOXN3	59	83	36	36
FOXO1	535	649	247	324
FOXO3	171	204	68	99
FOXO4	70	85	35	41
FOXP2	204	170	73	86
FOXP4	362	517	211	285
FOXRED1	516	649	196	305
FOXRED2	968	1131	439	600
FP565260.1	0	0	0	0
FPGS	492	660	226	388
FPGT	196	239	95	135
FRA10AC1	569	634	308	340
FRAS1	618	897	339	424
FRAT2	96	153	46	83
FREM2	863	1089	462	602
FRG1	145	267	98	119
FRMD4A	208	210	91	99
FRMD4B	139	153	54	84
FRMD5	88	96	29	43
FRMD6	315	347	153	202
FRMD8	107	161	62	82
FRRS1	193	197	82	108
FRS2	206	249	118	140
FRY	69	65	33	38
FRYL	566	751	320	395
FSBP	31	31	20	20
FSCN1	1308	1497	583	817
FSD1	283	348	160	187
FSD1L	41	38	27	25
FSIP2	3	1	1	1
FSTL1	2174	3089	1158	1562
FTH1	121	149	52	69
FTL	385	485	131	263
FTO	787	910	378	503
FTSJ1	399	518	172	228
FTSJ3	2272	3035	1120	1592
FUBP1	3563	4763	2034	2565
FUBP3	1782	2400	942	1310
FUCA1	294	386	137	190
FUCA2	1498	1658	706	852
FUK	100	138	37	66
FUNDC1	369	418	191	241
FUNDC2	163	228	74	111
FUOM	41	51	14	37
FURIN	280	323	109	170
FUS	12312	16523	6948	8858
FUT10	76	98	40	37
FUT11	197	269	94	138
FUT8	157	163	77	89
FUZ	253	313	97	120
FXN	67	100	34	43
FXR1	2074	2247	953	1211
FXR2	1065	1434	567	756
FXYD5	2234	2654	1084	1521
FYCO1	375	419	176	200
FYN	530	659	262	359
FYTTD1	730	796	376	434
FZD1	172	176	83	105
FZD2	212	213	74	119
FZD3	342	443	172	224
FZD4	65	81	38	27
FZD5	215	270	100	138
FZD6	373	458	190	208
FZD7	253	281	133	168
FZD8	438	609	206	271
FZD9	37	61	17	17
FZR1	524	658	249	334
G2E3	553	632	264	341
G3BP1	5456	8324	3235	4200
G3BP2	1486	1824	813	975
G6PC3	1109	1510	495	664
G6PD	1860	2214	806	1109
GAA	329	403	148	199
GAB1	221	287	100	159
GAB2	84	87	32	49
GABARAP	1485	1600	676	857
GABARAPL1	221	298	109	135
GABARAPL2	1170	1365	568	722
GABBR1	47	36	15	16
GABBR2	12	17	8	11
GABPA	295	365	124	188
GABPB1	359	435	193	280
GABPB2	141	152	68	94
GABRB3	217	312	102	165
GAD1	99	99	41	52
GADD45A	239	314	134	171
GADD45B	46	83	25	52
GADD45GIP1	2224	3035	1051	1487
GAK	796	972	386	537
GAL	8	3	0	2
GALC	74	119	54	63
GALE	545	658	281	339
GALK1	547	672	242	317
GALK2	307	336	144	163
GALM	348	436	166	255
GALNS	135	163	47	64
GALNT1	453	470	166	294
GALNT10	95	124	48	65
GALNT11	163	177	78	110
GALNT12	56	76	14	21
GALNT13	124	118	57	76
GALNT16	86	88	41	56
GALNT18	130	140	53	67
GALNT2	607	877	341	462
GALNT6	136	166	53	97
GALNT7	818	990	397	583
GALT	82	98	35	54
GAMT	298	450	153	186
GAN	218	280	125	166
GANAB	7292	9541	3533	4844
GANC	131	138	51	67
GAPDH	16738	20470	8015	11410
GAPDHS	27	17	11	14
GAPVD1	2311	2542	1084	1365
GAR1	778	963	419	475
GAREM1	37	44	20	20
GAREM2	82	70	35	35
GARNL3	13	11	15	6
GARS	3264	3589	1456	1864
GART	6846	8133	3255	4150
GAS1	184	261	98	129
GAS2L3	354	362	164	222
GAS6	65	71	29	43
GAS8	87	119	49	69
GASK1A	18	41	12	27
GATA2	402	461	218	268
GATA4	245	354	116	167
GATA6	644	969	375	539
GATAD1	234	245	99	127
GATAD2A	809	1092	386	488
GATAD2B	1545	1814	730	956
GATB	388	418	165	228
GATD1	462	654	197	306
GBA	392	515	188	256
GBA2	170	250	83	121
GBE1	404	542	213	296
GBF1	2407	3172	1233	1555
GCA	397	478	193	265
GCAT	222	321	128	183
GCC1	299	384	146	213
GCC2	1152	1055	513	623
GCDH	673	873	326	433
GCFC2	622	713	298	343
GCH1	270	331	111	162
GCHFR	177	224	71	115
GCLC	825	1024	450	577
GCLM	859	1063	459	568
GCN1	5657	7430	2706	3584
GCNA	1	4	0	1
GCNT1	57	57	34	34
GCNT7	0	0	0	0
GDAP1	407	430	193	230
GDAP2	538	552	218	256
GDE1	242	340	131	197
GDF11	165	187	68	87
GDI1	2155	2813	1078	1368
GDI2	6203	7792	3331	4131
GDPD1	194	218	103	81
GDPGP1	16	15	8	6
GEMIN2	421	506	174	240
GEMIN4	2359	2858	1169	1479
GEMIN5	2784	3135	1228	1687
GEMIN6	428	535	220	272
GEMIN7	229	278	95	163
GEMIN8	305	317	123	157
GEN1	234	312	126	145
GET4	587	800	276	365
GFER	173	284	110	130
GFI1	169	196	74	118
GFM1	909	1163	475	636
GFM2	606	678	318	373
GFOD1	53	79	27	32
GFOD2	76	100	37	42
GFPT1	1864	2080	846	1122
GFPT2	232	228	118	124
GGA1	505	675	227	336
GGA2	1077	1396	526	707
GGA3	386	482	193	267
GGCT	476	642	258	357
GGCX	682	935	331	476
GGH	1470	1526	736	846
GGNBP2	890	1161	523	625
GGPS1	129	134	75	78
GGT7	156	207	78	112
GHDC	104	105	43	64
GHITM	7058	8098	3491	4385
GHRL	0	1	0	0
GID4	112	164	53	68
GID8	650	873	381	461
GIGYF1	246	293	125	146
GIGYF2	1804	2502	1062	1347
GIN1	282	285	127	159
GINM1	551	550	277	307
GINS1	751	906	396	523
GINS2	762	898	315	504
GINS3	356	442	182	231
GINS4	526	681	261	342
GIPC1	1092	1382	528	715
GIT1	465	592	220	311
GIT2	751	793	307	398
GJA1	863	1009	437	552
GJC1	359	423	142	187
GK	31	41	6	13
GK5	201	224	94	89
GKAP1	172	183	80	85
GLA	2839	3355	1342	1820
GLB1	543	768	273	417
GLB1L	50	55	25	20
GLB1L2	415	467	224	301
GLCCI1	139	197	69	85
GLCE	235	239	111	138
GLDC	170	205	82	130
GLE1	849	965	390	536
GLG1	1744	2300	914	1213
GLI2	87	106	54	90
GLI3	340	399	149	165
GLI4	57	69	38	32
GLIPR1	31	26	7	22
GLIPR2	81	63	37	36
GLMN	944	1041	528	597
GLMP	526	587	229	340
GLO1	8463	9273	3893	4880
GLOD4	1473	1985	730	938
GLRB	204	209	87	110
GLRX2	259	309	121	161
GLRX3	2814	3369	1379	1756
GLRX5	493	791	281	396
GLS	826	1193	466	554
GLS2	86	82	31	35
GLT8D1	240	247	101	138
GLT8D2	102	95	36	54
GLTP	204	217	79	116
GLUD1	1217	1590	620	788
GLUL	3664	4833	1954	2820
GLYCTK	77	84	30	40
GLYR1	1302	1631	693	885
GM2A	408	511	187	295
GMCL1	115	126	53	65
GMDS	528	642	268	372
GMEB1	273	338	152	186
GMEB2	290	357	144	208
GMFB	611	726	300	364
GMIP	86	92	35	53
GMNN	2638	2917	1258	1572
GMPPA	557	729	272	374
GMPPB	333	491	187	212
GMPR2	555	633	267	342
GMPS	3321	3587	1549	2075
GNA11	516	716	254	345
GNA12	125	158	62	81
GNA13	392	480	205	260
GNAI1	880	1007	446	557
GNAI2	882	1160	418	588
GNAI3	2718	3106	1357	1634
GNAL	169	155	73	79
GNAQ	182	228	83	131
GNAS	17285	21303	7491	11028
GNAT2	8	9	2	11
GNAZ	71	85	20	46
GNB1	3835	4816	1770	2466
GNB1L	283	340	146	203
GNB2	2879	3527	1207	1722
GNB3	3	5	0	2
GNB4	1176	1342	547	729
GNB5	286	403	136	204
GNE	743	841	329	445
GNG12	595	668	290	403
GNG5	868	1067	403	604
GNL1	565	921	303	415
GNL2	2805	3238	1469	1870
GNL3	3316	3931	1682	2061
GNL3L	2029	2493	963	1268
GNPAT	657	748	333	384
GNPDA1	1070	1310	525	633
GNPDA2	288	275	130	208
GNPNAT1	485	473	216	246
GNPTAB	302	299	120	176
GNPTG	97	123	29	65
GNS	1300	1457	589	815
GOLGA1	170	249	114	148
GOLGA2	441	502	196	245
GOLGA3	862	1029	409	549
GOLGA4	889	938	394	535
GOLGA5	654	675	300	356
GOLGA7	688	775	313	391
GOLGB1	1974	2373	1034	1243
GOLIM4	695	771	320	443
GOLM1	1286	1689	632	802
GOLPH3	845	1009	455	527
GOLPH3L	418	545	221	252
GOLT1B	277	318	124	171
GON4L	442	481	209	275
GON7	168	209	98	119
GOPC	532	632	248	335
GORAB	94	139	47	57
GORASP1	243	330	126	160
GORASP2	1632	1830	725	917
GOSR1	410	470	214	243
GOSR2	79	95	50	50
GOT1	1502	1838	701	933
GOT2	3697	4513	1794	2399
GPAA1	796	1107	395	572
GPALPP1	673	725	332	397
GPAM	406	547	217	301
GPANK1	171	230	63	102
GPAT2	2	4	1	2
GPAT3	343	470	160	228
GPAT4	362	536	204	224
GPATCH1	486	617	253	290
GPATCH11	299	318	109	160
GPATCH2	336	358	149	181
GPATCH2L	354	422	176	205
GPATCH3	185	271	108	137
GPATCH4	843	1172	473	587
GPATCH8	1067	1336	541	712
GPBP1	401	397	152	235
GPBP1L1	185	228	86	126
GPC1	176	241	83	129
GPC3	345	384	166	207
GPC4	1175	1381	569	697
GPC6	141	179	74	79
GPCPD1	422	496	234	302
GPD1L	420	495	195	246
GPD2	883	1159	476	575
GPHN	466	698	262	347
GPI	25538	32752	12265	17215
GPKOW	618	803	279	421
GPLD1	22	25	16	11
GPM6A	229	250	97	117
GPM6B	402	490	206	252
GPN1	661	779	315	396
GPN2	600	736	272	380
GPN3	1367	1600	676	810
GPR107	809	898	341	477
GPR108	257	310	108	181
GPR137	70	122	37	61
GPR137B	77	102	33	52
GPR137C	38	62	27	20
GPR155	76	74	26	40
GPR160	18	5	5	10
GPR161	114	150	50	66
GPR176	17	31	5	15
GPR18	0	1	0	0
GPR180	253	274	121	134
GPR183	2	1	0	0
GPR22	0	0	0	0
GPR27	56	84	30	60
GPR39	3	11	1	0
GPR63	53	50	16	31
GPR75	0	0	0	1
GPRASP1	2	4	1	0
GPRASP2	301	380	177	197
GPRC5B	85	111	49	64
GPRIN1	284	317	147	170
GPRIN3	252	262	90	132
GPS1	2188	2860	966	1448
GPS2	533	639	249	340
GPSM1	601	707	279	395
GPSM2	365	441	179	228
GPT	0	1	1	0
GPT2	450	480	176	263
GPX1	403	551	172	233
GPX3	254	326	115	147
GPX4	1172	1265	478	677
GPX8	241	256	101	140
GRAMD1A	1887	2253	868	1101
GRAMD1B	116	131	59	87
GRAMD1C	50	42	11	22
GRAMD4	147	176	79	106
GRB10	459	493	179	270
GRB14	88	76	37	31
GRB2	1375	1773	666	925
GREB1	24	29	18	22
GREB1L	336	395	185	201
GRHL1	96	116	29	53
GRHPR	828	983	355	550
GRID1	131	154	60	77
GRINA	1302	1682	598	856
GRIP1	239	262	126	132
GRIPAP1	509	660	260	336
GRK2	358	428	173	215
GRK3	92	97	33	44
GRK4	23	17	4	5
GRK5	35	46	21	22
GRK6	569	875	295	441
GRN	1955	2793	1018	1438
GRPEL1	1143	1382	570	725
GRPEL2	606	777	307	407
GRSF1	3026	3352	1343	1756
GRTP1	124	125	61	82
GRWD1	1197	1670	630	871
GSDME	105	116	58	70
GSE1	1001	1332	486	619
GSK3A	765	968	362	495
GSK3B	510	564	245	359
GSKIP	298	327	157	174
GSN	407	476	190	236
GSPT1	2204	2416	921	1294
GSR	3074	3618	1420	1885
GSS	923	1091	395	535
GSTA4	619	666	277	337
GSTCD	327	348	149	194
GSTK1	566	650	255	375
GSTM2	69	102	38	40
GSTM3	835	997	385	510
GSTO1	3144	4117	1565	1925
GSTP1	1327	1694	638	859
GSTZ1	221	229	81	145
GTDC1	36	38	13	26
GTF2A1	939	1231	537	663
GTF2A2	924	1034	476	547
GTF2B	1151	1409	553	749
GTF2E1	200	279	96	119
GTF2E2	875	910	353	475
GTF2F1	1749	2373	908	1192
GTF2F2	1066	1114	502	672
GTF2H1	350	328	134	161
GTF2H2	38	34	22	19
GTF2H2C	41	46	13	27
GTF2H3	960	1063	458	572
GTF2H4	388	411	165	219
GTF2H5	410	524	207	271
GTF2I	1233	1409	576	753
GTF2IRD1	227	269	102	164
GTF3A	412	530	225	300
GTF3C1	3735	4687	1842	2479
GTF3C2	910	1132	410	549
GTF3C3	1769	1929	876	1073
GTF3C4	1430	1591	554	861
GTF3C5	1660	1911	747	1061
GTF3C6	337	373	202	207
GTPBP1	889	1078	414	561
GTPBP10	602	709	278	373
GTPBP2	350	416	180	218
GTPBP3	898	1215	448	587
GTPBP4	3854	4347	1817	2493
GTPBP6	375	544	200	260
GTPBP8	364	415	201	244
GTSE1	1199	1672	653	840
GUCD1	292	391	155	177
GUCY1A1	131	166	64	100
GUCY1A2	82	96	41	63
GUCY1B1	564	585	249	278
GUF1	680	735	325	414
GUK1	527	643	240	365
GULP1	199	176	89	127
GUSB	448	566	212	288
GVQW3	14	26	7	5
GXYLT1	467	598	221	316
GXYLT2	35	67	27	39
GYG1	727	819	365	479
GYG2	1	0	0	0
GYPC	0	1	0	0
GYS1	1049	1350	528	653
GZF1	197	228	68	128
H1F0	510	524	198	284
H1FX	2363	3312	1244	1672
H2AFJ	139	155	47	83
H2AFV	1039	1177	477	672
H2AFX	3354	3922	1533	2100
H2AFY	5290	6610	2611	3563
H2AFY2	793	926	367	511
H2AFZ	2911	3470	1481	1899
H3F3A	2	6	2	0
H3F3B	1413	2027	783	1095
H6PD	162	223	75	106
HABP4	193	217	76	132
HACD1	189	243	106	128
HACD2	543	670	301	310
HACD3	4495	4954	2143	2653
HACE1	224	217	120	151
HACL1	1219	1359	592	696
HADH	1009	1261	487	715
HADHA	1774	2155	886	1125
HADHB	2054	2255	918	1119
HAGH	617	852	317	474
HAPLN3	83	111	38	53
HARBI1	42	73	26	19
HARS	2132	2821	1020	1476
HARS2	548	680	250	340
HAS3	32	44	18	29
HASPIN	584	696	246	347
HAT1	3651	4057	1768	2087
HAUS1	688	798	334	427
HAUS2	453	395	195	235
HAUS3	586	567	298	321
HAUS4	161	187	79	98
HAUS5	1283	1699	614	858
HAUS6	389	389	162	208
HAUS7	735	974	368	495
HAUS8	319	445	152	234
HAX1	790	1087	348	432
HBP1	406	392	153	205
HBS1L	1734	1860	785	937
HCCS	238	267	115	161
HCFC1	3372	4539	1772	2446
HCFC1R1	196	240	77	89
HCFC2	172	205	73	96
HCLS1	53	152	33	55
