	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
CROT	265	254	339	590
CRTAP	1437	1200	1896	2781
CRTC1	158	88	122	223
CRTC2	235	202	246	408
CRTC3	270	220	289	428
CRY1	832	807	1286	1862
CRY2	209	175	276	392
CRYBG3	2850	2706	3922	5735
CRYGD	33	29	61	69
CRYL1	54	49	82	103
CRYZ	383	341	632	900
CRYZL1	475	411	574	795
CS	2184	1805	2560	4345
CSAD	119	101	122	189
CSDC2	15	11	22	28
CSDE1	24241	23308	37862	52457
CSE1L	13720	12301	22137	30951
CSF1	27	20	23	42
CSGALNACT2	180	210	232	339
CSK	830	730	809	1502
CSKMT	79	68	129	161
CSNK1A1	2869	2601	4546	6385
CSNK1D	823	687	763	1328
CSNK1E	278	240	420	635
CSNK1G1	339	274	398	649
CSNK1G2	840	692	1470	1939
CSNK1G3	675	613	901	1307
CSNK2A1	840	709	1086	1716
CSNK2A2	1013	892	940	1484
CSNK2B	308	240	576	782
CSPG4	29	32	29	51
CSPG5	394	331	565	766
CSPP1	1352	1211	1473	2197
CSRNP1	39	50	98	149
CSRNP2	272	225	303	533
CSRNP3	53	65	78	123
CSRP2	733	766	1182	1679
CST3	430	431	558	817
CSTB	419	369	734	942
CSTF1	897	748	1386	2066
CSTF2	1642	1514	2547	3697
CSTF2T	924	865	1436	1902
CSTF3	1227	1163	1748	2518
CTBP1	1332	1277	2130	2844
CTBP2	601	512	723	1117
CTBS	137	137	186	272
CTC1	247	198	279	442
CTCF	1813	1715	2737	4018
CTDNEP1	288	213	296	537
CTDP1	410	405	478	792
CTDSP1	235	181	265	408
CTDSP2	187	168	222	332
CTDSPL	270	242	395	510
CTDSPL2	892	793	1353	1972
CTH	240	217	332	491
CTIF	137	148	207	328
CTNNA1	3245	2998	4439	6618
CTNNAL1	2758	2515	4208	5836
CTNNB1	14304	12840	22637	32074
CTNNBIP1	48	59	84	113
CTNNBL1	1038	948	1448	1908
CTNND1	2512	2267	2962	4612
CTNS	228	148	320	551
CTPS1	4105	3893	5322	7985
CTPS2	835	767	1162	1668
CTR9	2749	2548	4123	5388
CTRL	48	48	46	92
CTSA	657	627	1096	1571
CTSB	347	321	537	832
CTSC	679	602	1053	1516
CTSD	21	20	40	43
CTSF	154	154	266	389
CTSH	324	342	519	750
CTSK	36	30	52	75
CTSL	857	836	1492	1875
CTSO	30	37	61	78
CTSV	305	301	500	611
CTSZ	131	103	152	241
CTTN	2681	2781	4010	5120
CTTNBP2	203	189	217	298
CTTNBP2NL	315	288	374	518
CTU1	60	52	62	88
CTU2	519	446	900	1092
CUBN	47	45	62	86
CUEDC1	118	119	155	224
CUEDC2	640	670	943	1419
CUL1	2793	2781	4173	6050
CUL2	1070	973	1480	2098
CUL3	3030	2840	3802	5797
CUL4A	890	805	1176	1749
CUL4B	3377	3142	4446	6659
CUL5	2024	1978	2698	3846
CUL7	671	562	857	1244
CUL9	481	390	444	840
CUTA	1058	1017	1538	2185
CUTC	530	500	737	1009
CUX1	1010	888	1004	1782
CUX2	36	35	43	78
CWC15	1510	1574	2347	3231
CWC22	1398	1310	2117	2796
CWC25	268	254	304	418
CWC27	842	836	1265	1539
CWF19L1	1290	1207	1999	2758
CWF19L2	1460	1359	1956	2701
CXADR	412	311	606	776
CXCL16	27	30	41	67
CXCR4	32	38	72	98
CXCR6	81	46	41	82
CXXC1	903	829	1312	1774
CXXC5	43	34	64	84
CXorf38	317	274	419	562
CXorf40A	57	59	80	144
CXorf40B	117	119	144	206
CXorf56	600	661	906	1300
CYB561	38	39	70	79
CYB561A3	164	168	263	402
CYB561D1	45	30	41	76
CYB561D2	159	97	235	300
CYB5A	469	429	608	811
CYB5B	970	898	1446	2032
CYB5D1	225	230	307	431
CYB5D2	153	132	167	291
CYB5R1	447	450	731	1085
CYB5R3	461	368	464	828
CYB5R4	661	589	1019	1413
CYB5RL	106	105	130	239
CYBA	720	655	1036	1397
CYBC1	183	160	236	348
CYBRD1	59	45	72	93
CYC1	2524	2174	3806	5699
CYCS	2170	2245	3295	4447
CYFIP1	2022	1718	3240	4474
CYFIP2	1487	1237	1870	3003
CYHR1	259	254	310	518
CYLD	893	791	1245	1822
CYP1B1	28	31	25	51
CYP20A1	473	391	615	886
CYP26A1	61	47	95	117
CYP26B1	31	22	40	60
CYP27B1	107	79	116	196
CYP27C1	15	17	23	27
CYP2D6	34	26	35	55
CYP2E1	44	46	56	65
CYP2J2	68	67	108	142
CYP2R1	209	184	289	433
CYP2U1	89	76	118	225
CYP39A1	100	83	140	207
CYP3A5	50	42	37	68
CYP4V2	157	133	163	233
CYP51A1	1571	1502	2117	3112
CYREN	322	339	432	566
CYSTM1	134	101	211	282
CYTH1	316	297	397	602
CYTH2	325	345	589	723
CYTH3	195	184	272	415
CZIB	323	331	475	679
D2HGDH	261	234	274	476
DAAM1	447	465	434	728
DAAM2	171	150	184	284
DAB2	60	33	64	89
DAB2IP	264	207	241	453
DACH1	317	270	341	545
DACH2	29	47	60	85
DACT1	74	78	89	137
DAD1	869	730	1581	2209
DAG1	1124	892	1378	2317
DAGLA	77	68	103	147
DAGLB	258	209	339	574
DALRD3	986	832	1388	2012
DAP	145	101	178	313
DAP3	2148	2071	3162	4426
DAPK1	727	640	969	1496
DAPK3	531	510	997	1370
DARS	3073	2882	4961	6822
DARS2	1735	1473	2762	4204
DAXX	1325	1237	1811	2586
DAZAP1	2127	1899	3402	4844
DAZAP2	385	305	883	1236
DBF4	1286	1167	2110	3068
DBF4B	426	339	375	665
DBI	559	431	1316	1749
DBN1	1217	1149	1979	2577
DBNDD1	37	49	71	65
DBNDD2	206	169	279	414
DBNL	935	959	1240	1930
DBP	60	61	84	131
DBR1	770	679	1110	1598
DBT	566	477	630	924
DCAF1	2657	2338	3186	4988
DCAF10	423	371	565	842
DCAF11	615	632	973	1399
DCAF12	976	785	1306	1944
DCAF13	2095	2081	3115	4514
DCAF15	331	322	639	924
DCAF16	603	533	934	1341
DCAF17	359	285	498	806
DCAF4	429	360	624	873
DCAF4L1	31	24	19	26
DCAF5	657	552	863	1189
DCAF6	1668	1442	2365	3446
DCAF7	771	676	954	1509
DCAF8	139	106	186	313
DCAKD	263	240	366	566
DCBLD1	383	363	531	714
DCBLD2	952	826	1477	2065
DCDC1	50	41	62	111
DCDC2	21	15	27	32
DCDC2B	78	54	82	124
DCHS1	79	57	75	129
DCK	399	377	608	925
DCLK1	39	35	54	78
DCLK2	149	108	141	212
DCLRE1A	955	822	1593	2257
DCLRE1B	352	344	510	704
DCLRE1C	551	505	671	991
DCP1A	732	628	987	1557
DCP1B	217	211	317	453
DCP2	1564	1433	2233	3231
DCPS	432	405	582	920
DCST1	18	11	23	40
DCTD	350	333	480	653
DCTN1	3956	3718	5112	7016
DCTN2	1680	1522	2266	3403
DCTN3	442	452	769	1100
DCTN4	1063	1038	1664	2347
DCTN5	530	489	680	904
DCTN6	239	250	435	625
DCTPP1	784	697	1396	1615
DCUN1D1	333	331	423	597
DCUN1D2	225	234	260	351
DCUN1D3	75	86	108	177
DCUN1D4	591	557	747	1033
DCUN1D5	1765	1755	2535	3406
DCXR	996	871	1425	2039
DDA1	111	141	264	365
DDAH1	208	206	217	371
DDAH2	81	69	131	157
DDB1	10678	9519	18437	25218
DDB2	252	204	386	611
DDHD1	785	720	1070	1516
DDHD2	1054	977	1497	2208
DDI2	700	646	756	1145
DDIAS	710	638	1160	1810
DDIT3	86	86	115	181
DDIT4	211	187	217	255
DDIT4L	14	21	35	45
DDN	22	26	34	46
DDOST	3543	3359	6120	8625
DDR1	110	76	137	241
DDR2	469	442	616	924
DDRGK1	1061	1262	1460	2033
DDTL	69	55	187	243
DDX1	5929	5728	8380	11698
DDX10	2134	2221	3065	4124
DDX11	846	797	1063	1529
DDX17	12966	12574	16604	24222
DDX18	3960	3872	5838	8136
DDX19A	102	110	189	224
DDX19B	113	106	142	208
DDX20	2091	1908	3265	4750
DDX21	10821	10466	16981	23465
DDX23	3469	3404	5138	7354
DDX24	4313	3957	5823	8700
DDX27	2030	2034	2952	3860
DDX28	472	415	766	1060
DDX31	773	715	1092	1599
DDX39A	2336	2139	3397	4679
DDX39B	7630	6701	11181	16218
DDX3X	10559	10147	16409	22642
DDX41	1327	1284	2072	2740
DDX42	3265	2966	4416	6107
DDX46	4383	4457	5858	7329
DDX47	2012	1929	3061	4344
DDX49	1224	1176	1998	2838
DDX5	17451	17449	24105	34370
DDX50	1623	1537	2524	3558
DDX51	518	462	621	902
DDX52	1584	1417	2186	3295
DDX54	2060	2165	3474	4590
DDX55	1394	1284	1594	2285
DDX56	2606	2189	3999	5960
DDX58	157	134	227	301
DDX59	534	443	953	1385
DDX6	3406	2888	4268	6639
DDX60	85	62	116	135
DEAF1	1251	1199	1925	2788
DECR1	367	360	498	756
DECR2	77	71	105	165
DEDD	345	265	469	656
DEDD2	102	100	156	186
DEF6	41	33	66	71
DEF8	578	559	888	1193
DEGS1	2209	1976	4023	5560
DEK	6744	6814	9231	12412
DELE1	419	323	648	942
DENND1A	420	353	399	783
DENND1B	425	403	661	852
DENND2A	28	27	33	52
DENND2C	421	361	592	850
DENND3	199	150	187	328
DENND4A	1494	1299	1926	2935
DENND4B	657	489	655	1098
DENND4C	2110	1886	2833	4186
DENND5A	2544	2307	3834	5487
DENND5B	627	569	877	1262
DENND6A	1246	1139	1591	2511
DENR	1349	1377	2006	2509
DEPDC1	2300	2172	3734	5213
DEPDC1B	943	1002	1455	2114
DEPDC4	50	43	67	72
DEPDC5	235	242	326	533
DEPDC7	368	316	475	723
DEPP1	25	15	48	64
DEPTOR	61	52	81	122
DERA	406	378	636	885
DERL1	454	309	655	1027
DERL2	350	253	601	845
DERL3	51	42	86	128
DERPC	907	665	1259	1940
DESI1	421	396	631	916
DESI2	575	575	918	1227
DEXI	25	30	35	55
DFFA	1823	1600	2630	3816
DFFB	224	187	280	431
DGAT1	214	165	366	484
DGAT2	31	21	46	66
DGCR2	829	691	1206	1676
DGCR6	31	29	41	79
DGCR6L	408	415	658	882
DGCR8	1697	1731	2262	3136
DGKA	79	74	81	129
DGKD	862	726	1052	1602
DGKE	459	441	586	899
DGKH	850	662	860	1352
DGKQ	279	209	348	467
DGKZ	355	327	502	736
DGLUCY	131	135	195	320
DGUOK	491	413	875	1198
DHCR24	1940	1638	2720	4076
DHCR7	950	776	1663	2244
DHDDS	280	295	408	591
DHFR	85	67	72	140
DHFR2	68	57	91	121
DHODH	250	225	290	471
DHPS	477	404	736	1045
DHRS1	121	107	134	215
DHRS11	129	109	135	227
DHRS12	50	47	57	99
DHRS13	74	72	108	149
DHRS3	236	182	282	384
DHRS4	142	131	192	259
DHRS7	859	758	1378	1917
DHRS7B	508	431	780	1019
DHRSX	133	128	183	264
DHTKD1	1307	1060	1674	2612
DHX15	7011	6672	11569	16338
DHX16	1855	1691	2847	4014
DHX29	2361	2273	3567	5017
DHX30	6010	5158	8828	12887
DHX32	1027	933	1591	2259
DHX33	1135	927	1022	1932
DHX34	806	711	1122	1728
DHX35	527	498	712	1049
DHX36	3041	2848	2966	4939
DHX37	1807	1643	2492	3557
DHX38	2354	2165	3392	4361
DHX40	1497	1321	2274	3122
DHX57	2085	1882	2663	4071
DHX8	2699	2474	3553	5377
DHX9	19456	17633	31343	44163
DIABLO	44	33	56	87
DIAPH1	2768	2481	2036	4177
DIAPH2	1312	1208	1635	2593
DIAPH3	1890	1864	2300	3344
DICER1	5057	4750	6807	9704
DIDO1	2992	2625	3357	5256
DIMT1	819	643	1320	1849
DIP2A	912	787	937	1594
DIP2B	1776	1576	2422	3469
DIP2C	356	310	383	670
DIPK1A	207	186	294	411
DIPK1B	747	634	1079	1461
DIPK2A	387	352	489	708
DIRAS1	37	46	73	80
DIS3	3767	3649	5862	8328
DIS3L	1935	1707	2673	3867
DIS3L2	578	524	643	1035
DISC1	126	120	158	263
DISP1	162	132	273	388
DIXDC1	233	238	317	417
DKC1	4530	4535	6650	8872
DLAT	2213	1989	3607	5002
DLC1	393	254	456	715
DLD	2589	2552	3986	5398
DLEC1	45	32	64	96
DLG1	1319	1210	1887	2773
DLG3	409	348	529	771
DLG4	48	40	56	110
DLG5	1115	1009	1183	1943
DLGAP4	134	93	119	183
DLGAP5	3483	3096	5594	7782
DLK2	39	46	48	87
DLL1	69	65	63	90
DLL3	79	54	76	116
DLST	1013	940	1303	1919
DLX1	105	103	133	187
DLX2	258	194	273	468
DMAC1	253	243	385	549
DMAC2	293	289	433	598
DMAC2L	228	197	275	433
DMAP1	456	476	591	794
DMBX1	20	12	25	32
DMC1	235	240	349	439
DMD	129	92	194	283
DMKN	819	630	1393	1847
DMPK	308	239	270	445
DMTF1	1893	1668	2821	3977
DMTN	44	43	48	66
DMWD	360	237	323	556
DMXL1	2742	2291	3588	5418
DMXL2	2047	1824	2851	4125
DNA2	1873	1750	2325	3465
DNAAF2	724	661	876	1336
DNAAF3	48	38	70	92
DNAAF4	83	69	118	129
DNAAF5	889	769	924	1614
DNAH1	467	366	443	761
DNAH10	61	55	78	99
DNAH11	600	537	781	1210
DNAH14	2878	2699	3623	5470
DNAH17	81	79	103	180
DNAH6	247	234	292	451
DNAH7	109	96	121	191
DNAJA1	5777	5715	9276	11960
DNAJA2	2241	2204	3440	4725
DNAJA3	1586	1461	2285	3151
DNAJA4	22	14	22	34
DNAJB1	779	705	1178	1529
DNAJB11	593	551	935	1240
DNAJB12	454	441	749	1005
DNAJB14	252	263	376	529
DNAJB2	52	50	92	125
DNAJB4	182	156	259	363
DNAJB5	59	42	68	111
DNAJB6	406	413	663	940
DNAJB7	43	44	75	121
DNAJB9	109	94	222	297
DNAJC1	652	581	938	1414
DNAJC10	3311	3175	4737	6701
DNAJC11	1994	1873	2351	3598
DNAJC12	223	228	358	503
DNAJC13	3150	3008	4043	5841
DNAJC14	474	476	823	1132
DNAJC16	408	350	508	746
DNAJC17	250	243	342	416
DNAJC18	246	193	302	443
DNAJC19	166	185	253	377
DNAJC2	2186	2186	3134	4149
DNAJC21	1077	1005	1600	2004
DNAJC22	35	29	32	60
DNAJC24	218	208	338	468
DNAJC25	197	234	296	480
DNAJC27	62	56	71	85
DNAJC28	51	49	68	98
DNAJC3	936	910	1285	1760
DNAJC30	48	45	71	91
DNAJC4	44	39	84	162
DNAJC5	394	358	517	803
DNAJC6	359	272	526	767
DNAJC7	3080	2891	4576	6013
DNAJC8	2279	2386	3419	4529
DNAJC9	691	670	1113	1488
DNAL1	182	165	167	288
DNAL4	59	62	103	153
DNASE1	111	81	121	203
DNASE1L1	231	191	329	483
DNASE1L2	29	28	49	59
DNASE2	219	206	449	542
DND1	74	67	90	117
DNHD1	616	447	447	847
DNLZ	81	89	133	167
DNM1	279	214	248	495
DNM1L	2741	2484	4157	6081
DNM2	2571	2208	3567	5198
DNM3	198	158	238	331
DNMBP	438	352	393	616
DNMT1	6305	5662	7380	11634
DNMT3A	263	246	339	474
DNMT3B	535	470	736	1185
DNPEP	467	383	774	1063
DNPH1	594	517	751	1045
DNTTIP1	518	501	741	938
DNTTIP2	4277	4052	6607	8831
DOC2A	48	32	43	96
DOCK1	2576	2323	3148	4803
DOCK11	1070	1026	1563	2244
DOCK3	780	632	796	1409
DOCK4	906	785	1143	1830
DOCK5	702	582	689	1226
DOCK6	263	198	193	378
DOCK7	3906	3541	5267	8037
DOCK8	72	69	76	139
DOCK9	835	735	1106	1708
DOHH	143	134	219	312
DOK1	97	70	107	170
DOK3	66	57	74	118
DOK4	35	27	68	106
DOLK	340	273	616	727
DOLPP1	193	158	359	491
DONSON	1073	985	1527	2351
DOP1A	2333	2056	3193	4733
DOP1B	461	414	450	802
DOT1L	814	701	672	1223
DPAGT1	237	241	434	620
DPCD	562	569	713	968
DPF1	116	107	164	237
DPF2	610	566	803	1152
DPF3	44	48	57	77
DPH1	566	496	936	1242
DPH2	856	749	1292	1804
DPH3	123	110	169	218
DPH5	799	730	1182	1579
DPH6	170	142	237	319
DPH7	700	634	1035	1456
DPM1	959	946	1666	2263
DPM2	116	123	236	302
DPM3	136	131	208	247
DPP3	770	685	1071	1511
DPP4	35	34	31	57
DPP7	113	93	149	206
DPP8	1146	1008	1365	2166
DPP9	776	652	929	1495
DPY19L1	648	564	1060	1474
DPY19L3	585	608	809	1276
DPY19L4	660	539	824	1175
DPY30	249	223	475	638
DPYSL2	491	389	545	818
DPYSL3	25	34	63	99
DPYSL4	223	187	317	425
DPYSL5	734	657	784	1285
DR1	910	855	1453	2035
DRAM1	19	20	29	49
DRAM2	337	268	555	885
DRAP1	624	729	971	1168
DRC3	149	125	179	272
DRG1	2314	2189	3826	5213
DRG2	1326	1256	2094	2948
DRICH1	20	20	17	31
DROSHA	2836	2355	2673	4730
DSC2	358	300	423	647
DSC3	577	516	722	1066
DSCC1	830	818	1131	1650
DSE	492	397	823	1102
DSG2	1917	1582	2106	3245
DSN1	891	844	1313	1843
DSP	7377	6513	8240	12944
DST	8556	8221	11383	15803
DSTN	770	711	1164	1550
DSTYK	724	640	733	1242
DTD1	65	70	87	134
DTD2	186	169	243	415
DTL	2613	2116	3689	5418
DTNA	249	208	328	530
DTNB	335	294	437	686
DTNBP1	352	317	286	532
DTWD1	149	143	226	368
DTWD2	169	114	279	335
DTX2	46	39	51	89
DTX3	63	52	119	173
DTX3L	135	96	179	273
DTYMK	999	985	1532	2104
DUS1L	2689	2402	3890	5521
DUS2	421	416	509	795
DUS3L	1078	1047	1617	2329
DUS4L	183	154	256	387
DUSP1	130	87	261	374
DUSP10	31	16	55	81
DUSP11	549	536	861	1254
DUSP12	524	532	795	1135
DUSP14	180	158	306	460
DUSP16	477	369	518	738
DUSP18	36	40	48	82
DUSP19	46	65	72	98
DUSP2	48	42	59	98
DUSP22	152	138	226	312
DUSP3	261	220	413	585
DUSP5	14	16	50	71
DUSP7	162	129	203	287
DUSP8	21	19	23	35
DUSP9	168	155	264	384
DUT	1080	1135	1571	2261
DVL1	993	912	1734	2264
DVL2	835	685	1229	1811
DVL3	435	389	581	844
DXO	405	357	548	783
DYM	706	563	1100	1526
DYNC1H1	25808	23595	29084	46338
DYNC1I1	28	12	30	41
DYNC1I2	1177	1114	1723	2461
DYNC1LI1	2343	2289	3628	4993
DYNC1LI2	1286	1233	1542	2378
DYNC2H1	11062	10543	14486	19978
DYNC2LI1	563	539	836	1115
DYNLL1	869	856	1596	2080
DYNLL2	166	146	213	329
DYNLRB1	263	233	473	652
DYNLT1	564	547	978	1370
DYNLT3	165	160	256	343
DYRK1A	1175	1025	1790	2732
DYRK1B	99	88	156	244
DYRK2	804	781	1054	1554
DYRK3	458	383	574	929
DYRK4	241	231	508	719
DZANK1	85	74	89	142
DZIP1	2304	2088	2843	4238
DZIP1L	303	293	278	405
DZIP3	1854	1756	2876	4053
E2F1	699	647	1186	1678
E2F2	242	229	259	399
E2F3	631	575	856	1344
E2F4	1165	900	1742	2373
E2F5	622	570	829	1221
E2F6	223	228	280	410
E2F7	667	619	854	1305
E2F8	601	513	661	1013
E4F1	894	780	1274	1882
EAF1	330	280	492	702
EAF2	89	71	114	189
EAPP	658	574	1055	1402
EARS2	731	674	1069	1482
EBAG9	189	165	292	429
EBF2	23	16	35	49
EBF3	216	188	278	384
EBF4	37	25	44	84
EBLN2	138	131	156	237
EBNA1BP2	2710	2819	4152	5712
EBP	348	324	568	816
EBPL	317	277	461	686
ECD	1074	995	1577	2251
ECE1	464	344	489	849
ECEL1	61	45	85	140
ECH1	249	238	307	394
ECHDC1	1379	1287	2028	2593
ECHDC2	85	44	67	111
ECHS1	2192	2076	3006	4281
ECI1	751	613	1070	1511
ECI2	2073	1963	3097	4490
ECM1	14	13	22	25
ECM2	109	120	80	171
ECPAS	6311	5904	8603	12633
ECSIT	552	516	901	1232
ECT2	3292	2905	5095	6933
ECT2L	49	39	44	45
EDA	59	38	49	74
EDA2R	51	36	54	103
EDARADD	44	31	49	68
EDC3	861	739	799	1464
EDC4	2121	1669	2896	4364
EDDM13	34	34	18	67
EDEM1	777	738	976	1396
EDEM2	369	312	602	872
EDEM3	1343	1282	1842	2742
EDF1	1566	1362	2440	3348
EDIL3	28	23	57	59
EDNRA	34	28	61	62
EDRF1	2236	1974	3180	4646
EEA1	1358	1178	1656	2190
EED	962	883	1275	1844
EEF1A1	9074	7948	18955	26784
EEF1A2	226	200	363	542
EEF1AKMT1	189	161	272	413
EEF1AKMT2	130	139	137	216
EEF1AKMT3	28	14	13	33
EEF1AKMT4	61	71	99	125
EEF1AKNMT	1374	1243	1591	2335
EEF1B2	1839	1677	2833	3644
EEF1D	3913	3707	6528	8564
EEF1E1	539	450	990	1327
EEF1G	9804	9174	15771	22296
EEF2	47873	42076	81179	113014
EEF2K	428	391	478	775
EEF2KMT	208	143	341	418
EEFSEC	304	240	328	499
EEPD1	131	130	142	210
EFCAB10	47	48	57	107
EFCAB11	116	136	178	311
EFCAB13	78	61	67	143
EFCAB14	522	469	626	912
EFCAB2	131	105	141	228
EFCAB6	92	76	123	208
EFCAB7	455	392	623	959
EFEMP2	23	18	38	46
EFHC1	404	408	649	872
EFHD1	26	26	21	48
EFHD2	201	184	291	397
EFL1	1226	1102	1686	2513
EFNA4	37	31	59	83
EFNA5	125	97	120	186
EFNB1	165	117	243	377
EFNB2	143	106	258	377
EFNB3	19	33	24	32
EFR3A	840	829	1158	1729
EFR3B	118	95	128	258
EFTUD2	5900	5491	7770	11502
EGFL7	102	77	122	184
EGFL8	70	52	69	89
EGFLAM	16	13	36	34
EGFR	139	128	138	263
EGLN1	697	636	884	1385
EGLN2	443	422	643	958
EGLN3	49	44	59	104
EHBP1	1490	1352	1625	2603
EHBP1L1	52	41	51	90
EHD1	318	305	416	627
EHD3	149	145	213	283
EHD4	406	423	783	1025
EHHADH	176	172	245	349
EHMT1	1354	1248	1710	2551
EHMT2	1331	1174	1717	2603
EI24	2458	2090	3946	5305
EID1	1268	1239	1827	2372
EID2	242	253	359	467
EID2B	40	44	48	62
EID3	102	109	74	125
EIF1	1356	1259	1266	2148
EIF1AD	285	274	297	539
EIF1AX	390	462	674	943
EIF1B	396	355	475	760
EIF2A	2647	2306	4284	6176
EIF2AK1	2356	2108	2782	4287
EIF2AK2	1101	992	1348	1964
EIF2AK3	478	410	655	1028
EIF2AK4	1947	1704	2609	3751
EIF2B1	1271	1121	1961	2614
EIF2B2	771	681	1158	1629
EIF2B3	1396	1366	2153	3021
EIF2B4	762	769	1088	1427
EIF2B5	968	921	1566	2214
EIF2D	1606	1520	2581	3720
EIF2S1	1890	1793	2833	3981
EIF2S2	1771	1731	3057	4271
EIF2S3	4123	3631	6877	9181
EIF3A	14237	13983	19524	24268
EIF3B	8719	8497	12889	18288
EIF3C	73	67	111	182
EIF3D	7962	7298	12676	18245
EIF3E	7170	6360	12697	17650
EIF3F	1451	1387	2171	3363
EIF3G	2681	2519	4829	6834
EIF3H	2626	2459	4099	5677
EIF3I	6877	6184	12304	17284
EIF3J	746	724	1086	1351
EIF3K	3584	3476	5385	7639
EIF3L	6687	5567	12466	17165
EIF3M	6981	6865	10464	14407
EIF4A1	17424	16183	27587	38812
EIF4A2	2874	2822	4782	6498
EIF4A3	3496	3164	5495	7773
EIF4B	3520	3365	5647	7591
EIF4E	264	247	449	621
EIF4E2	865	810	1491	1978
EIF4E3	89	81	90	155
EIF4EBP1	589	615	812	1191
EIF4EBP2	157	128	235	352
EIF4ENIF1	810	778	925	1421
EIF4G1	16497	14747	19773	31328
EIF4G2	25051	22051	31128	48287
EIF4G3	4573	3991	5425	8383
EIF4H	1109	958	2202	2914
EIF5	5112	4774	7140	10433
EIF5A	2767	2723	4095	5681
EIF5A2	104	104	116	192
EIF5B	3694	3726	3980	4533
EIF6	815	738	1471	2044
EIPR1	461	431	646	928
ELAC1	79	77	103	188
ELAC2	3152	2847	4973	6993
ELAVL1	1476	1258	2048	3049
ELAVL2	164	134	266	377
ELF1	381	291	467	776
ELF2	940	844	1235	1933
ELF4	272	224	229	435
ELK1	487	374	623	902
ELK3	66	71	107	149
ELK4	290	287	333	539
ELL	157	129	225	347
ELL2	226	223	470	616
ELL3	71	52	116	175
ELMO1	31	29	44	61
ELMO2	556	479	731	978
ELMO3	65	59	83	146
ELMOD1	63	49	97	115
ELMOD2	561	545	872	1240
ELMOD3	204	118	265	391
ELMSAN1	394	322	295	548
ELOA	2412	2243	3249	4687
ELOB	1844	1671	2938	3882
ELOC	584	550	1114	1510
ELOF1	355	361	669	843
ELOVL1	306	252	558	748
ELOVL2	153	133	259	364
ELOVL4	282	306	494	710
ELOVL5	932	699	1587	2083
ELOVL6	201	151	255	311
ELOVL7	124	120	153	235
ELP1	4862	4428	6868	9582
ELP2	1879	1635	2446	3742
ELP3	688	662	1087	1610
ELP4	580	453	955	1344
ELP5	793	719	1375	1889
ELP6	750	741	1209	1775
EMB	317	262	563	853
EMC1	1983	1739	2186	3748
EMC10	965	873	1818	2382
EMC2	606	631	890	1170
EMC3	991	845	1837	2689
EMC4	603	507	908	1409
EMC6	103	116	306	402
EMC7	328	309	543	729
EMC8	551	494	810	1198
EMC9	186	220	290	414
EMD	856	757	1374	1794
EME1	596	544	858	1162
EME2	162	153	186	261
EMG1	1034	945	1598	2178
EMID1	37	27	47	69
EMILIN1	29	23	46	65
EMILIN2	665	546	716	1076
EMILIN3	201	170	239	370
EML1	532	567	800	1256
EML2	155	148	249	315
EML3	220	224	263	412
EML4	2211	2035	3295	4771
EML6	267	219	289	435
EMP2	119	67	192	279
EMP3	72	49	159	183
EMSY	553	446	692	992
EMX1	28	22	29	55
EN2	157	117	135	228
ENAH	2881	2631	4712	6188
ENC1	102	75	127	163
ENDOD1	131	116	227	312
ENDOG	342	324	561	699
ENDOV	117	113	152	223
ENGASE	292	300	406	577
ENHO	16	13	42	56
ENKD1	133	99	179	183
ENO1	41764	38197	71645	98020
ENO2	171	147	181	333
ENO3	26	30	44	44
ENO4	38	40	47	61
ENOPH1	837	841	1070	1566
ENOSF1	441	405	489	740
ENOX1	212	208	268	420
ENOX2	546	471	745	980
ENPEP	64	68	58	95
ENPP1	636	601	876	1359
ENPP4	242	228	386	591
ENPP5	30	30	44	65
ENSA	1034	1008	1749	2382
ENTPD1	34	23	27	44
ENTPD4	513	497	698	1012
ENTPD5	233	157	284	412
ENTPD6	513	510	822	1109
ENTPD7	718	643	933	1467
ENTR1	981	959	1312	1938
ENY2	986	1019	1495	2084
EOGT	387	285	529	760
EOMES	30	36	69	55
EP300	2917	2235	2180	4261
EP400	1759	1291	1052	2407
EPAS1	79	57	79	118
EPB41	3238	2913	4147	6213
EPB41L1	252	212	212	435
EPB41L2	2487	2246	3090	4276
EPB41L3	1049	947	1448	2015
EPB41L4A	114	86	99	165
EPB41L4B	168	162	203	347
EPB41L5	571	492	794	1214
EPC1	595	520	899	1312
EPC2	1047	987	1609	2481
EPDR1	43	47	75	94
EPG5	971	876	999	1714
EPHA10	38	27	52	97
EPHA2	159	138	166	292
EPHA3	397	338	590	840
EPHA4	641	535	837	1235
EPHA5	58	56	67	105
EPHA6	527	519	669	927
EPHA7	1139	1072	1524	2125
EPHA8	65	53	114	150
EPHB1	64	46	73	127
EPHB2	213	183	341	501
EPHB3	20	22	38	59
EPHB4	1068	981	1511	2016
EPHX1	367	307	349	631
EPHX2	131	102	149	229
EPHX4	65	62	88	130
EPM2A	65	48	69	119
EPN1	686	644	584	1149
EPN2	436	342	589	827
EPOP	33	37	31	69
EPOR	51	31	62	80
EPPK1	227	196	182	381
EPRS	15221	14356	23602	32768
EPS15	1645	1416	2052	3038
EPS15L1	533	499	608	1016
EPS8	469	395	715	1023
EPS8L1	40	39	50	80
ERAL1	595	534	879	1334
ERAP1	133	125	214	293
ERBB2	589	543	789	1192
ERBB3	36	30	46	68
