	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
EIF2AK4	1947	1705	1650	1344
EIF2B1	1271	1121	1180	842
EIF2B2	771	681	794	519
EIF2B3	1394	1366	1245	949
EIF2B4	762	769	713	563
EIF2B5	968	921	986	784
EIF2D	1605	1520	1601	1195
EIF2S1	1890	1793	1775	1276
EIF2S2	1773	1735	1916	1257
EIF2S3	4122	3628	4275	2905
EIF3A	14235	13981	13751	10335
EIF3B	8719	8497	8029	6079
EIF3C	73	67	99	59
EIF3D	7962	7297	7895	5934
EIF3E	7170	6362	7586	4692
EIF3F	1451	1387	1371	1045
EIF3G	2686	2524	3067	2094
EIF3H	2626	2459	2682	1737
EIF3I	6872	6182	7693	5411
EIF3J	743	724	779	543
EIF3K	3583	3476	3286	2414
EIF3L	6684	5566	7478	4951
EIF3M	6981	6867	6281	4494
EIF4A1	17427	16190	17110	12006
EIF4A2	2876	2820	2923	1983
EIF4A3	3497	3165	3532	2695
EIF4B	3523	3364	3568	2589
EIF4E	264	248	301	172
EIF4E2	865	810	932	575
EIF4E3	89	81	65	45
EIF4EBP1	589	615	476	359
EIF4EBP2	157	128	160	122
EIF4ENIF1	810	778	694	633
EIF4G1	16496	14744	14181	13293
EIF4G2	25050	22051	21326	19296
EIF4G3	4573	3990	3909	3819
EIF4H	1106	958	1364	1021
EIF5	5112	4771	4766	3864
EIF5A	2764	2720	2686	1907
EIF5A2	104	104	72	79
EIF5B	3693	3726	3303	2788
EIF6	815	738	821	587
EIPR1	461	431	399	299
ELAC1	79	77	93	59
ELAC2	3150	2847	3127	2415
ELAVL1	1477	1259	1342	1182
ELAVL2	164	134	189	120
ELF1	381	291	293	275
ELF2	938	844	833	664
ELF4	273	224	177	192
ELK1	487	374	421	338
ELK3	66	71	67	62
ELK4	290	287	247	280
ELL	157	129	161	119
ELL2	226	223	298	220
ELL3	71	52	60	77
ELMO2	556	479	450	452
ELMO3	64	59	83	70
ELMOD1	63	49	52	48
ELMOD2	561	545	568	413
ELMOD3	204	118	170	189
ELMSAN1	394	322	283	354
ELOA	2412	2243	2262	1904
ELOB	1847	1672	1770	1132
ELOC	587	552	676	488
ELOF1	355	361	375	236
ELOVL1	308	253	370	231
ELOVL2	153	133	148	132
ELOVL4	282	306	355	215
ELOVL5	932	699	1042	707
ELOVL6	201	151	180	128
ELOVL7	124	120	118	82
ELP1	4862	4428	4407	3430
ELP2	1878	1635	1651	1259
ELP3	688	661	731	488
ELP4	580	450	603	414
ELP5	793	719	905	566
ELP6	750	741	776	571
EMB	306	259	368	237
EMC1	1984	1739	1601	1527
EMC10	964	872	1178	757
EMC2	606	631	561	400
EMC3	991	845	1093	699
EMC4	603	507	581	402
EMC6	103	116	169	102
EMC7	328	309	341	246
EMC8	551	494	531	354
EMC9	186	220	194	147
EMD	856	756	932	770
EME1	596	544	542	357
EME2	162	153	122	129
EMG1	1034	945	939	677
EMILIN2	665	546	507	463
EMILIN3	201	170	191	148
EML1	532	567	526	460
EML2	155	148	136	133
EML3	220	224	174	208
EML4	2211	2038	2191	1630
EML5	1136	1111	927	785
EML6	267	219	194	164
EMP2	119	67	128	81
EMP3	72	49	102	58
EMSY	553	446	503	451
EN2	157	117	105	105
ENAH	2882	2631	3132	2388
ENC1	102	75	75	67
ENDOD1	131	116	137	113
ENDOG	342	324	320	266
ENDOV	117	113	86	98
ENGASE	292	300	299	242
ENKD1	133	99	106	85
ENO1	41754	38196	43307	30202
ENO2	171	147	139	117
ENOPH1	837	840	712	521
ENOSF1	442	405	313	359
ENOX1	212	208	188	175
ENOX2	546	471	508	412
ENPEP	64	68	55	35
ENPP1	638	603	658	437
ENPP4	242	228	245	174
ENSA	1034	1007	1086	721
ENTPD4	513	497	452	368
ENTPD5	233	157	206	171
ENTPD6	513	509	493	418
ENTPD7	718	642	666	517
ENTR1	981	959	839	663
ENY2	990	1020	893	619
EOGT	387	285	352	260
EP300	2917	2235	1788	2541
EP400	1759	1291	932	1536
EPAS1	79	57	52	60
EPB41	3237	2912	2812	2488
EPB41L1	252	213	192	208
EPB41L2	2487	2246	2274	1933
EPB41L3	1049	947	1012	681
EPB41L4A	114	86	86	90
EPB41L4B	168	162	132	111
EPB41L5	570	492	536	407
EPC1	608	536	606	567
EPC2	1047	987	1125	913
EPG5	971	876	797	697
EPHA2	159	138	139	97
EPHA3	397	338	382	273
EPHA4	641	535	542	420
EPHA5	58	56	43	44
EPHA6	527	519	461	386
EPHA7	1139	1072	978	788
EPHA8	65	53	82	46
EPHB1	64	46	50	75
EPHB2	213	183	232	218
EPHB4	1068	981	969	839
EPHX1	366	307	289	275
EPHX2	131	102	109	89
EPHX4	65	62	51	42
EPM2A	64	48	58	48
EPN1	686	643	478	607
EPN2	436	342	423	359
EPOR	51	31	48	27
EPPK1	227	196	154	206
EPRS	15223	14357	14330	10993
EPS15	1645	1416	1404	1171
EPS15L1	533	499	527	484
EPS8	469	395	449	357
ERAL1	595	534	603	564
ERAP1	133	125	151	115
ERBB2	589	543	555	463
ERBB4	120	123	121	107
ERBIN	2603	2307	2593	1865
ERC1	1290	1216	917	945
ERC2	382	303	311	299
ERCC1	538	493	501	383
ERCC2	558	470	533	475
ERCC3	1995	1770	1908	1483
ERCC4	637	659	506	486
ERCC6	1006	1013	958	803
ERCC6L	1841	1585	1784	1351
ERCC6L2	2118	1955	1935	1591
ERCC8	475	509	495	370
ERF	213	169	208	180
ERFE	52	34	36	26
ERG28	208	142	179	131
ERGIC1	435	344	630	422
ERGIC2	976	963	1014	650
ERGIC3	2421	2170	2562	1761
ERH	1356	1435	1750	1080
ERI1	410	374	335	273
ERI2	690	599	659	469
ERI3	924	807	890	681
ERICH1	257	230	239	197
ERICH5	61	61	54	40
ERLEC1	669	599	631	456
ERLIN1	480	467	427	339
ERLIN2	586	520	535	410
ERMAP	109	105	91	80
ERMARD	322	298	316	256
ERMP1	354	296	320	269
ERN1	139	125	116	118
ERO1A	1443	1347	1117	940
ERO1B	306	299	277	218
ERP29	1031	990	1222	744
ERP44	808	731	819	629
ERRFI1	273	256	338	211
ERV3-1	94	84	76	77
ERVFRD-1	148	132	101	109
ERVK3-1	410	443	369	282
ESCO1	940	875	856	655
ESCO2	619	536	617	426
ESD	2578	2397	2403	1693
ESF1	1539	1650	1676	1185
ESPL1	2442	1946	1824	1948
ESPNL	94	84	69	51
ESRP2	254	201	203	221
ESRRA	227	217	233	169
ESRRG	36	48	35	31
ESS2	748	768	679	600
ESYT1	2464	2216	2258	1992
ESYT2	1199	1049	1229	956
ETAA1	713	702	786	493
ETF1	3417	3368	3247	2273
ETFA	3370	3184	3302	2170
ETFB	964	946	858	677
ETFDH	892	790	806	590
ETFRF1	110	136	116	88
ETHE1	89	87	103	86
ETNK1	1138	972	1007	798
ETNK2	164	173	154	116
ETS2	372	283	308	289
ETV3	232	224	317	256
ETV6	39	33	33	26
EVC	508	455	268	344
EVI5	1173	1049	1019	902
EVI5L	181	156	159	131
EVL	397	328	299	300
EWSR1	6724	6601	7471	5290
EXD2	487	450	345	318
EXO1	4194	3981	3733	2954
EXO5	64	71	79	64
EXOC1	1070	1038	1104	728
EXOC2	1634	1460	1570	1138
EXOC3	716	673	662	586
EXOC4	1492	1308	1438	1128
EXOC5	1337	1273	1234	977
EXOC6	1114	1038	1011	827
EXOC6B	1038	844	877	787
EXOC7	1411	1224	1520	1112
EXOC8	1549	1413	1341	1131
EXOG	511	466	374	350
EXOSC1	401	361	411	268
EXOSC10	3386	3035	3444	2460
EXOSC2	1673	1649	1602	1164
EXOSC3	936	856	835	541
EXOSC4	549	455	418	326
EXOSC5	484	479	443	317
EXOSC6	159	196	85	77
EXOSC7	1172	1120	1025	786
EXOSC8	1385	1322	1159	859
EXOSC9	2053	2002	1987	1423
EXPH5	693	517	505	440
EXT1	827	696	908	755
EXT2	1575	1486	1638	1141
EXTL2	289	212	244	227
EXTL3	468	430	452	361
EYA1	245	241	271	245
EYA2	67	48	82	40
EYA3	1047	769	957	792
EYA4	462	463	543	374
EYS	111	110	116	118
EZH1	392	352	342	330
EZH2	1811	1679	1719	1341
EZR	2188	2177	2343	1648
F11R	200	202	176	165
F12	41	38	39	25
F2R	157	146	146	113
F2RL1	209	167	180	113
F8	122	108	115	110
FAAP100	690	592	653	540
FAAP20	126	133	131	103
FAAP24	73	65	59	54
FADD	262	212	251	146
FADS1	514	393	564	380
FADS2	443	348	496	318
FADS3	81	69	72	51
FAF1	2531	2292	2301	1767
FAF2	1052	999	1258	922
FAH	463	400	443	332
FAHD1	307	298	263	186
FAHD2A	234	197	201	175
FAHD2B	69	64	74	57
FAIM	933	864	778	501
FAM102A	67	58	58	44
FAM102B	281	259	238	179
FAM104A	138	146	122	95
FAM104B	181	154	179	95
FAM107B	130	128	124	86
FAM114A1	57	78	80	48
FAM114A2	501	465	514	352
FAM117A	161	102	112	121
FAM117B	276	249	246	269
FAM118A	256	227	243	167
FAM118B	508	441	437	340
FAM120A	2974	2732	2706	2627
FAM120AOS	129	115	126	90
FAM120B	1389	1174	1183	1073
FAM120C	235	182	202	183
FAM122B	540	423	382	423
FAM126A	979	896	953	725
FAM126B	463	416	445	352
FAM133B	126	142	126	123
FAM135A	1348	1218	1257	937
FAM136A	446	388	411	297
FAM13A	795	777	690	592
FAM13B	1394	1241	1248	1156
FAM13C	68	53	45	31
FAM149A	75	58	57	48
FAM149B1	370	339	288	267
FAM151B	88	51	54	40
FAM155B	70	64	81	67
FAM160A1	235	183	171	172
FAM160A2	438	386	428	366
FAM160B1	494	435	435	355
FAM160B2	132	101	121	91
FAM161A	329	336	289	209
FAM161B	87	79	92	81
FAM162A	875	893	801	558
FAM168A	81	60	94	77
FAM168B	323	246	402	280
FAM169A	980	894	814	631
FAM171A1	628	573	595	481
FAM171A2	112	105	98	70
FAM171B	372	335	405	285
FAM172A	293	311	295	235
FAM174A	89	64	70	46
FAM174C	429	395	401	300
FAM177A1	280	246	288	193
FAM184A	816	773	702	519
FAM184B	98	63	53	55
FAM185A	106	98	70	69
FAM186B	127	93	67	96
FAM189B	512	422	331	392
FAM192A	489	487	569	394
FAM193A	722	636	522	574
FAM193B	619	464	424	472
FAM199X	1297	1125	1362	1032
FAM200A	266	248	239	181
FAM200B	379	362	318	216
FAM204A	887	920	724	490
FAM207A	179	202	148	120
FAM20B	815	752	705	581
FAM210A	245	237	228	192
FAM210B	140	130	109	85
FAM214A	279	214	213	194
FAM216A	592	512	582	414
FAM217B	452	385	429	342
FAM219A	100	97	88	67
FAM219B	245	242	210	169
FAM221A	62	58	50	34
FAM222B	80	56	64	82
FAM227A	131	126	138	118
FAM229B	155	140	113	102
FAM234A	364	331	316	295
FAM234B	479	445	397	364
FAM241A	114	101	91	88
FAM32A	376	345	263	194
FAM3A	347	317	360	267
FAM3C	26	44	36	31
FAM49B	1158	1108	1189	786
FAM50A	1393	1513	1500	1030
FAM53B	377	345	346	298
FAM53C	376	346	557	387
FAM71E1	47	36	39	31
FAM72B	29	41	28	34
FAM76A	341	336	355	262
FAM76B	288	294	321	212
FAM81A	88	42	64	48
FAM83B	122	83	82	78
FAM83D	964	836	889	731
FAM83G	334	312	255	249
FAM83H	171	168	150	137
FAM89A	124	121	95	59
FAM89B	66	46	49	38
FAM8A1	338	367	302	246
FAM91A1	1209	1138	1172	902
FAM92A	451	430	421	284
FAM98A	1283	1213	1253	968
FAM98B	518	334	335	394
FAM98C	81	70	63	38
FAN1	846	773	761	590
FANCA	2337	1821	1773	1813
FANCB	1289	1241	1110	841
FANCC	429	362	362	328
FANCD2	4364	3949	3788	3196
FANCE	431	333	322	255
FANCG	720	617	632	531
FANCI	6471	5998	6035	4816
FANCL	910	951	874	653
FANCM	1708	1671	1608	1369
FAR1	2075	1944	1905	1487
FAR2	508	466	538	429
FARP1	560	431	466	480
FARP2	959	792	921	717
FARS2	449	428	439	319
FARSA	2400	2244	2128	1665
FARSB	2129	1735	2071	1681
FAS	83	73	64	60
FASN	12079	8942	6657	10082
FASTK	871	823	869	613
FASTKD1	1117	1041	1111	864
FASTKD2	1681	1505	1540	1052
FASTKD3	426	412	467	315
FASTKD5	1106	803	949	712
FAT1	5775	5030	5017	4243
FAT2	111	83	80	103
FAT3	422	372	359	307
FAT4	662	598	601	534
FAU	3427	3059	3824	2522
FAXC	185	183	132	143
FAXDC2	74	60	58	55
FBF1	403	347	401	311
FBH1	1823	1672	1726	1382
FBL	3499	3496	3338	2746
FBLIM1	47	53	49	37
FBLN1	243	205	176	175
FBN1	1055	902	825	731
FBN2	3801	3288	2921	2753
FBRS	374	266	248	316
FBRSL1	413	335	282	285
FBXL12	174	147	155	112
FBXL13	94	63	54	57
FBXL14	169	130	184	130
FBXL15	195	166	132	99
FBXL17	179	157	181	144
FBXL18	185	159	154	171
FBXL19	884	715	694	541
FBXL2	218	178	192	173
FBXL20	237	202	213	227
FBXL3	1193	1085	1113	812
FBXL4	603	571	568	472
FBXL5	1293	1145	1152	800
FBXL6	253	230	237	190
FBXL8	53	48	49	32
FBXO10	474	319	372	342
FBXO11	1316	1072	833	851
FBXO16	52	60	49	51
FBXO17	78	54	63	51
FBXO21	1164	1036	1126	773
FBXO22	1398	1283	1128	880
FBXO25	218	191	256	170
FBXO28	1234	1051	1119	866
FBXO3	818	753	765	544
FBXO30	1128	944	916	779
FBXO31	240	249	194	171
FBXO32	78	70	71	57
FBXO33	412	478	484	325
FBXO34	724	606	731	478
FBXO38	876	758	794	642
FBXO4	178	176	176	124
FBXO42	619	575	624	519
FBXO44	106	85	96	65
FBXO45	154	129	145	102
FBXO46	148	140	132	155
FBXO5	1754	1647	1713	1290
FBXO7	1955	1560	1845	1335
FBXO8	225	214	197	148
FBXO9	1724	1491	1419	1156
FBXW11	1263	1256	1142	973
FBXW2	937	888	817	726
FBXW4	266	230	248	175
FBXW5	821	708	831	604
FBXW7	630	564	655	503
FBXW8	310	303	203	230
FBXW9	195	207	232	192
FCF1	487	462	402	304
FCGRT	73	81	74	65
FCHO2	446	422	421	331
FCHSD1	113	95	98	85
FCHSD2	494	434	387	362
FCSK	204	174	160	137
FDFT1	1886	1758	1958	1411
FDPS	2944	2612	2807	1981
FDX1	241	280	216	144
FDX2	105	97	86	64
FDXACB1	93	77	74	64
FDXR	296	298	264	222
FECH	629	523	595	402
FEM1A	813	778	915	753
FEM1B	2104	1826	2002	1392
FEM1C	566	457	450	423
FEN1	2138	2064	2035	1552
FER	596	530	536	394
FERMT1	55	46	35	35
FERMT2	1122	1055	1183	917
FEZ1	70	62	57	42
FEZ2	475	492	379	330
FGD1	415	349	323	344
FGD4	109	109	102	91
FGD6	249	202	211	207
FGF2	81	68	53	37
FGFR1	585	453	494	495
FGFR1OP	1148	1063	915	767
FGFR1OP2	555	523	544	360
FGFR2	603	489	526	422
FGFR3	656	579	646	588
FGFR4	223	174	196	180
FGFRL1	196	173	198	170
FGGY	117	106	88	70
FH	2184	1932	2294	1536
FHAD1	49	42	43	43
FHIT	39	37	33	36
FHL1	930	842	829	671
FHL2	141	141	140	93
FHOD1	635	584	491	553
FHOD3	205	208	197	163
FIBP	784	735	760	595
FICD	76	72	67	72
FIG4	601	590	608	462
FIGN	204	168	119	134
FIGNL1	1828	1630	1932	1358
FILIP1L	528	499	427	402
FIP1L1	600	534	813	475
FIS1	859	805	782	525
FITM2	108	87	79	71
FJX1	135	104	96	62
FKBP10	1088	997	1205	895
FKBP11	126	104	90	134
FKBP14	313	287	243	186
FKBP15	1090	902	1026	883
FKBP1A	255	191	184	152
FKBP3	1739	1755	1620	1315
FKBP4	6825	6275	6314	4746
FKBP5	583	583	535	485
FKBP7	170	140	146	130
FKBP8	1485	1475	1279	1012
FKBP9	219	201	181	144
FKBPL	323	254	281	197
FKRP	120	103	109	103
FKTN	526	497	498	399
FLAD1	1218	1094	1181	872
FLCN	744	619	619	509
FLII	5474	4913	5672	4236
FLNA	11448	9607	10315	10642
FLNB	5488	4912	5023	4528
FLNC	1110	911	851	916
FLOT1	568	560	433	472
FLOT2	459	402	318	342
FLRT3	127	94	123	113
FLT1	151	127	135	85
FLT4	503	463	454	414
FLVCR1	607	520	530	466
FLYWCH1	524	502	375	367
FLYWCH2	221	239	218	172
FMC1	131	159	143	101
FMN2	232	226	171	175
FMNL2	1055	979	912	821
FMNL3	199	182	153	148
FMO4	43	53	50	32
FMR1	2092	2061	1861	1562
FN1	630	543	509	519
FN3KRP	330	326	338	238
FNBP1	447	381	369	343
FNBP1L	466	447	488	329
FNBP4	2165	1938	1921	1550
FNDC3A	2370	2042	2233	1690
FNDC3B	536	484	489	416
FNIP1	1239	1088	1089	934
FNIP2	816	660	672	518
FNTA	662	674	643	445
FOCAD	3173	2763	2974	2284
FOPNL	452	452	344	267
FOXA1	64	41	45	36
FOXC1	672	635	679	527
FOXD1	125	120	120	80
FOXF2	85	75	78	60
FOXG1	106	76	120	76
FOXJ2	89	59	69	70
FOXJ3	466	391	456	388
FOXK1	296	217	282	317
FOXK2	1092	912	1029	867
FOXM1	1463	1148	1263	1264
FOXN2	305	260	229	197
FOXN3	211	201	216	199
FOXO1	286	217	205	212
FOXO3	174	165	158	131
FOXO3B	74	77	55	39
FOXO4	82	81	102	73
FOXP2	242	180	256	196
FOXP4	158	119	84	122
FOXRED1	553	491	521	380
FOXRED2	1675	1391	1116	1584
FP565260.1	108	85	143	73
FPGS	549	498	531	377
FPGT	402	363	483	298
FRA10AC1	491	514	436	350
FRAS1	1264	1042	885	1014
FRAT2	55	65	34	28
FREM2	1081	900	972	795
FRG1	276	329	289	199
FRMD4A	152	157	117	147
FRMD4B	85	62	75	45
FRMD5	129	133	111	104
FRMD6	306	254	352	251
FRMD8	179	170	142	88
FRRS1	374	294	349	256
FRS2	445	365	416	345
FRY	167	157	162	137
FRYL	1547	1420	1409	1169
FSBP	183	143	137	110
FSCN1	186	157	144	152
FSD1	286	271	252	235
FSD1L	213	173	149	138
FSIP2	758	754	732	607
FSTL1	580	522	550	435
FTH1	753	738	641	658
FTL	2135	1600	2286	1775
FTO	1078	1008	879	799
FTSJ1	499	454	516	383
FTSJ3	3048	2991	3034	2239
FUBP1	5428	4759	6055	3994
FUBP3	995	921	1267	885
FUCA1	335	363	373	249
FUCA2	1504	1383	1498	1018
FUNDC1	208	240	212	148
FUNDC2	440	425	458	301
FUOM	153	162	141	95
FURIN	429	381	364	331
FUS	2930	2319	2017	2515
FUT10	245	195	226	156
FUT11	152	176	137	114
FUT8	598	507	515	415
FUZ	389	332	366	277
FXN	183	175	156	122
FXR1	2220	2251	2196	1662
FXR2	1093	1080	1129	820
FXYD5	87	62	124	103
FYCO1	941	784	602	563
FYN	1112	1085	1106	876
FYTTD1	548	470	534	370
FZD1	84	72	82	64
FZD2	63	48	57	51
FZD3	446	406	365	316
FZD4	111	76	93	55
FZD5	77	67	86	66
FZD6	820	707	774	659
FZD7	121	110	106	88
FZD8	89	107	88	82
FZD9	80	66	88	40
FZR1	418	365	393	330
G2E3	1448	1299	1260	970
G3BP1	6907	6449	6703	4921
G3BP2	3322	3427	3069	2407
G6PC3	263	227	231	252
G6PD	586	508	555	512
GAA	747	629	692	663
GAB1	225	190	250	170
GAB2	54	30	54	28
GABARAP	466	415	461	305
GABARAPL1	89	103	75	59
GABARAPL2	612	595	601	440
GABBR1	213	164	117	181
GABBR2	39	39	43	33
GABPA	440	412	450	310
GABPB1	554	452	483	362
GABPB2	250	226	241	182
GABRB3	240	201	219	179
GAD1	201	143	168	105
GADD45A	65	84	62	58
GADD45B	55	47	82	55
GADD45GIP1	778	847	744	540
GAK	1137	1002	1177	972
GAL	256	210	289	206
GALC	69	45	52	42
GALE	248	221	238	186
GALK1	301	295	314	228
GALK2	346	307	301	200
GALM	298	249	265	167
GALNS	151	157	156	112
GALNT1	1130	1030	1040	701
GALNT10	120	129	131	134
GALNT11	737	699	710	556
GALNT12	90	85	97	57
GALNT13	915	873	734	627
GALNT16	90	78	63	78
GALNT18	274	219	300	196
GALNT2	1197	1107	1069	875
GALNT6	82	68	60	46
GALNT7	739	656	649	495
GALT	220	198	237	167
GAMT	166	183	193	135
GAN	631	615	488	361
GANAB	6677	5905	5399	5540
GANC	242	181	167	169
GAPDH	25453	21708	27108	18945
GAPDHS	233	201	224	171
GAPVD1	4048	3627	3621	2965
GAR1	301	317	291	226
GAREM1	138	124	103	100
GAREM2	80	69	72	62
GARNL3	322	296	294	261
GARS	5200	5057	4588	3597
GART	6497	6183	6119	4661
GAS1	103	90	60	48
GAS2L3	333	289	323	232
GAS6	87	80	90	53
GAS8	311	316	250	191
GASK1A	106	103	95	92
GATA2	117	95	105	87
GATA4	66	62	47	56
GATA6	187	126	133	133
GATAD1	261	232	271	189
GATAD2A	1194	1135	1233	1035
GATAD2B	513	447	313	454
GATB	663	573	652	469
GATD1	574	497	487	380
GBA	375	259	351	264
GBA2	1400	1284	1208	1020
GBE1	1012	842	888	656
GBF1	2715	2206	2137	2413
GCA	245	252	277	178
GCAT	477	362	472	354
GCC1	522	515	528	378
GCC2	1888	1778	1575	1435
GCDH	561	485	550	372
GCFC2	1458	1359	1551	1140
GCH1	123	131	115	98
GCHFR	55	45	51	30
GCLC	797	732	733	589
GCLM	643	602	583	488
GCN1	7508	6767	6102	5851
GCNA	88	62	76	89
GCNT1	138	118	84	67
GCNT7	63	38	33	43
GDAP1	376	360	346	274
GDAP2	691	588	605	546
GDE1	843	721	798	542
GDF11	82	81	92	72
GDI1	1120	1029	1287	956
GDI2	4185	3963	4168	2836
GDPD1	146	114	135	82
GDPGP1	32	34	37	38
GEMIN2	647	584	496	379
GEMIN4	2388	2095	2226	1898
GEMIN5	3689	3349	3225	2585
GEMIN6	657	573	573	399
GEMIN7	214	193	179	145
GEMIN8	103	90	88	84
GEN1	1173	1058	1144	882
GET1	96	108	101	64
GET3	870	786	978	608
GET4	411	392	371	278
GFER	141	140	141	89
GFI1	51	49	39	44
GFM1	2439	2283	2393	1780
GFM2	1685	1469	1521	1057
GFOD1	95	128	99	85
GFOD2	220	223	198	152
GFPT1	1188	1157	1004	782
GFPT2	217	185	188	182
GGA1	654	591	657	509
GGA2	1481	1429	1396	1210
GGA3	517	417	456	385
GGCT	379	329	324	233
GGCX	747	661	694	550
GGH	756	743	672	491
GGNBP2	1191	1047	931	800
GGPS1	494	431	419	332
GGT7	244	228	236	241
GHDC	200	160	156	145
GHITM	3661	3420	3814	2529
GHRL	54	46	44	53
GID4	223	215	168	177
GID8	528	535	495	358
GIGYF1	928	802	732	691
GIGYF2	2889	2659	2833	2083
GIN1	157	123	141	112
GINM1	661	621	516	430
GINS1	498	529	444	381
GINS2	1167	1172	1053	795
GINS3	392	336	427	284
GINS4	459	466	444	374
GIPC1	573	503	662	450
GIT1	327	304	287	322
GIT2	624	553	588	526
GJA1	427	376	423	335
GJC1	385	406	341	320
GK	83	87	88	69
GK5	451	456	346	296
GKAP1	165	191	118	128
GLA	4135	3564	4453	2921
GLB1	1203	1032	1252	891
GLB1L	109	74	81	76
GLB1L2	404	369	371	313
GLCCI1	178	146	219	156
GLCE	476	380	486	360
GLDC	445	383	413	341
GLE1	1288	1171	1269	1003
GLG1	2412	2216	1951	1709
GLI2	53	48	39	65
GLI3	342	267	199	319
GLI4	89	65	72	66
GLIPR1	239	240	259	168
GLIPR2	41	40	50	28
GLMN	1391	1304	1262	998
GLMP	451	367	504	381
GLO1	4766	4583	4250	3016
GLOD4	1127	1101	972	652
GLRB	117	120	129	96
GLRX2	337	284	311	184
GLRX3	2101	2070	1976	1317
GLRX5	309	298	318	161
GLS	1953	1879	1683	1306
GLS2	233	189	185	233
GLT8D1	834	819	920	667
GLT8D2	50	53	57	40
GLTP	233	205	202	153
GLUD1	1364	1217	1157	826
GLUL	5111	5011	5273	3758
GLYCTK	134	131	133	96
GLYR1	1548	1425	1283	1204
GM2A	215	197	198	108
GMCL1	517	482	460	400
GMDS	475	415	353	330
GMEB1	544	531	546	400
GMEB2	225	195	211	164
GMFB	526	524	483	326
GMIP	95	61	60	65
GMNN	2124	2036	1931	1428
GMPPA	543	444	536	388
GMPPB	593	583	588	399
GMPR2	1048	1001	996	689
GMPS	3453	3167	3054	2434
GNA11	532	484	591	477
GNA12	218	189	169	160
GNA13	610	562	525	411
GNAI1	371	347	333	251
GNAI2	557	524	622	483
GNAI3	1710	1689	1855	1256
GNAL	150	172	148	129
GNAQ	276	238	286	201
GNAS	7724	6857	6225	6144
GNAT2	69	57	55	43
GNAZ	149	133	177	122
GNB1	1635	1505	1628	1443
GNB1L	210	163	191	156
GNB2	1028	858	972	847
GNB3	41	40	32	33
GNB4	580	511	551	397
GNB5	143	146	147	120
GNE	925	907	911	725
GNG12	135	101	97	69
GNG5	125	134	134	79
GNL1	801	743	799	634
GNL2	4241	3900	3962	2955
GNL3	10694	10213	9926	6822
GNL3L	1999	1835	1310	1494
GNPAT	2461	2156	2182	1515
GNPDA1	653	547	729	523
GNPDA2	178	156	190	124
GNPNAT1	554	532	515	356
GNPTAB	1213	1082	1052	905
GNPTG	224	207	191	180
GNS	1196	1007	1071	750
GOLGA1	430	348	316	287
GOLGA2	575	522	573	425
GOLGA3	1716	1610	1561	1386
GOLGA4	5824	5740	5677	4391
GOLGA5	874	772	898	632
GOLGA7	302	265	288	182
GOLGB1	5860	5702	5661	4587
GOLIM4	1384	1301	1465	1002
GOLM1	1253	1323	1317	977
GOLPH3	543	459	497	349
GOLPH3L	344	293	307	292
GOLT1B	227	202	190	145
GON4L	2076	1865	1757	1577
GON7	117	108	87	54
GOPC	695	645	571	379
GORAB	195	164	194	166
GORASP1	367	290	404	320
GORASP2	752	623	986	627
GOSR1	353	353	348	278
GOSR2	186	119	153	110
GOT1	964	840	950	707
GOT2	2444	2069	2137	1856
GPAA1	816	715	755	627
GPALPP1	781	685	691	540
GPAM	1048	965	990	690
GPANK1	165	161	152	131
GPAT2	45	28	32	35
GPAT3	110	77	100	74
GPAT4	1031	941	927	733
GPATCH1	420	401	411	365
GPATCH11	283	284	230	239
GPATCH2	881	794	786	598
GPATCH2L	775	752	686	534
GPATCH3	328	346	338	225
GPATCH4	1817	1700	2015	1289
GPATCH8	1704	1304	1179	1296
GPBP1	1944	1838	1954	1530
GPBP1L1	1273	1172	1145	1000
GPC1	137	117	102	86
GPC3	646	584	474	514
GPC4	279	273	171	211
GPC6	213	207	185	181
GPCPD1	568	526	487	366
GPD1L	402	373	383	263
GPD2	1041	1051	789	623
GPHN	755	726	636	663
GPI	5001	4168	4933	4311
GPKOW	678	560	564	431
GPLD1	150	141	152	125
GPM6A	54	40	38	25
GPM6B	206	159	170	122
GPN1	741	698	740	570
GPN2	353	308	318	231
GPN3	763	775	726	471
GPR107	578	454	538	434
GPR108	287	267	379	273
GPR137	170	136	145	119
GPR137B	161	124	132	103
GPR137C	92	81	56	49
GPR155	141	147	152	120
GPR160	185	173	206	166
GPR161	159	140	150	126
GPR176	85	55	67	67
GPR18	88	83	45	70
GPR180	499	436	512	413
GPR183	79	79	70	57
GPR22	102	119	88	61
GPR27	81	64	57	39
GPR39	68	57	52	36
GPR63	107	92	110	102
GPR75	129	65	88	126
GPRASP1	286	261	243	198
GPRASP2	1478	1302	1299	954
GPRC5B	52	42	50	46
GPRIN1	722	696	580	589
GPRIN3	109	100	117	74
GPS1	1790	1501	1723	1270
GPS2	536	447	597	420
GPSM1	223	173	207	145
GPSM2	935	922	845	666
GPT	79	64	47	56
GPT2	552	534	516	345
GPX1	1282	1171	1214	817
GPX3	135	101	106	110
GPX4	3085	2878	2991	2051
GPX8	324	294	302	210
GRAMD1A	528	476	479	395
GRAMD1B	88	112	105	83
GRAMD1C	78	86	83	53
GRAMD4	230	238	224	184
GRB10	911	821	751	649
GRB14	215	174	166	142
GRB2	778	739	789	638
