	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
COX18	221	176	362	503
COX19	72	82	105	156
COX20	552	527	696	1044
COX4I1	2956	3024	4475	5927
COX5A	2261	2024	3430	5173
COX5B	1560	1455	2384	3400
COX6A1	360	290	515	582
COX6B1	1306	1055	2313	3339
COX6C	1358	1331	2325	3130
COX7A2	1652	1491	2652	3629
COX7A2L	549	503	905	1215
COX7B	2104	1948	3366	4916
COX7C	2012	1756	3202	4274
COX8A	641	570	1008	1317
CPD	2014	1793	2834	4270
CPE	615	547	896	1289
CPEB2	85	73	76	144
CPEB3	60	43	49	83
CPEB4	254	245	438	575
CPLANE1	2538	2139	2791	4492
CPM	217	221	280	451
CPNE1	1208	1091	1642	2411
CPNE2	186	171	328	459
CPNE3	2352	2054	3710	5217
CPNE8	448	417	583	864
CPOX	944	959	1443	1980
CPPED1	83	77	158	184
CPS1	1451	1308	2014	2906
CPSF1	1780	1497	2119	3286
CPSF2	2905	2819	4120	5733
CPSF3	2841	2638	4396	6106
CPSF4	340	305	581	734
CPSF6	2766	2645	4413	6105
CPSF7	796	669	1158	1669
CPT1A	243	205	302	467
CPT1B	289	269	408	643
CPT1C	52	44	86	134
CPT2	715	573	977	1446
CPTP	42	32	67	124
CPVL	1125	1085	1973	2906
CPZ	74	66	54	115
CR2	84	85	115	145
CRABP2	51	50	54	86
CRACR2A	215	180	238	337
CRADD	50	55	128	170
CRAMP1	473	389	513	764
CRAT	150	129	167	319
CRBN	793	719	1273	1854
CRCP	96	77	108	134
CREB1	398	355	593	914
CREB3	443	426	764	1085
CREB3L2	267	216	218	387
CREB3L4	101	90	156	198
CREB5	164	142	168	292
CREBBP	2031	1527	1514	3284
CREBL2	107	114	143	192
CREBRF	208	201	240	377
CREBZF	1034	1050	1534	1899
CREG1	222	188	300	411
CRELD1	149	142	208	302
CRELD2	550	605	720	1041
CREM	138	135	213	284
CRIM1	609	555	716	1058
CRIPT	203	208	241	363
CRISPLD1	349	327	521	707
CRK	873	932	1252	1813
CRKL	1121	1082	1607	2268
CRLF3	501	445	628	960
CRNKL1	1453	1402	2070	2869
CROCC	242	226	251	369
CROT	265	254	339	590
CRPPA	72	72	89	141
CRTAP	1437	1200	1895	2780
CRTC1	158	88	122	223
CRTC2	235	201	246	408
CRTC3	270	220	289	428
CRY1	832	807	1286	1862
CRY2	209	175	276	392
CRYBG3	2850	2706	3923	5735
CRYL1	54	48	82	103
CRYZ	383	341	631	900
CRYZL1	473	409	573	795
CS	2184	1805	2559	4344
CSAD	119	101	123	189
CSDE1	24238	23306	37864	52453
CSE1L	13721	12301	22135	30949
CSGALNACT2	180	210	232	339
CSK	830	731	809	1506
CSKMT	79	68	129	161
CSNK1A1	2917	2659	4595	6464
CSNK1D	822	687	763	1327
CSNK1E	278	240	420	635
CSNK1G1	339	274	397	648
CSNK1G2	840	691	1470	1939
CSNK1G3	675	614	902	1308
CSNK2A1	840	709	1085	1716
CSNK2A2	1013	892	940	1484
CSNK2B	308	240	576	784
CSPG5	394	331	565	766
CSPP1	1351	1211	1472	2196
CSRNP1	39	50	98	149
CSRNP2	272	225	303	533
CSRNP3	53	65	78	123
CSRP2	732	764	1182	1678
CST3	430	431	558	817
CSTB	419	369	734	942
CSTF1	897	748	1386	2066
CSTF2	1642	1514	2547	3697
CSTF2T	924	865	1436	1902
CSTF3	1227	1162	1747	2517
CTBP1	1333	1281	2130	2845
CTBP2	601	512	723	1118
CTBS	137	137	186	272
CTC1	247	198	279	442
CTCF	1813	1716	2736	4018
CTDNEP1	288	214	296	537
CTDP1	409	405	478	792
CTDSP1	235	181	265	408
CTDSP2	187	168	222	331
CTDSPL	283	253	409	537
CTDSPL2	892	793	1353	1974
CTH	240	217	332	491
CTIF	137	148	207	328
CTNNA1	3244	2999	4438	6618
CTNNAL1	2753	2508	4194	5822
CTNNB1	14311	12848	22643	32081
CTNNBIP1	48	59	84	113
CTNNBL1	1039	948	1447	1908
CTNND1	2511	2268	2961	4612
CTNS	228	148	320	551
CTPS1	4105	3893	5323	7985
CTPS2	835	767	1162	1668
CTR9	2748	2549	4123	5387
CTSA	657	627	1096	1570
CTSB	347	321	537	832
CTSC	678	602	1053	1516
CTSF	154	154	265	389
CTSH	324	342	519	750
CTSL	857	836	1492	1874
CTSV	305	301	500	611
CTSZ	131	103	152	241
CTTN	2681	2781	4010	5119
CTTNBP2	202	189	217	298
CTTNBP2NL	315	288	374	518
CTU2	519	445	900	1092
CUBN	47	45	62	86
CUEDC1	118	119	155	224
CUEDC2	640	670	944	1419
CUL1	2792	2779	4172	6052
CUL2	1070	973	1479	2098
CUL3	3030	2841	3803	5797
CUL4A	890	805	1176	1749
CUL4B	3378	3142	4446	6659
CUL5	2024	1978	2697	3845
CUL7	671	562	858	1243
CUL9	481	390	444	840
CUTA	1058	1017	1539	2185
CUTC	530	500	737	1009
CUX1	1010	888	1004	1782
CWC15	1510	1574	2347	3230
CWC22	1398	1309	2117	2796
CWC25	268	254	304	418
CWC27	841	836	1265	1538
CWF19L1	1290	1210	1999	2757
CWF19L2	1460	1358	1955	2701
CXADR	412	310	604	773
CXCR4	32	38	72	98
CXXC1	903	830	1312	1774
CXXC5	43	34	64	84
CXorf38	317	274	419	562
CXorf40A	57	59	80	144
CXorf40B	111	115	137	188
CXorf56	600	660	906	1298
CYB561	38	39	70	79
CYB561A3	164	169	263	401
CYB561D2	159	97	235	300
CYB5A	468	429	608	811
CYB5B	971	898	1446	2032
CYB5D1	225	230	307	431
CYB5D2	153	132	167	291
CYB5R1	447	450	731	1085
CYB5R3	461	368	464	828
CYB5R4	661	589	1019	1413
CYB5RL	106	105	130	239
CYBA	720	655	1036	1397
CYBC1	183	160	236	348
CYBRD1	59	45	72	93
CYC1	2524	2174	3806	5699
CYCS	2171	2244	3295	4449
CYFIP1	2022	1719	3240	4474
CYFIP2	1487	1237	1870	3001
CYHR1	259	254	310	518
CYLD	893	791	1245	1822
CYP20A1	472	391	615	886
CYP26A1	61	47	95	117
CYP27B1	107	79	116	196
CYP2J2	68	67	108	142
CYP2R1	209	184	289	433
CYP2U1	89	76	118	225
CYP39A1	100	83	140	207
CYP4V2	156	132	163	231
CYP51A1	1570	1501	2117	3111
CYREN	322	339	432	565
CYSTM1	133	101	211	282
CYTH1	316	297	397	602
CYTH2	325	345	589	723
CYTH3	196	184	272	415
CZIB	323	333	475	684
D2HGDH	246	218	258	443
DAAM1	447	464	429	727
DAAM2	171	150	184	284
DAB2	60	33	64	89
DAB2IP	264	207	241	453
DACH1	317	270	341	545
DACH2	29	47	60	85
DACT1	74	78	89	137
DAD1	869	730	1581	2208
DAG1	1124	892	1378	2317
DAGLA	77	68	103	147
DAGLB	258	208	336	572
DALRD3	986	832	1388	2012
DAP	145	101	178	313
DAP3	2148	2071	3163	4426
DAPK1	727	640	969	1496
DAPK3	531	510	997	1370
DARS	3073	2882	4960	6823
DARS2	1735	1473	2761	4203
DAXX	1325	1236	1810	2586
DAZAP1	2128	1899	3402	4847
DAZAP2	384	305	883	1238
DBF4	1289	1167	2112	3069
DBF4B	426	339	375	666
DBI	560	431	1316	1750
DBN1	1217	1149	1978	2578
DBNDD1	37	49	71	65
DBNDD2	206	169	279	414
DBNL	935	959	1240	1930
DBP	60	61	84	131
DBR1	769	679	1110	1598
DBT	566	478	630	924
DCAF1	2657	2339	3186	4987
DCAF10	423	371	565	842
DCAF11	614	630	972	1399
DCAF12	976	785	1306	1944
DCAF13	2095	2082	3115	4512
DCAF15	331	322	639	924
DCAF16	603	533	934	1341
DCAF17	359	285	498	806
DCAF4	429	360	624	872
DCAF5	657	552	863	1189
DCAF6	1668	1440	2364	3445
DCAF7	771	676	954	1509
DCAF8	1496	1282	1938	2985
DCAKD	263	240	366	566
DCBLD1	383	363	531	714
DCBLD2	952	826	1477	2066
DCDC1	50	41	62	111
DCDC2B	78	54	82	124
DCHS1	79	57	75	130
DCK	399	376	607	925
DCLK1	39	35	54	78
DCLK2	149	108	141	211
DCLRE1A	955	821	1593	2256
DCLRE1B	352	344	510	704
DCLRE1C	551	505	671	991
DCP1A	732	628	987	1557
DCP1B	217	211	317	452
DCP2	1564	1433	2233	3231
DCPS	432	405	582	920
DCTD	350	333	480	653
DCTN1	3954	3718	5111	7016
DCTN2	1680	1522	2266	3404
DCTN3	442	452	769	1100
DCTN4	1063	1038	1664	2345
DCTN5	530	489	680	904
DCTN6	237	250	435	625
DCTPP1	784	697	1396	1615
DCUN1D1	332	331	424	597
DCUN1D2	225	234	260	351
DCUN1D3	75	86	108	177
DCUN1D4	590	557	747	1034
DCUN1D5	1765	1755	2535	3406
DCXR	996	871	1425	2039
DDA1	111	141	264	364
DDAH1	208	206	217	372
DDAH2	81	69	131	157
DDB1	10676	9519	18435	25216
DDB2	252	204	386	611
DDHD1	785	720	1070	1516
DDHD2	1054	977	1497	2208
DDI2	700	646	756	1145
DDIAS	710	638	1160	1810
DDIT3	86	86	115	181
DDIT4	211	187	217	255
DDOST	3542	3359	6120	8623
DDR1	110	76	137	241
DDR2	464	440	611	920
DDRGK1	1061	1262	1460	2033
DDTL	69	55	187	243
DDX1	5927	5727	8380	11698
DDX10	2132	2221	3065	4119
DDX11	824	766	1037	1489
DDX17	12966	12574	16604	24222
DDX18	3961	3870	5838	8134
DDX19A	103	112	197	226
DDX19B	113	106	142	208
DDX20	2091	1908	3263	4750
DDX21	10814	10463	16977	23464
DDX23	3464	3398	5121	7325
DDX24	4313	3958	5822	8700
DDX27	2030	2036	2955	3864
DDX28	472	415	766	1060
DDX31	773	715	1092	1599
DDX39A	2336	2140	3399	4684
DDX39B	7643	6722	11186	16228
DDX3X	10550	10134	16399	22625
DDX41	1327	1284	2072	2738
DDX42	3265	2965	4415	6106
DDX46	4383	4457	5858	7329
DDX47	2012	1929	3061	4344
DDX49	1224	1176	1998	2837
DDX5	17450	17450	24104	34367
DDX50	1622	1535	2523	3558
DDX51	518	462	621	902
DDX52	1584	1417	2187	3295
DDX54	2060	2165	3474	4590
DDX55	1394	1285	1594	2286
DDX56	2606	2187	3999	5960
DDX58	157	134	227	301
DDX59	534	443	953	1385
DDX6	3407	2887	4268	6639
DDX60	85	62	116	135
DEAF1	1251	1200	1924	2788
DECR1	367	360	498	756
DECR2	76	71	105	160
DEDD	345	265	469	656
DEDD2	102	100	156	186
DEF8	577	559	887	1193
DEGS1	2209	1976	4023	5560
DEK	6736	6812	9227	12405
DELE1	419	323	647	942
DENND10	87	65	102	127
DENND11	367	326	518	732
DENND1A	420	353	398	783
DENND1B	424	403	662	853
DENND2C	421	361	592	850
DENND3	199	150	187	328
DENND4A	1494	1299	1927	2936
DENND4B	657	489	655	1098
DENND4C	2110	1886	2832	4184
DENND5A	2544	2307	3834	5485
DENND5B	626	569	877	1262
DENND6A	1246	1139	1591	2511
DENR	1353	1382	2015	2518
DEPDC1	2302	2170	3729	5212
DEPDC1B	943	1002	1455	2114
DEPDC4	50	43	67	72
DEPDC5	237	242	327	535
DEPDC7	368	317	475	723
DEPTOR	61	52	81	122
DERA	406	378	636	885
DERL1	454	309	655	1026
DERL2	350	254	601	845
DERL3	51	42	86	128
DERPC	907	665	1258	1939
DESI1	421	396	629	915
DESI2	574	575	918	1227
DFFA	1822	1600	2630	3817
DFFB	224	187	280	431
DGAT1	214	165	366	485
DGCR2	829	691	1206	1676
DGCR6	31	29	41	79
DGCR6L	408	415	658	882
DGCR8	1697	1731	2262	3135
DGKA	79	74	81	129
DGKD	862	726	1052	1602
DGKE	459	441	586	899
DGKH	851	662	860	1352
DGKQ	279	210	349	467
DGKZ	355	326	502	732
DGLUCY	131	135	195	320
DGUOK	491	413	875	1197
DHCR24	1941	1638	2720	4077
DHCR7	950	776	1663	2244
DHDDS	280	296	409	591
DHFR	85	67	72	140
DHFR2	68	57	91	121
DHODH	250	225	291	471
DHPS	477	404	736	1046
DHRS1	121	107	134	215
DHRS11	129	109	135	227
DHRS12	50	47	57	100
DHRS13	74	72	108	149
DHRS3	236	182	281	384
DHRS4	142	131	192	259
DHRS7	859	758	1378	1917
DHRS7B	508	432	780	1019
DHRSX	133	123	178	258
DHTKD1	1307	1060	1672	2612
DHX15	7011	6672	11568	16338
DHX16	1855	1691	2847	4014
DHX29	2362	2273	3565	5017
DHX30	6011	5160	8828	12888
DHX32	1028	933	1591	2259
DHX33	1135	927	1022	1932
DHX34	806	711	1121	1728
DHX35	527	498	712	1049
DHX36	3040	2847	2965	4937
DHX37	1807	1643	2492	3556
DHX38	2354	2166	3392	4361
DHX40	1494	1321	2272	3121
DHX57	2085	1882	2663	4072
DHX8	2699	2474	3553	5375
DHX9	19451	17629	31341	44158
DIABLO	44	33	56	87
DIAPH1	2767	2482	2036	4177
DIAPH2	1312	1205	1630	2592
DIAPH3	1891	1863	2300	3344
DICER1	5057	4750	6807	9704
DIDO1	2992	2625	3356	5255
DIMT1	819	643	1320	1850
DIP2A	912	787	937	1594
DIP2B	1776	1576	2423	3469
DIP2C	356	310	383	670
DIPK1A	207	186	293	411
DIPK1B	747	633	1079	1461
DIPK2A	387	352	489	708
DIRAS1	37	46	73	80
DIS3	3767	3649	5861	8326
DIS3L	1935	1707	2673	3866
DIS3L2	579	524	642	1035
DISC1	126	120	158	262
DISP1	162	132	273	388
DIXDC1	233	238	317	417
DKC1	4530	4535	6650	8877
DLAT	2213	1989	3606	5000
DLC1	393	254	456	715
DLD	2588	2552	3986	5399
DLG1	1340	1232	1900	2820
DLG3	409	348	529	771
DLG4	48	40	56	110
DLG5	1116	1009	1183	1943
DLGAP4	134	92	119	183
DLGAP5	3483	3096	5594	7782
DLK2	39	46	48	87
DLL1	69	65	63	90
DLST	1013	940	1302	1919
DLX1	105	103	133	187
DLX2	258	194	273	468
DMAC1	253	243	385	549
DMAC2	293	289	434	598
DMAC2L	224	195	269	430
DMAP1	456	477	591	794
DMC1	235	240	349	439
DMD	129	92	194	283
DMKN	820	629	1394	1848
DMPK	308	239	270	445
DMTF1	1893	1668	2820	3978
DMWD	360	237	323	556
DMXL1	2742	2291	3588	5417
DMXL2	2048	1824	2851	4124
DNA2	1874	1751	2326	3466
DNAAF2	724	661	876	1336
DNAAF4	83	69	118	129
DNAAF5	889	768	923	1614
DNAH1	466	366	443	761
DNAH10	61	55	78	99
DNAH11	600	537	781	1211
DNAH14	2879	2700	3625	5471
DNAH17	81	79	103	180
DNAH6	247	234	292	452
DNAH7	109	96	121	190
DNAJA1	5773	5714	9275	11958
DNAJA2	2241	2204	3439	4725
DNAJA3	1584	1461	2285	3151
DNAJB1	777	705	1178	1529
DNAJB11	593	551	935	1240
DNAJB12	454	441	749	1005
DNAJB14	251	263	375	530
DNAJB2	52	50	91	125
DNAJB4	182	156	259	363
DNAJB5	59	42	68	111
DNAJB6	406	413	663	940
DNAJB7	43	44	75	121
DNAJB9	109	94	222	297
DNAJC1	652	581	939	1415
DNAJC10	3311	3177	4738	6701
DNAJC11	1993	1873	2351	3598
DNAJC12	223	228	358	503
DNAJC13	3150	3008	4042	5839
DNAJC14	474	476	823	1132
DNAJC16	408	349	508	746
DNAJC17	250	243	342	416
DNAJC18	245	193	302	443
DNAJC19	167	184	251	373
DNAJC2	2186	2185	3133	4150
DNAJC21	1077	1005	1599	2004
DNAJC24	218	208	338	468
DNAJC25	197	234	296	480
DNAJC27	62	56	71	85
DNAJC28	51	49	68	98
DNAJC3	936	910	1285	1760
DNAJC30	48	45	71	91
DNAJC4	44	39	84	162
DNAJC5	394	358	517	803
DNAJC6	359	272	527	766
DNAJC7	3081	2891	4575	6010
DNAJC8	2274	2386	3416	4525
DNAJC9	690	670	1111	1488
DNAL1	182	165	168	289
DNAL4	59	62	103	153
DNASE1	111	81	121	202
DNASE1L1	231	191	330	483
DNASE2	219	206	449	542
DND1	74	67	90	117
DNHD1	616	447	447	846
DNLZ	81	89	133	167
DNM1	279	214	248	495
DNM1L	2741	2484	4156	6080
DNM2	2570	2208	3566	5198
DNM3	198	158	238	331
DNMBP	438	351	392	616
DNMT1	6305	5662	7378	11632
DNMT3A	263	246	339	474
DNMT3B	535	470	736	1185
DNPEP	468	383	774	1063
DNPH1	594	517	751	1045
DNTTIP1	518	501	740	938
DNTTIP2	4276	4052	6607	8832
DOCK1	2579	2326	3151	4810
DOCK11	1068	1024	1563	2243
DOCK3	780	632	796	1409
DOCK4	906	785	1143	1831
DOCK5	701	582	690	1226
DOCK6	263	198	193	378
DOCK7	3906	3541	5265	8036
DOCK8	72	69	75	139
DOCK9	835	735	1107	1708
DOHH	143	135	222	312
DOK1	97	70	107	170
DOK3	66	57	73	118
DOK4	35	27	68	106
DOLK	340	273	616	727
DOLPP1	192	158	358	491
DONSON	1071	985	1527	2351
DOP1A	2332	2056	3193	4734
DOP1B	461	413	450	802
DOT1L	814	701	672	1222
DPAGT1	237	241	434	620
DPCD	562	569	713	968
DPF1	116	107	164	237
DPF2	609	567	803	1152
DPH1	566	496	936	1242
DPH2	856	749	1291	1804
DPH3	123	110	169	218
DPH5	799	730	1182	1577
DPH6	170	143	236	319
DPH7	700	635	1035	1456
DPM1	959	946	1666	2263
DPM2	116	123	236	302
DPM3	136	131	208	247
DPP3	770	684	1070	1511
DPP7	113	93	149	206
DPP8	1146	1010	1365	2165
DPP9	776	652	929	1496
DPY19L1	646	563	1059	1474
DPY19L3	584	608	809	1277
DPY19L4	660	539	823	1175
DPY30	249	224	474	637
DPYSL2	491	389	545	818
DPYSL4	223	187	317	425
DPYSL5	734	657	784	1285
DR1	910	855	1453	2035
DRAM2	337	268	555	885
DRAP1	624	729	971	1168
DRC3	149	125	179	272
DRG1	2315	2191	3827	5216
DRG2	1325	1255	2093	2946
DROSHA	2836	2355	2673	4730
DSC2	358	300	423	647
DSC3	576	516	722	1066
DSCC1	830	818	1131	1650
DSE	492	397	824	1102
DSG2	1917	1582	2105	3245
DSN1	891	845	1313	1843
DSP	7376	6512	8239	12943
DST	8557	8219	11381	15804
DSTN	769	710	1164	1550
DSTYK	724	640	733	1242
DTD1	65	70	87	133
DTD2	186	169	243	415
DTL	2613	2116	3689	5417
DTNA	249	208	328	529
DTNB	335	294	439	687
DTNBP1	352	317	287	532
DTWD1	149	143	226	368
DTWD2	169	114	278	335
DTX3	63	52	119	173
DTX3L	135	96	179	273
DTYMK	992	980	1523	2091
DUS1L	2689	2402	3890	5521
DUS2	421	416	509	795
DUS3L	1078	1047	1617	2329
DUS4L	183	154	256	387
DUSP1	130	87	261	374
DUSP11	548	536	861	1254
DUSP12	524	532	793	1135
DUSP14	180	158	306	460
DUSP16	477	369	518	738
DUSP19	46	65	72	98
DUSP2	48	42	59	98
DUSP22	152	138	225	312
DUSP3	261	220	413	584
DUSP7	162	129	203	287
DUSP9	168	155	263	384
DUT	1079	1135	1571	2261
DVL1	993	912	1734	2264
DVL2	835	685	1229	1811
DVL3	435	388	581	844
DXO	405	357	548	783
DYM	705	563	1100	1527
DYNC1H1	25806	23595	29083	46334
DYNC1I2	1175	1115	1724	2463
DYNC1LI1	2342	2290	3628	4991
DYNC1LI2	1285	1233	1542	2377
DYNC2H1	11061	10542	14488	19976
DYNC2LI1	563	538	836	1114
DYNLL1	868	855	1595	2079
DYNLL2	166	146	213	329
DYNLRB1	262	234	473	653
DYNLT1	564	548	978	1370
DYNLT3	165	159	256	343
DYRK1A	1175	1026	1790	2734
DYRK1B	99	88	156	244
DYRK2	804	781	1054	1554
DYRK3	458	383	574	929
DYRK4	241	231	508	719
DZANK1	85	74	89	142
DZIP1	2304	2088	2843	4238
DZIP1L	303	294	278	405
DZIP3	1854	1757	2876	4054
E2F1	699	647	1186	1678
E2F2	243	229	259	399
E2F3	631	574	856	1344
E2F4	1165	900	1742	2371
E2F5	622	570	829	1221
E2F6	223	228	280	410
E2F7	667	619	854	1305
E2F8	602	517	663	1013
E4F1	894	780	1274	1882
EAF1	330	280	492	702
EAF2	89	71	114	189
EAPP	658	574	1055	1402
EARS2	729	673	1069	1482
EBAG9	189	164	292	429
EBF3	216	188	278	385
EBLN2	138	131	156	237
EBNA1BP2	2709	2819	4152	5712
EBP	348	324	569	816
EBPL	317	276	461	686
ECD	1074	995	1577	2248
ECE1	464	344	488	848
ECEL1	61	45	85	140
ECH1	249	238	307	394
ECHDC1	1379	1287	2027	2593
ECHDC2	85	44	67	111
ECHS1	2192	2077	3006	4281
ECI1	751	613	1070	1511
ECI2	2074	1964	3096	4493
ECM2	109	120	80	171
ECPAS	6307	5902	8601	12627
ECSIT	552	516	901	1232
ECT2	3292	2905	5095	6932
EDA2R	51	36	54	103
EDARADD	44	32	49	68
EDC3	861	739	799	1464
EDC4	2121	1669	2895	4361
EDEM1	777	738	976	1396
EDEM2	368	312	603	873
EDEM3	1343	1282	1842	2742
EDF1	1566	1362	2440	3348
EDRF1	2236	1974	3179	4645
EEA1	1358	1179	1655	2190
EED	971	889	1280	1850
EEF1A1	9067	7945	18949	26772
EEF1A2	226	200	363	541
EEF1AKMT1	189	161	272	413
EEF1AKMT2	129	140	137	216
EEF1AKMT4	61	71	99	125
EEF1AKNMT	1374	1244	1591	2335
EEF1B2	1839	1677	2832	3643
EEF1D	3913	3705	6524	8563
EEF1E1	539	450	990	1328
EEF1G	9802	9170	15760	22283
EEF2	47867	42064	81180	113022
EEF2K	428	391	478	775
EEF2KMT	208	143	341	416
EEFSEC	304	240	328	499
EEPD1	131	130	142	210
EFCAB10	47	48	57	107
EFCAB11	117	136	182	312
EFCAB13	78	61	67	143
EFCAB14	546	490	656	966
EFCAB2	131	105	141	230
EFCAB6	92	76	123	208
EFCAB7	455	392	622	959
EFHC1	404	408	649	872
EFHD2	201	184	291	397
EFL1	1225	1101	1685	2506
EFNA4	37	31	59	83
EFNA5	125	97	120	186
EFNB1	165	117	243	377
EFNB2	143	106	258	377
EFR3A	840	829	1158	1729
EFR3B	118	95	128	259
EFTUD2	5900	5490	7770	11499
EGFL7	102	77	122	184
EGFL8	70	52	69	89
EGFR	139	128	138	263
EGLN1	378	359	434	681
EGLN2	443	422	643	958
EGLN3	49	44	59	104
EHBP1	1490	1352	1625	2603
EHD1	318	305	416	627
EHD3	149	145	213	283
EHD4	406	423	783	1025
EHHADH	176	172	246	349
EHMT1	1354	1248	1710	2551
EHMT2	1331	1174	1717	2602
EI24	2459	2091	3949	5311
EID1	1268	1239	1827	2372
EID2	242	253	359	467
EID3	102	109	74	125
EIF1	1356	1262	1268	2153
EIF1AD	285	274	297	539
EIF1AX	389	462	674	942
EIF1B	397	355	478	764
EIF2A	2646	2306	4285	6175
EIF2AK1	2356	2108	2782	4286
EIF2AK2	1101	992	1348	1964
EIF2AK3	477	410	655	1028
EIF2AK4	1947	1705	2609	3749
EIF2B1	1271	1121	1961	2614
EIF2B2	771	681	1158	1629
EIF2B3	1394	1366	2152	3016
EIF2B4	762	769	1088	1426
EIF2B5	968	921	1566	2214
EIF2D	1605	1520	2581	3721
EIF2S1	1890	1793	2834	3981
EIF2S2	1773	1735	3061	4272
EIF2S3	4122	3628	6875	9182
EIF3A	14235	13981	19524	24268
EIF3B	8719	8497	12887	18288
EIF3C	73	67	111	182
EIF3D	7962	7297	12676	18247
EIF3E	7170	6362	12696	17649
EIF3F	1451	1387	2172	3362
EIF3G	2686	2524	4844	6843
EIF3H	2626	2459	4099	5675
EIF3I	6872	6182	12301	17277
EIF3J	743	724	1087	1352
EIF3K	3583	3476	5385	7640
EIF3L	6684	5566	12461	17158
EIF3M	6981	6867	10463	14406
EIF4A1	17427	16190	27583	38812
EIF4A2	2876	2820	4782	6499
EIF4A3	3497	3165	5496	7775
EIF4B	3523	3364	5648	7595
EIF4E	264	248	449	621
EIF4E2	865	810	1491	1973
EIF4E3	89	81	90	156
EIF4EBP1	589	615	812	1191
EIF4EBP2	157	128	235	352
EIF4ENIF1	810	778	925	1420
EIF4G1	16496	14744	19771	31324
EIF4G2	25050	22051	31127	48287
EIF4G3	4573	3990	5425	8384
EIF4H	1106	958	2201	2916
EIF5	5112	4771	7139	10433
EIF5A	2764	2720	4096	5679
EIF5A2	104	104	116	192
EIF5B	3693	3726	3980	4531
EIF6	815	738	1471	2043
EIPR1	461	431	646	929
ELAC1	79	77	103	188
ELAC2	3150	2847	4972	6984
ELAVL1	1477	1259	2050	3049
ELAVL2	164	134	266	377
ELF1	381	291	467	776
ELF2	938	844	1235	1933
ELF4	273	224	229	435
ELK1	487	374	623	902
ELK3	66	71	107	149
ELK4	290	287	333	539
ELL	157	129	225	347
ELL2	226	223	470	616
ELL3	71	52	116	175
ELMO2	556	479	731	977
ELMO3	64	59	83	146
ELMOD1	63	49	97	115
ELMOD2	561	545	872	1239
ELMOD3	204	118	265	391
ELMSAN1	394	322	295	548
ELOA	2412	2243	3249	4687
ELOB	1847	1672	2942	3889
ELOC	587	552	1121	1513
ELOF1	355	361	669	843
ELOVL1	308	253	561	751
ELOVL2	153	133	260	365
ELOVL4	282	306	494	711
ELOVL5	932	699	1587	2083
ELOVL6	201	151	255	311
ELOVL7	124	120	153	235
ELP1	4862	4428	6866	9580
ELP2	1878	1635	2446	3741
ELP3	688	661	1087	1610
ELP4	580	450	955	1343
ELP5	793	719	1375	1889
ELP6	750	741	1208	1774
EMB	306	259	546	833
EMC1	1984	1739	2186	3748
EMC10	964	872	1818	2381
EMC2	606	631	890	1172
EMC3	991	845	1837	2688
EMC4	603	507	908	1409
EMC6	103	116	306	402
EMC7	328	309	543	729
EMC8	551	494	810	1198
EMC9	186	220	290	414
EMD	856	756	1374	1794
EME1	596	544	857	1160
EME2	162	153	186	261
EMG1	1034	945	1597	2178
EMILIN2	665	546	716	1076
EMILIN3	201	170	239	370
EML1	532	567	800	1256
EML2	155	148	249	315
EML3	220	224	263	412
EML4	2211	2038	3298	4771
EML5	1136	1111	1340	1889
EML6	267	219	289	436
EMP2	119	67	192	279
EMP3	72	49	159	183
EMSY	553	446	693	992
EN2	157	117	135	228
ENAH	2882	2631	4713	6185
ENC1	102	75	127	163
ENDOD1	131	116	227	312
ENDOG	342	324	561	699
ENDOV	117	113	152	223
ENGASE	292	300	406	577
ENKD1	133	99	179	183
ENO1	41754	38196	71646	98016
ENO2	171	147	181	332
ENOPH1	837	840	1070	1566
ENOSF1	442	405	489	741
ENOX1	212	208	268	420
ENOX2	546	471	745	980
ENPEP	64	68	58	94
ENPP1	638	603	876	1359
ENPP4	242	228	386	591
ENSA	1034	1007	1749	2381
ENTPD4	513	497	698	1012
ENTPD5	233	157	284	412
ENTPD6	513	509	822	1109
ENTPD7	718	642	933	1467
ENTR1	981	959	1312	1938
ENY2	990	1020	1499	2096
EOGT	387	285	528	759
EP300	2917	2235	2180	4260
EP400	1759	1291	1052	2406
EPAS1	79	57	79	118
EPB41	3237	2912	4146	6213
EPB41L1	252	213	212	435
EPB41L2	2487	2246	3090	4276
EPB41L3	1049	947	1448	2015
EPB41L4A	114	86	99	165
EPB41L4B	168	162	203	347
EPB41L5	570	492	795	1215
EPC1	608	536	919	1358
EPC2	1047	987	1609	2481
EPG5	971	876	999	1714
EPHA2	159	138	166	292
EPHA3	397	338	590	840
EPHA4	641	535	837	1235
EPHA5	58	56	67	105
EPHA6	527	519	671	927
EPHA7	1139	1072	1524	2125
EPHA8	65	53	114	150
EPHB1	64	46	73	127
EPHB2	213	183	341	501
EPHB4	1068	981	1511	2016
EPHX1	366	307	349	631
EPHX2	131	102	149	229
EPHX4	65	62	88	130
EPM2A	64	48	69	119
EPN1	686	643	584	1149
EPN2	436	342	589	827
EPOR	51	31	62	80
EPPK1	227	196	182	381
EPRS	15223	14357	23604	32767
EPS15	1645	1416	2052	3038
EPS15L1	533	499	608	1016
EPS8	469	395	715	1023
ERAL1	595	534	879	1334
ERAP1	133	125	214	293
ERBB2	589	543	789	1192
