	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
CMTM3	132	173	45	69	62	53	78	145
CMTM4	134	127	64	101	195	202	237	362
CMTM6	758	813	342	674	521	491	850	1250
CMTM7	167	263	90	149	217	187	294	408
CMTM8	186	259	96	129	88	83	134	200
CMTR1	1490	1762	713	1334	2143	2028	2929	4136
CMTR2	277	295	106	213	374	306	556	833
CMYA5	7	4	4	4	67	61	97	147
CNBP	5196	6993	2708	4694	2990	2701	4787	6432
CNDP2	1055	1392	502	897	605	564	760	1253
CNIH1	1039	1396	510	941	502	466	912	1229
CNIH4	1219	1347	544	1003	1064	943	1693	2577
CNKSR3	49	69	21	27	61	45	57	109
CNN2	772	962	386	649	200	165	283	485
CNN3	4031	4318	1663	3227	2056	1774	3218	4564
CNNM1	262	370	157	247	100	75	93	105
CNNM2	161	214	90	124	219	249	269	433
CNNM3	306	360	148	227	350	336	461	695
CNNM4	201	243	99	189	248	188	285	494
CNOT1	4776	5318	2387	3929	14353	12232	17494	27599
CNOT10	1224	1381	559	1113	2269	2107	3427	4931
CNOT11	991	1111	364	748	774	797	1248	1769
CNOT2	950	1099	436	890	1273	1075	2123	3096
CNOT3	1111	1440	490	983	672	524	583	1016
CNOT4	368	458	150	295	356	298	443	738
CNOT6	504	536	208	421	1573	1363	1436	2512
CNOT6L	161	157	65	114	283	257	292	474
CNOT7	226	231	89	164	1233	1226	1712	2571
CNOT8	611	775	270	547	528	555	741	1110
CNOT9	1387	1404	631	1096	834	737	1227	1859
CNP	1303	1757	608	995	761	724	1137	1535
CNPPD1	381	645	175	345	168	146	298	386
CNPY2	169	171	76	160	283	289	323	500
CNPY3	350	393	155	270	363	317	428	687
CNPY4	67	96	43	68	120	117	164	242
CNRIP1	46	70	25	49	68	35	55	111
CNST	110	114	40	88	385	315	479	745
CNTF	4	2	0	1	63	58	62	132
CNTLN	317	367	154	310	610	567	818	1088
CNTN1	301	267	169	272	261	211	385	524
CNTNAP1	68	63	28	48	70	65	66	109
CNTNAP3	6	12	3	6	54	35	69	82
CNTRL	251	242	80	199	1119	1043	1285	1890
CNTROB	79	106	43	81	741	661	1046	1425
COA1	315	401	158	299	534	427	1060	1384
COA3	456	698	179	389	304	284	416	523
COA4	747	909	278	588	471	486	789	1063
COA5	107	106	44	77	110	108	180	243
COA6	997	1204	387	859	732	663	949	1239
COA7	453	626	241	434	686	680	887	1214
COA8	60	84	22	55	80	64	152	209
COASY	615	694	251	430	760	646	852	1333
COBL	200	241	87	179	259	228	246	448
COBLL1	333	349	135	322	323	318	417	627
COCH	3717	4156	1955	3592	1374	1183	1903	2845
COG1	576	705	257	462	751	682	855	1326
COG2	934	1069	428	792	1971	1912	3029	4490
COG3	392	473	216	379	669	610	997	1397
COG4	731	840	377	639	1122	1049	1711	2486
COG5	1163	1133	533	948	971	871	1418	2070
COG6	943	963	418	741	646	586	867	1313
COG7	390	463	217	322	366	326	477	696
COG8	358	470	171	283	292	260	505	682
COIL	561	730	260	509	1137	1034	1870	2518
COL10A1	1	0	1	3	184	164	260	393
COL11A2	8	8	4	6	55	45	53	74
COL12A1	23	31	11	32	77	67	98	131
COL13A1	24	23	12	29	67	60	63	120
COL14A1	814	924	458	838	240	214	286	420
COL18A1	302	453	184	328	887	833	856	1402
COL19A1	31	39	10	42	75	63	86	126
COL24A1	17	14	10	14	45	46	60	91
COL25A1	199	253	119	223	223	224	280	369
COL27A1	26	26	24	24	380	298	348	599
COL2A1	86	90	33	61	662	592	532	978
COL4A1	1067	1487	612	1031	816	742	977	1414
COL4A2	792	1181	494	801	1088	1042	1197	1945
COL4A3	32	48	34	40	56	55	62	112
COL4A4	198	236	103	140	59	45	68	102
COL4A5	272	366	168	281	1079	1014	1208	1822
COL4A6	135	185	63	146	355	339	486	682
COL5A1	109	131	60	87	205	203	159	357
COL5A2	358	409	232	322	62	67	111	151
COL6A1	1129	1503	692	1169	609	513	560	974
COL6A2	335	426	201	361	279	274	377	577
COL7A1	6	6	11	13	257	256	263	359
COLEC12	290	338	146	243	156	160	262	383
COLGALT1	1125	1430	615	959	953	926	1445	1912
COLGALT2	45	48	22	37	119	107	118	200
COLQ	19	26	20	27	65	42	57	80
COMMD1	302	351	149	253	179	160	277	331
COMMD10	295	308	137	236	150	130	208	307
COMMD2	574	621	232	477	546	463	765	1120
COMMD3	383	492	167	309	305	270	474	704
COMMD3-BMI1	53	70	21	41	103	98	196	246
COMMD4	1022	1320	417	825	940	879	1347	1737
COMMD5	90	155	44	70	139	126	229	336
COMMD6	347	359	137	286	285	253	433	672
COMMD8	389	454	210	394	297	297	442	541
COMMD9	313	397	151	290	330	267	720	975
COMT	1249	1482	517	933	622	652	826	1266
COMTD1	334	481	182	284	219	222	318	459
COP1	320	370	138	273	1436	1307	2009	3067
COPA	5610	6858	2638	4839	5559	5323	7784	11516
COPB1	4476	4826	1982	3921	4951	4726	7643	11121
COPB2	5311	6055	2365	4453	5270	4899	8221	11534
COPE	2454	3046	1085	1862	1385	1264	1928	2675
COPG1	3399	4038	1713	2994	2275	1885	3377	4833
COPG2	2157	2317	1009	1842	1442	1259	1766	2597
COPRS	510	705	254	416	657	603	819	1314
COPS2	2125	2312	965	1852	1630	1605	2493	3474
COPS3	3133	3604	1398	2669	6443	5519	11050	15562
COPS4	2067	2199	920	1731	1538	1391	2418	3402
COPS5	1357	1551	616	1140	1652	1598	2315	3219
COPS6	4975	5812	2215	4025	1296	1162	1569	2252
COPS7A	1066	1117	406	787	457	440	689	937
COPS7B	625	662	242	465	415	342	445	696
COPS8	993	1015	392	658	687	661	1176	1776
COPS9	902	1356	544	980	348	400	436	572
COPZ1	2027	2462	1076	1685	1402	1333	1840	2651
COQ10A	168	241	100	134	115	88	200	252
COQ10B	270	337	114	282	210	236	368	450
COQ2	255	351	139	241	497	469	682	1098
COQ3	614	577	216	466	585	541	924	1345
COQ4	200	244	81	147	354	305	437	678
COQ5	534	615	195	397	308	265	487	677
COQ6	487	616	213	412	423	376	698	1057
COQ7	337	417	148	271	346	350	556	700
COQ8A	904	1125	518	768	1817	1735	2836	4115
COQ8B	298	364	133	239	238	223	346	496
COQ9	327	424	156	266	454	507	742	1035
CORO1A	96	130	40	82	40	32	88	108
CORO1B	885	1278	413	713	600	528	977	1388
CORO1C	3750	4339	1674	3078	1514	1241	2049	2897
CORO2A	105	101	45	77	43	26	77	103
COTL1	516	572	187	359	55	61	118	145
COX10	150	171	67	98	304	290	404	592
COX11	660	874	296	625	1073	962	1709	2265
COX14	364	417	131	276	152	126	257	359
COX15	934	1141	396	752	612	543	919	1291
COX16	136	181	64	133	125	97	208	269
COX17	204	300	84	180	257	253	336	502
COX18	348	310	133	252	221	176	362	503
COX19	94	129	46	83	72	82	105	156
COX20	53	40	20	32	552	527	696	1044
COX4I1	4019	5263	1912	3378	2956	3024	4475	5927
COX5A	3133	4128	1362	2781	2261	2024	3430	5173
COX5B	2519	3082	1114	1992	1560	1455	2384	3400
COX6A1	712	1019	373	627	360	290	515	582
COX6B1	4845	6244	2213	3844	1306	1055	2313	3339
COX6C	1649	1661	746	1358	1358	1331	2325	3130
COX7A2	3464	3925	1408	2992	1652	1491	2652	3629
COX7A2L	743	860	335	536	549	503	905	1215
COX7B	3579	3388	1611	2946	2104	1948	3366	4916
COX7C	1633	1770	664	1184	2012	1756	3202	4274
COX8A	1011	1601	456	886	641	570	1008	1317
CPD	2240	2672	1274	2274	2014	1793	2834	4270
CPE	1282	1617	749	1189	615	547	896	1289
CPEB2	77	104	40	67	85	73	76	144
CPEB3	54	88	38	49	60	43	49	83
CPEB4	221	273	112	202	254	245	438	575
CPLANE1	911	1004	431	810	2538	2139	2791	4492
CPM	83	94	45	71	217	221	280	451
CPNE1	1014	1195	548	748	1208	1091	1642	2411
CPNE2	99	130	41	80	186	171	328	459
CPNE3	2203	2662	1056	1888	2352	2054	3710	5217
CPNE8	556	664	256	449	448	417	583	864
CPOX	707	919	283	597	944	959	1443	1980
CPPED1	102	117	50	86	83	77	158	184
CPS1	131	154	82	122	1451	1308	2014	2906
CPSF1	1085	1523	600	966	1780	1497	2119	3286
CPSF2	2610	2849	1168	2072	2905	2819	4120	5733
CPSF3	2189	2419	978	1823	2841	2638	4396	6106
CPSF4	578	585	223	443	340	305	581	734
CPSF6	2157	2874	1112	2084	2766	2645	4413	6105
CPSF7	1109	1497	518	985	796	669	1158	1669
CPT1A	249	209	101	166	243	205	302	467
CPT1B	19	11	18	17	289	269	408	643
CPT1C	56	45	19	40	52	44	86	134
CPT2	1062	1182	489	823	715	573	977	1446
CPTP	184	232	75	149	42	32	67	124
CPVL	1417	1668	705	1328	1125	1085	1973	2906
CPZ	4	7	4	7	74	66	54	115
CR2	102	88	63	94	84	85	115	145
CRABP2	285	329	124	221	51	50	54	86
CRACR2A	77	75	34	57	215	180	238	337
CRADD	91	117	40	81	50	55	128	170
CRAMP1	239	289	98	143	473	389	513	764
CRAT	58	46	25	39	150	129	167	319
CRBN	342	434	155	298	793	719	1273	1854
CRCP	109	155	56	92	96	77	108	134
CREB1	491	585	183	376	398	355	593	914
CREB3	205	221	66	175	443	426	764	1085
CREB3L2	647	818	285	501	267	216	218	387
CREB3L4	61	91	31	67	101	90	156	198
CREB5	150	142	53	94	164	142	168	292
CREBBP	1154	1369	553	978	2031	1527	1514	3284
CREBL2	54	70	35	55	107	114	143	192
CREBRF	62	68	31	69	208	201	240	377
CREBZF	170	232	74	130	1034	1050	1534	1899
CREG1	1044	1277	563	1000	222	188	300	411
CRELD1	93	110	54	73	149	142	208	302
CRELD2	244	403	145	285	550	605	720	1041
CREM	426	499	170	389	138	135	213	284
CRIM1	373	380	207	363	609	555	716	1058
CRIPT	314	387	135	272	203	208	241	363
CRISPLD1	313	345	164	319	349	327	521	707
CRK	553	752	265	454	873	932	1252	1813
CRKL	789	1075	310	649	1121	1082	1607	2268
CRLF3	402	409	168	317	501	445	628	960
CRNKL1	1123	1278	532	917	1453	1402	2070	2869
CROCC	121	207	71	137	242	226	251	369
CROT	279	317	140	242	265	254	339	590
CRPPA	23	43	8	24	72	72	89	141
CRTAP	1113	1445	656	1063	1437	1200	1895	2780
CRTC1	162	211	82	129	158	88	122	223
CRTC2	432	547	187	381	235	201	246	408
CRTC3	163	196	104	152	270	220	289	428
CRY1	389	435	197	325	832	807	1286	1862
CRY2	49	81	32	53	209	175	276	392
CRYBG3	508	603	256	447	2850	2706	3923	5735
CRYL1	138	163	79	128	54	48	82	103
CRYZ	802	830	348	571	383	341	631	900
CRYZL1	444	481	213	399	473	409	573	795
CS	3040	3581	1319	2550	2184	1805	2559	4344
CSAD	23	23	11	27	119	101	123	189
CSDE1	8394	9588	4123	7455	24238	23306	37864	52453
CSE1L	17120	20311	8352	15612	13721	12301	22135	30949
CSGALNACT2	136	137	68	101	180	210	232	339
CSK	1079	1390	442	872	830	731	809	1506
CSKMT	1	3	0	1	79	68	129	161
CSNK1A1	2575	3184	1210	2438	2917	2659	4595	6464
CSNK1D	843	1048	438	718	822	687	763	1327
CSNK1E	18	28	12	20	278	240	420	635
CSNK1G1	157	218	79	148	339	274	397	648
CSNK1G2	176	201	78	115	840	691	1470	1939
CSNK1G3	564	597	266	457	675	614	902	1308
CSNK2A1	444	613	221	397	840	709	1085	1716
CSNK2A2	1197	1441	575	1089	1013	892	940	1484
CSNK2B	933	1400	443	785	308	240	576	784
CSPG5	117	165	59	129	394	331	565	766
CSPP1	256	332	120	192	1351	1211	1472	2196
CSRNP1	58	71	28	52	39	50	98	149
CSRNP2	163	213	64	124	272	225	303	533
CSRNP3	47	50	20	29	53	65	78	123
CSRP2	761	1139	377	642	732	764	1182	1678
CST3	1206	1644	547	934	430	431	558	817
CSTB	1434	1930	563	1034	419	369	734	942
CSTF1	1355	1635	533	1117	897	748	1386	2066
CSTF2	1070	1400	469	869	1642	1514	2547	3697
CSTF2T	1325	1825	532	1175	924	865	1436	1902
CSTF3	1363	1599	532	1055	1227	1162	1747	2517
CTBP1	690	834	320	534	1333	1281	2130	2845
CTBP2	517	570	241	376	601	512	723	1118
CTBS	223	217	96	183	137	137	186	272
CTC1	104	126	60	88	247	198	279	442
CTCF	1046	1266	496	886	1813	1716	2736	4018
CTDNEP1	187	235	89	154	288	214	296	537
CTDP1	341	488	140	295	409	405	478	792
CTDSP1	188	309	91	179	235	181	265	408
CTDSP2	283	321	132	194	187	168	222	331
CTDSPL	55	66	27	33	283	253	409	537
CTDSPL2	634	609	286	576	892	793	1353	1974
CTH	306	299	128	237	240	217	332	491
CTIF	110	128	44	80	137	148	207	328
CTNNA1	6276	7536	2888	5203	3244	2999	4438	6618
CTNNAL1	1571	1508	666	1201	2753	2508	4194	5822
CTNNB1	8617	11011	4148	7535	14311	12848	22643	32081
CTNNBIP1	76	102	49	60	48	59	84	113
CTNNBL1	1183	1497	486	996	1039	948	1447	1908
CTNND1	1481	1749	695	1303	2511	2268	2961	4612
CTNS	168	231	76	138	228	148	320	551
CTPS1	3051	3818	1433	2778	4105	3893	5323	7985
CTPS2	537	571	231	440	835	767	1162	1668
CTR9	2240	2654	1017	1901	2748	2549	4123	5387
CTSA	967	1116	466	744	657	627	1096	1570
CTSB	1200	1298	594	1040	347	321	537	832
CTSC	1344	1844	769	1338	678	602	1053	1516
CTSF	0	1	0	1	154	154	265	389
CTSH	78	73	35	52	324	342	519	750
CTSL	814	1125	467	800	857	836	1492	1874
CTSV	481	668	266	480	305	301	500	611
CTSZ	1311	1692	637	1298	131	103	152	241
CTTN	2495	2971	1063	2023	2681	2781	4010	5119
CTTNBP2	179	225	92	158	202	189	217	298
CTTNBP2NL	317	404	133	221	315	288	374	518
CTU2	203	283	101	156	519	445	900	1092
CUBN	3	7	1	11	47	45	62	86
CUEDC1	86	124	59	81	118	119	155	224
CUEDC2	959	1290	446	800	640	670	944	1419
CUL1	1981	2374	903	1606	2792	2779	4172	6052
CUL2	2879	3096	1270	2412	1070	973	1479	2098
CUL3	2925	3340	1432	2601	3030	2841	3803	5797
CUL4A	1057	1253	480	866	890	805	1176	1749
CUL4B	2550	2622	1139	2217	3378	3142	4446	6659
CUL5	875	871	367	728	2024	1978	2697	3845
CUL7	617	819	349	598	671	562	858	1243
CUL9	201	209	117	172	481	390	444	840
CUTA	1417	1919	707	1213	1058	1017	1539	2185
CUTC	452	503	219	312	530	500	737	1009
CUX1	691	873	370	591	1010	888	1004	1782
CWC15	844	923	393	723	1510	1574	2347	3230
CWC22	707	847	308	551	1398	1309	2117	2796
CWC25	127	179	60	84	268	254	304	418
CWC27	605	690	245	483	841	836	1265	1538
CWF19L1	1267	1421	548	1050	1290	1210	1999	2757
CWF19L2	326	410	147	269	1460	1358	1955	2701
CXADR	311	417	179	315	412	310	604	773
CXCR4	107	135	40	115	32	38	72	98
CXXC1	465	740	240	488	903	830	1312	1774
CXXC5	55	81	32	48	43	34	64	84
CXorf38	173	173	75	145	317	274	419	562
CXorf40A	20	10	3	15	57	59	80	144
CXorf40B	41	33	20	39	111	115	137	188
CXorf56	318	534	179	291	600	660	906	1298
CYB561	64	87	29	39	38	39	70	79
CYB561A3	84	136	62	88	164	169	263	401
CYB561D2	173	221	79	168	159	97	235	300
CYB5A	387	462	148	309	468	429	608	811
CYB5B	1243	1427	515	932	971	898	1446	2032
CYB5D1	98	150	53	99	225	230	307	431
CYB5D2	132	191	76	131	153	132	167	291
CYB5R1	270	345	123	219	447	450	731	1085
CYB5R3	2611	3139	1172	1965	461	368	464	828
CYB5R4	502	501	247	403	661	589	1019	1413
CYB5RL	24	33	10	7	106	105	130	239
CYBA	1451	2073	655	1130	720	655	1036	1397
CYBC1	120	180	70	110	183	160	236	348
CYBRD1	80	95	40	70	59	45	72	93
CYC1	2371	2882	1069	1939	2524	2174	3806	5699
CYCS	1078	1144	361	794	2171	2244	3295	4449
CYFIP1	2407	2991	1182	1971	2022	1719	3240	4474
CYFIP2	2091	2600	1235	1985	1487	1237	1870	3001
CYHR1	219	218	76	163	259	254	310	518
CYLD	273	300	114	244	893	791	1245	1822
CYP20A1	248	334	125	240	472	391	615	886
CYP26A1	72	55	33	43	61	47	95	117
CYP27B1	17	9	7	6	107	79	116	196
CYP2J2	108	119	56	84	68	67	108	142
CYP2R1	56	64	29	54	209	184	289	433
CYP2U1	130	154	69	116	89	76	118	225
CYP39A1	38	38	12	47	100	83	140	207
CYP4V2	37	33	19	41	156	132	163	231
CYP51A1	825	877	387	670	1570	1501	2117	3111
CYREN	237	306	106	179	322	339	432	565
CYSTM1	572	635	229	436	133	101	211	282
CYTH1	187	214	86	179	316	297	397	602
CYTH2	193	264	97	141	325	345	589	723
CYTH3	122	125	49	90	196	184	272	415
CZIB	386	490	185	372	323	333	475	684
D2HGDH	231	374	134	215	246	218	258	443
DAAM1	263	270	118	204	447	464	429	727
DAAM2	204	214	88	151	171	150	184	284
DAB2	294	324	115	241	60	33	64	89
DAB2IP	194	267	94	166	264	207	241	453
DACH1	296	449	140	268	317	270	341	545
DACH2	12	12	6	14	29	47	60	85
DACT1	93	120	37	67	74	78	89	137
DAD1	1695	1961	726	1285	869	730	1581	2208
DAG1	998	1340	592	1025	1124	892	1378	2317
DAGLA	52	95	44	74	77	68	103	147
DAGLB	313	366	128	218	258	208	336	572
DALRD3	202	219	96	134	986	832	1388	2012
DAP	216	325	114	160	145	101	178	313
DAP3	1854	2107	796	1527	2148	2071	3163	4426
DAPK1	368	419	160	272	727	640	969	1496
DAPK3	600	794	279	457	531	510	997	1370
DARS	3234	3193	1333	2645	3073	2882	4960	6823
DARS2	2747	3010	1146	2356	1735	1473	2761	4203
DAXX	628	736	257	482	1325	1236	1810	2586
DAZAP1	2524	3219	1136	2134	2128	1899	3402	4847
DAZAP2	1411	1671	599	1216	384	305	883	1238
DBF4	167	173	74	153	1289	1167	2112	3069
DBF4B	150	168	56	106	426	339	375	666
DBI	1149	1182	428	900	560	431	1316	1750
DBN1	1856	2355	884	1556	1217	1149	1978	2578
DBNDD1	89	92	26	58	37	49	71	65
DBNDD2	535	730	254	505	206	169	279	414
DBNL	1447	1951	680	1136	935	959	1240	1930
DBP	52	56	10	29	60	61	84	131
DBR1	656	749	274	572	769	679	1110	1598
DBT	618	652	245	415	566	478	630	924
DCAF1	1190	1529	534	1021	2657	2339	3186	4987
DCAF10	310	425	136	250	423	371	565	842
DCAF11	148	203	88	155	614	630	972	1399
DCAF12	505	569	210	363	976	785	1306	1944
DCAF13	1777	2142	761	1444	2095	2082	3115	4512
DCAF15	649	835	312	493	331	322	639	924
DCAF16	443	457	184	354	603	533	934	1341
DCAF17	187	233	90	192	359	285	498	806
DCAF4	235	246	81	189	429	360	624	872
DCAF5	356	479	181	284	657	552	863	1189
DCAF6	604	719	284	491	1668	1440	2364	3445
DCAF7	1848	2375	832	1509	771	676	954	1509
DCAF8	842	974	312	601	1496	1282	1938	2985
DCAKD	621	677	281	510	263	240	366	566
DCBLD1	209	249	102	185	383	363	531	714
DCBLD2	283	369	150	285	952	826	1477	2066
DCDC1	10	3	7	8	50	41	62	111
DCDC2B	1	1	0	3	78	54	82	124
DCHS1	26	24	17	14	79	57	75	130
DCK	635	747	308	555	399	376	607	925
DCLK1	293	343	148	245	39	35	54	78
DCLK2	89	99	57	75	149	108	141	211
DCLRE1A	410	430	136	311	955	821	1593	2256
DCLRE1B	264	307	104	196	352	344	510	704
DCLRE1C	132	147	45	104	551	505	671	991
DCP1A	482	560	231	377	732	628	987	1557
DCP1B	289	345	120	239	217	211	317	452
DCP2	917	1212	380	719	1564	1433	2233	3231
DCPS	279	353	135	229	432	405	582	920
DCTD	534	606	223	413	350	333	480	653
DCTN1	2288	2839	1109	1897	3954	3718	5111	7016
DCTN2	2886	3291	1377	2456	1680	1522	2266	3404
DCTN3	1262	1422	492	968	442	452	769	1100
DCTN4	1837	2264	818	1586	1063	1038	1664	2345
DCTN5	591	701	252	455	530	489	680	904
DCTN6	851	881	330	673	237	250	435	625
DCTPP1	1401	1670	573	1039	784	697	1396	1615
DCUN1D1	409	415	193	363	332	331	424	597
DCUN1D2	35	81	30	58	225	234	260	351
DCUN1D3	25	41	8	25	75	86	108	177
DCUN1D4	353	448	163	254	590	557	747	1034
DCUN1D5	1249	1220	571	962	1765	1755	2535	3406
DCXR	1151	1629	535	963	996	871	1425	2039
DDA1	464	578	194	356	111	141	264	364
DDAH1	1153	1271	478	897	208	206	217	372
DDAH2	73	99	58	63	81	69	131	157
DDB1	8692	10918	4103	7698	10676	9519	18435	25216
DDB2	245	373	198	333	252	204	386	611
DDHD1	321	357	138	283	785	720	1070	1516
DDHD2	491	505	232	431	1054	977	1497	2208
DDI2	671	833	280	527	700	646	756	1145
DDIAS	250	255	115	178	710	638	1160	1810
DDIT3	29	47	26	29	86	86	115	181
DDIT4	347	508	124	272	211	187	217	255
DDOST	5075	5714	2752	4552	3542	3359	6120	8623
DDR1	269	325	150	236	110	76	137	241
DDR2	525	536	300	453	464	440	611	920
DDRGK1	929	1314	494	815	1061	1262	1460	2033
DDTL	16	15	8	16	69	55	187	243
DDX1	4776	5662	2176	3972	5927	5727	8380	11698
DDX10	771	883	371	669	2132	2221	3065	4119
DDX11	227	304	138	195	824	766	1037	1489
DDX17	7511	9384	3321	6022	12966	12574	16604	24222
DDX18	1588	2044	792	1503	3961	3870	5838	8134
DDX19A	117	136	55	86	103	112	197	226
DDX19B	25	31	5	25	113	106	142	208
DDX20	1567	1981	645	1484	2091	1908	3263	4750
DDX21	9061	10444	4281	8249	10814	10463	16977	23464
DDX23	1484	1857	695	1193	3464	3398	5121	7325
DDX24	5175	6785	2516	4458	4313	3958	5822	8700
DDX27	1870	2368	862	1507	2030	2036	2955	3864
DDX28	493	631	238	433	472	415	766	1060
DDX31	702	846	298	569	773	715	1092	1599
DDX39A	2868	3714	1356	2446	2336	2140	3399	4684
DDX39B	7707	10189	4125	6778	7643	6722	11186	16228
DDX3X	6670	8136	3376	6459	10550	10134	16399	22625
DDX41	567	775	286	451	1327	1284	2072	2738
DDX42	2242	2635	1011	1839	3265	2965	4415	6106
DDX46	4691	5277	2158	4061	4383	4457	5858	7329
DDX47	1927	2217	886	1585	2012	1929	3061	4344
DDX49	910	1220	474	808	1224	1176	1998	2837
DDX5	12248	15644	5929	11961	17450	17450	24104	34367
DDX50	1105	1118	458	822	1622	1535	2523	3558
DDX51	380	533	189	349	518	462	621	902
DDX52	1493	1598	656	1273	1584	1417	2187	3295
DDX54	1883	2516	866	1508	2060	2165	3474	4590
DDX55	504	615	253	456	1394	1285	1594	2286
DDX56	3480	4464	1625	2967	2606	2187	3999	5960
DDX58	77	81	32	67	157	134	227	301
DDX59	301	344	132	297	534	443	953	1385
DDX6	1919	2484	961	1849	3407	2887	4268	6639
DDX60	109	103	57	77	85	62	116	135
DEAF1	194	220	76	130	1251	1200	1924	2788
DECR1	139	131	56	99	367	360	498	756
DECR2	78	77	31	37	76	71	105	160
DEDD	244	271	112	187	345	265	469	656
DEDD2	175	232	69	139	102	100	156	186
DEF8	318	447	152	272	577	559	887	1193
DEGS1	2907	3820	1485	2779	2209	1976	4023	5560
DEK	5634	6048	2365	4941	6736	6812	9227	12405
DELE1	471	551	214	394	419	323	647	942
DENND10	78	64	26	50	87	65	102	127
DENND11	280	370	140	231	367	326	518	732
DENND1A	239	296	87	183	420	353	398	783
DENND1B	65	100	48	79	424	403	662	853
DENND2C	147	143	68	127	421	361	592	850
DENND3	161	150	74	129	199	150	187	328
DENND4A	629	695	281	525	1494	1299	1927	2936
DENND4B	213	272	133	151	657	489	655	1098
DENND4C	734	806	302	645	2110	1886	2832	4184
DENND5A	175	208	100	166	2544	2307	3834	5485
DENND5B	572	656	243	478	626	569	877	1262
DENND6A	383	456	185	354	1246	1139	1591	2511
DENR	1129	1252	473	1020	1353	1382	2015	2518
DEPDC1	672	714	315	632	2302	2170	3729	5212
DEPDC1B	547	557	227	440	943	1002	1455	2114
DEPDC4	81	62	29	70	50	43	67	72
DEPDC5	77	72	30	61	237	242	327	535
DEPDC7	316	309	133	248	368	317	475	723
DEPTOR	43	30	18	37	61	52	81	122
DERA	675	657	292	484	406	378	636	885
DERL1	618	813	361	544	454	309	655	1026
DERL2	442	590	252	383	350	254	601	845
DERL3	174	197	79	136	51	42	86	128
DERPC	511	640	178	370	907	665	1258	1939
DESI1	497	576	257	382	421	396	629	915
DESI2	311	360	161	245	574	575	918	1227
DFFA	1341	1417	556	1021	1822	1600	2630	3817
DFFB	221	296	104	191	224	187	280	431
DGAT1	176	223	65	164	214	165	366	485
DGCR2	372	564	192	352	829	691	1206	1676
DGCR6	15	18	7	2	31	29	41	79
DGCR6L	110	147	39	83	408	415	658	882
DGCR8	258	390	162	286	1697	1731	2262	3135
DGKA	78	64	36	61	79	74	81	129
DGKD	275	285	139	201	862	726	1052	1602
DGKE	300	411	165	316	459	441	586	899
DGKH	380	507	208	372	851	662	860	1352
DGKQ	33	48	19	27	279	210	349	467
DGKZ	61	87	41	72	355	326	502	732
DGLUCY	174	213	89	148	131	135	195	320
DGUOK	614	750	295	553	491	413	875	1197
DHCR24	3197	4874	1552	2609	1941	1638	2720	4077
DHCR7	1390	1871	643	1126	950	776	1663	2244
DHDDS	367	389	152	292	280	296	409	591
DHFR	8	8	4	4	85	67	72	140
DHFR2	24	29	15	18	68	57	91	121
DHODH	166	190	94	119	250	225	291	471
DHPS	650	790	329	501	477	404	736	1046
DHRS1	159	188	83	119	121	107	134	215
DHRS11	108	130	62	134	129	109	135	227
DHRS12	23	22	11	27	50	47	57	100
DHRS13	120	172	43	87	74	72	108	149
DHRS3	238	295	128	222	236	182	281	384
DHRS4	81	134	52	70	142	131	192	259
DHRS7	621	782	308	533	859	758	1378	1917
DHRS7B	288	378	135	252	508	432	780	1019
DHRSX	134	194	59	159	133	123	178	258
DHTKD1	884	1011	414	767	1307	1060	1672	2612
DHX15	5286	7141	2767	4971	7011	6672	11568	16338
DHX16	1632	2069	745	1241	1855	1691	2847	4014
DHX29	964	1094	436	852	2362	2273	3565	5017
DHX30	2407	3305	1131	2009	6011	5160	8828	12888
DHX32	511	641	279	464	1028	933	1591	2259
DHX33	1117	1283	493	935	1135	927	1022	1932
DHX34	354	482	162	278	806	711	1121	1728
DHX35	248	251	127	220	527	498	712	1049
DHX36	2005	2380	885	1769	3040	2847	2965	4937
DHX37	972	1388	479	809	1807	1643	2492	3556
DHX38	942	1219	454	770	2354	2166	3392	4361
DHX40	1148	1365	551	992	1494	1321	2272	3121
DHX57	993	1161	465	863	2085	1882	2663	4072
DHX8	1830	2207	895	1607	2699	2474	3553	5375
DHX9	8607	11338	4266	8120	19451	17629	31341	44158
DIABLO	34	40	25	28	44	33	56	87
DIAPH1	1313	1730	759	1273	2767	2482	2036	4177
DIAPH2	321	372	162	263	1312	1205	1630	2592
DIAPH3	757	909	356	695	1891	1863	2300	3344
DICER1	1291	1409	622	1089	5057	4750	6807	9704
DIDO1	1135	1334	549	880	2992	2625	3356	5255
DIMT1	566	587	255	498	819	643	1320	1850
DIP2A	345	401	154	302	912	787	937	1594
DIP2B	1144	1391	557	931	1776	1576	2423	3469
DIP2C	318	398	185	304	356	310	383	670
DIPK1A	241	263	108	182	207	186	293	411
DIPK1B	255	420	160	246	747	633	1079	1461
DIPK2A	267	343	118	222	387	352	489	708
DIRAS1	139	158	68	124	37	46	73	80
DIS3	2046	2240	900	1804	3767	3649	5861	8326
DIS3L	523	680	231	465	1935	1707	2673	3866
DIS3L2	247	267	103	172	579	524	642	1035
DISC1	34	45	27	18	126	120	158	262
DISP1	71	81	33	70	162	132	273	388
DIXDC1	162	188	80	141	233	238	317	417
DKC1	2449	3258	1292	2256	4530	4535	6650	8877
